tab a into slot 254
tan a deer hide 46
tap a nail into 50
tap a rich vein 261
tap a wide range 789
tax a lien upon 169
team a free kick 67
team i have been 146
team i have ever 689
team i have seen 54
tear a gaping hole 93
tear a great hole 70
tear a hole into 99
tear a limb from 65
tear a living lamb 72
tear a page from 351
tear i ever shed 48
tear i have shed 179
ten a week from 41
ten a week rising 51
ten i have been 70
ten i knew what 40
ten i went down 60
ten i will pass 131
than a baby born 338
than a baby crying 40
than a baby girl 92
than a baby when 464
than a back door 51
than a back room 53
than a back yard 97
than a bald eagle 60
than a ball bearing 180
than a ball game 164
than a ball gown 43
than a ball mill 56
than a ball park 44
than a bank loan 701
than a bank note 174
than a bare fact 44
than a bare flying 83
than a bare good 48
than a bare half 206
than a bare hint 98
than a bare list 248
than a bare living 4157
than a bare name 108
than a bare rock 104
than a bare room 69
than a bare soil 64
than a bare three 44
than a bare wall 58
than a bare word 69
than a bark canoe 77
than a barn door 108
than a barn full 59
than a base camp 61
than a base from 116
than a bass drum 66
than a bathing suit 294
than a beach ball 88
than a beast upon 77
than a beating heart 71
than a beef bone 40
than a bent tube 45
than a bird cage 65
than a bird flying 61
than a bird from 42
than a bite from 68
than a blot upon 61
than a blow from 355
than a blow upon 101
than a blue book 40
than a blue line 69
than a blue moon 42
than a blue star 42
than a blue tile 76
than a blue vase 79
than a boat from 97
than a boat length 251
than a boat race 61
than a boat ride 164
than a boat trip 44
than a body length 167
than a body like 44
than a body moving 52
than a body part 112
than a bold push 42
than a bolt from 102
than a bond fund 50
than a bond length 52
than a bone scan 166
than a book dealing 47
than a book from 46
than a book full 127
than a book like 167
than a book page 42
than a boot camp 54
than a boot whiz 49
than a born fool 100
than a bowing down 66
than a break from 402
than a breath away 289
than a breath from 49
than a burn from 139
than a buzz word 75
than a call came 127
than a call from 402
than a call girl 48
than a call upon 100
than a cameo role 63
than a card file 72
than a card from 47
than a card game 108
than a cart load 89
than a case like 215
than a cash bond 48
than a cash crop 133
than a cash flow 273
than a cash sale 142
than a cast iron 185
than a cell wall 62
than a cheap book 112
than a cheap pair 43
than a cheap shot 87
than a chip from 60
than a chip shot 40
than a city boss 49
than a city full 61
than a city hall 49
than a city life 58
than a city like 170
than a city lost 57
than a city park 87
than a city wall 62
than a clay loam 55
than a clay soil 238
than a clean bill 73
than a clean break 248
than a clear break 72
than a clear case 74
than a clear line 73
than a clear mind 54
than a clear view 162
than a clog upon 282
than a cloth tied 41
than a club length 84
than a coal fire 129
than a coal mine 457
than a code name 139
than a code word 167
than a coil spring 52
than a coin flip 131
than a coin toss 375
than a cold beer 140
than a cold body 82
than a cold call 121
than a cold heart 70
than a cold room 43
than a cold wind 60
than a copy book 54
than a copy from 151
than a copy made 62
than a cork tree 47
than a cream tart 92
than a dark blue 146
than a dark blur 164
than a dark gray 61
than a dark hole 134
than a dark line 80
than a dark mass 79
than a dark room 139
than a dark spot 122
than a dark suit 77
than a data base 187
than a data file 131
than a data flow 41
than a data type 86
than a debt from 43
than a deep breath 132
than a deep hole 49
than a deep love 64
than a deep sigh 150
than a deep sure 54
than a deep well 69
than a deer lies 40
than a deer tick 68
than a deer will 89
than a diet high 105
than a diet rich 62
than a dining club 72
than a dining room 298
than a diode drop 73
than a dirt road 262
than a disk file 48
than a door nail 429
than a dorm room 58
than a drag upon 62
than a dream come 274
than a dream from 72
than a dream were 79
than a dream when 84
than a drop from 119
than a duck pond 60
than a dull ache 517
than a dull boring 169
than a dull duty 99
than a dull glow 69
than a dull pain 46
than a dumb beast 200
than a dumb show 74
than a dust bowl 44
than a dust mote 131
than a duty owed 41
than a duty when 41
than a face full 50
than a face lift 85
than a face mask 136
than a fading dream 44
than a fair copy 85
than a fair face 77
than a fair hand 43
than a fair hearing 220
than a fair lady 450
than a fair living 404
than a fair rate 944
than a fair rent 214
than a fair shot 51
than a fair spring 46
than a fair test 123
than a fair trial 557
than a fair view 48
than a fair wage 252
than a fair wind 51
than a fall down 62
than a fall from 355
than a fall into 45
than a farm hand 117
than a fast ball 188
than a fast buck 48
than a fast film 48
than a fast food 90
than a fast moving 43
than a fast walk 579
than a felt need 63
than a fifth from 103
than a fifth have 192
than a fifth part 1634
than a fifth said 65
than a fifth were 666
than a file name 267
than a film like 83
than a film star 275
than a fine coat 114
than a fine copy 45
than a fine hair 87
than a fine lady 243
than a fine line 319
than a fine mist 257
