tail stretched straight out 58
take additional evidence and 104
take advantage whenever they 44
take democracy seriously and 45
take different positions and 113
take different positions for 50
take different positions with 129
take difficult decisions and 57
take duplicate receipts for 61
take important decisions and 75
take important decisions for 42
take leadership positions and 80
take momentous decisions and 50
take ourselves seriously and 152
take political decisions and 124
take political positions and 48
take political positions that 91
take strategic decisions and 47
take strengthening medicine for 80
take telephone messages and 41
take telephone messages for 86
take testimony concerning any 55
take themselves seriously and 498
take themselves seriously are 75
take unpopular decisions and 40
take unpopular positions and 41
taking difficult decisions and 60
taking duplicate receipts for 52
taking important decisions and 65
taking telephone messages and 62
taking telephone messages for 41
taking themselves seriously and 50
talk different languages and 131
tall bookcases containing all 46
tank battalions equipped with 104
tank destroyer battalion and 48
tape recorders equipped with 106
teach important concepts and 43
teach practical divinity and 53
tenth abdominal segments are 107
term antibiotic treatment may 106
term corporate strategy and 146
term generally reserved for 251
term inpatient treatment for 102
term insurance coverage and 58
term insurance coverage for 134
term insurance policies and 101
term insurance policies are 354
term insurance policies that 45
term insurance premiums are 124
term liquidity problems and 88
term liquidity problems that 89
term political strategy and 42
term political strategy for 140
term population dynamics and 114
term previously reserved for 93
term sometimes confused with 59
term sometimes employed for 1188
term strategic alliances with 185
term strategic decisions and 44
term strategic direction for 117
test batteries designed for 148
test equipment designed for 113
test equipment required for 169
test equipment suitable for 53
test especially designed for 100
test generation algorithm for 91
test indicates infection with 53
test procedure requires that 279
test statistic computed for 136
thank anonymous referees for 221
thank blackwell publishing for 51
thank president buchanan for 42
their abilities entitled them 111
their absorption spectrum and 41
their activation energies and 71
their activation energies are 141
their activation energies for 43
their addictive potential and 57
their admissions policies and 187
their admissions policies are 55
their adsorption capacity for 45
their advantage wherever they 46
their advertising agencies and 212
their advertising agencies are 91
their advertising agencies for 71
their advertising campaign for 79
their advertising messages and 59
their advertising revenues and 52
their affiliated colleges and 49
their aggregate property was 43
their aggregate thickness being 41
their agreement constant and 358
their agreement provides that 88
their allegiance whenever they 40
their alteration products are 44
their alternate challenge and 45
their alternate expansion and 75
their amazement exceeded all 129
their ambiguous relations with 46
their amplitude decreases with 47
their amplitude increases with 44
their ancestors concerning them 44
their ancestors occupied then 55
their ancestors probably did 50
their ancestral cultures and 103
their ancestral heritage and 278
their ancestral homeland and 615
their ancestral homeland but 43
their ancestral homeland for 62
their ancestral homeland had 40
their ancestral homeland was 142
their ancestral languages and 194
their ancestral property and 87
their ancestral religions and 72
their ancestral tradition and 71
their ancestral villages and 376
their ancestral villages for 45
their appearance compared with 68
their appearance inclined him 168
their appearance suddenly and 55
their appearance suggests that 488
their appointed positions and 97
their arguments stripped off 45
their articular surfaces and 71
their articular surfaces are 251
their articular surfaces being 56
their artillery officers are 107
their associated behaviors are 57
their associated benefits and 107
their associated circuits are 70
their associated economic and 55
their associated energies are 48
their associated functions are 70
their associated hardware and 43
their associated physical and 57
their associated problems and 73
their associated problems are 100
their associated products and 52
their associated proteins and 55
their associated proteins are 95
their associated variables are 45
their associates believed that 62
their astonishing capacity for 80
their attendant benefits and 52
their attendant cruisers and 65
their attendant economic and 87
their attendant miseries and 52
their attendant problems and 101
their attendant problems are 77
their attorneys approach and 52
their authorized officers and 44
their available manpower and 47
their available reserves and 56
their baptismal covenant and 77
their baptismal promises and 60
their behavioral patterns and 217
their behavioral patterns are 81
their behavioral problems and 65
their bilateral contacts with 65
their bilateral relations and 559
their bilateral relations are 82
their bilateral relations but 52
their bilateral relations with 792
their bilateral symmetry and 53
their biological activity and 512
their biological activity are 58
their biological activity can 53
their biological activity for 47
their biological activity has 97
their biological activity may 42
their biological activity was 99
their biological capacity for 103
their biological children and 222
their biological children are 71
their biological children than 107
their biological families and 266
their biological families are 55
their biological functions and 396
their biological functions are 207
their biological heritage and 145
their biological potential for 67
their boundless capacity for 90
their boundless enthusiasm and 85
their boundless enthusiasm for 93
their boundless patience and 59
their budgetary requests for 47
their carefully prepared and 68
their carefully selected and 63
their catalytic activity and 272
their catalytic activity can 49
their catalytic activity for 99
their ceremonial costumes and 79
their ceremonial inferiors than 84
their character compared with 91
their character suggests that 52
their childbearing capacity and 43
their childhood memories and 212
their childhood memories are 48
their childhood relations with 66
their christmas holidays and 41
their christmas holidays with 73
their christmas presents and 157
their classical education and 109
their classical heritage and 79
their classroom practice and 341
their classroom problems and 45
their cognitive capacity and 64
their cognitive deficits and 83
their cognitive functioning and 156
their cognitive functions and 51
their cognitive functions are 93
their cognitive processing and 56
their colleagues believed that 210
their colleagues observed that 43
their colleagues reported that 186
their colleagues suggests that 151
their collector currents are 60
their combustion products are 53
their commander reported that 40
their commercial activity and 209
their commercial activity was 109
their commercial business and 72
their commercial business with 46
their commercial concerns with 71
their commercial contacts and 52
their commercial contacts with 231
their commercial exchanges with 115
their commercial interest and 47
their commercial policies and 101
their commercial potential and 87
their commercial potential was 64
their commercial property may 223
their commercial pursuits and 55
their commercial relations and 334
their commercial relations are 48
their commercial relations may 224
their commercial relations with 3115
their commercial sagacity and 84
their commercial viability and 117
their commercial viability was 45
their commission promptly and 48
their committee reported that 92
their community contacts and 44
their community identity and 112
their community problems and 50
their community property and 132
their community relations and 56
their community services and 53
their community wherever they 43
their competent agencies and 85
their component elements and 416
their component elements are 282
their component materials and 55
their component minerals and 60
