tabu status of a 189
taco shells in a 109
taco shells on a 117
tags placed in a 40
tail appears as a 232
tail around in a 85
tail caught in a 788
tail clothed in a 73
tail curled in a 74
tail curved in a 90
tail feathers as a 260
tail feathers in a 502
tail feathers is a 136
tail feathers of a 3744
tail feathers on a 190
tail feathers to a 91
tail flukes of a 112
tail formed by a 58
tail gunner in a 568
tail gunner of a 146
tail gunner on a 657
tail instead of a 1198
tail itself is a 131
tail lights of a 523
tail planes of a 41
tail portion of a 289
tail raised in a 63
tail repeats of a 148
tail section of a 894
tail served as a 120
tail serves as a 757
tail should be a 155
tail tapering to a 321
tail tapers to a 619
tail turret of a 51
tail united by a 162
tail values of f 109
take actions as a 62
take actions in a 136
take actions of a 57
take actions on a 43
take advice of a 90
take almost as a 91
take another as a 53
take another in a 48
take anyone as a 48
take anyone to a 61
take appeals on a 41
take asylum in a 89
take battle in a 49
take canada as a 45
take chance of a 66
take charge as a 199
take charge at a 136
take charge if i 57
take charge in a 1175
take charge is a 43
take charge of a 81431
take charge on a 115
take christ as a 189
take coffee at a 56
take coffee in a 85
take coffee on a 48
take copies of a 109
take credit as a 130
take dinner at a 96
take dinner in a 55
take effect as a 12784
take effect at a 5168
take effect by a 89
take effect if a 247
take effect in a 3355
take effect is a 80
take effect on a 3621
take effect to a 74
take england as a 83
take english as a 288
take enough of a 336
take equity in a 44
take europe as a 108
take flight as a 78
take flight at a 132
take flight in a 1017
take flight on a 267
take flight to a 210
take france as a 49
take fright at a 647
take gender as a 109
take ground to a 69
take guests on a 162
take guests to a 63
take hawaii as a 63
take images of a 52
take income as a 51
take instead of a 194
take itself as a 194
take kindly to a 7368
take lodgings at a 137
take lodgings in a 1238
take measure of a 171
take memory as a 49
take merely as a 54
take myself as a 224
take myself as i 197
take myself on a 68
take myself to a 232
take nature as a 487
take nature in a 107
take notice as i 66
take notice if a 48
take notice if i 73
take notice in a 220
take notice of a 25256
take office as a 1663
take office at a 206
take office in a 1287
take office on a 56
take orders as a 518
take orders at a 91
take orders in a 105
take orders on a 71
take origin by a 52
take origin in a 120
take oxford as a 51
take photos of a 262
take pieces of a 47
take places in a 184
take poison of a 40
take profit on a 40
take readers on a 357
take readers to a 70
take readily to a 183
take reality as a 91
take rebirth as a 477
take rebirth in a 601
take refuge as a 369
take refuge at a 853
take refuge in a 60376
take refuge on a 2749
take refuge up a 74
take repose in a 56
take resort to a 144
take revenge as a 54
take revenge in a 143
take revenge on a 2564
take riders on a 55
take shares in a 3018
take shares of a 50
take should be a 139
take simply as a 129
take solace in a 371
take someone as a 65
take someone on a 126
take someone to a 181
take something as a 823
take something in a 213
take something of a 1766
take something to a 105
take spleen at a 110
take stands on a 146
take station as a 82
take supper at a 66
take tarawa in a 90
take thought of a 99
take training as a 95
take training in a 78
take twenty or a 61
take upward of a 92
take values in a 949
take values in u 83
take values of a 50
take values of x 48
take values on a 179
take virtue as a 67
taking actions in a 99
taking africa as a 82
taking bribes as a 63
taking bribes in a 52
taking charge as a 51
taking charge at a 40
taking charge in a 279
taking charge of a 14514
taking christ as a 48
taking coffee in a 60
taking copies of a 53
taking effect as a 708
taking effect at a 317
taking effect by a 112
taking effect in a 253
taking effect of a 911
taking effect on a 123
taking england as a 183
taking english as a 403
taking enough of a 168
taking europe as a 308
taking flight as a 56
taking flight in a 285
taking flight on a 74
taking flight to a 64
taking france as a 47
taking french as a 50
taking fright at a 367
taking gender as a 105
taking graces on a 199
taking ground to a 166
taking guests on a 41
taking images of a 48
taking itself as a 139
taking itself is a 52
taking kindly to a 71
taking lodgings at a 134
taking lodgings in a 103
taking london as a 89
taking maggie as a 59
taking measure of a 77
taking myself as a 64
taking myself to a 40
taking nature as a 291
taking notice of a 5917
taking occurs in a 89
taking office as a 262
taking office at a 141
taking office by a 121
taking office in a 516
taking orders as a 119
taking orders at a 89
taking orders in a 105
taking orders is a 110
taking orders on a 119
taking photos at a 42
taking photos in a 47
taking photos of a 197
taking powers of a 40
taking readers on a 132
taking rebirth in a 75
taking refers to a 47
