tar would address her 128
tax breaks because they 93
tax court decided that 40
tax court reasoned that 137
tax motor vehicle tax 260
tax rates because they 144
tax rates coupled with 322
tax rates increase and 45
tax rates increase with 387
tax rates suggest that 85
tax rates together with 61
tax rules provide that 156
tax rules require that 254
tax savings between them 42
tax treaty between that 56
tax treaty between two 63
tax treaty network and 53
tax treaty network with 46
tax treaty providing for 71
tax under current law 195
tax under federal law 114
tax under present law 336
tax under protest and 554
tax under sections one 57
tax which congress had 47
tax whose purpose was 47
tax would deprive that 49
tax would provide for 44
tax would replace all 40
tax would require that 113
tax would suffice for 68
team batting average and 279
team batting average for 67
team batting average was 235
team comes together and 57
team comes together for 75
team leader ensures that 62
team leader pointed out 47
team makes contact with 42
team under control and 43
team which carried out 190
team which carries out 59
team whose members all 72
team whose members are 634
team whose members can 44
team whose members had 68
team whose members may 40
team whose players are 65
team whose purpose was 50
team working closely with 136
team working together and 107
team working together for 182
team working together with 136
team works closely with 517
team works together and 156
team works together for 54
team works together with 82
ten acres covered with 77
ten acres planted with 43
ten armed vessels and 70
ten equal portions and 43
ten false reports may 68
ten firms account for 75
ten hours preparing for 53
ten large vessels for 50
ten miles between them 90
ten miles brought them 54
ten miles distant and 335
ten miles distant was 64
ten miles shorter than 150
ten months following his 57
ten months following its 46
ten noble knights all 56
ten older brothers and 59
ten others equally bad 40
ten paces between each 93
ten paces between them 65
ten paces distant and 40
ten people believe that 56
ten point program for 43
ten prime numbers are 100
ten short stories and 150
ten short stories that 124
ten small islands far 59
ten staff members and 61
ten staff members who 45
ten steps forward and 152
ten steps towards you 51
ten times blacker than 207
ten times blacker with 76
ten times broader than 103
ten times fainter than 124
ten times fiercer than 53
ten times happier than 288
ten times lighter than 358
ten times merrier than 253
ten times oftener than 150
ten times quicker than 335
ten times saltier than 121
ten times sharper than 173
ten times shorter than 293
ten times smaller and 111
ten times smaller for 65
ten times smaller than 3624
ten times smarter and 43
ten times smarter than 362
ten times steeper than 44
ten times stiffer than 62
ten times stronger and 190
ten times stronger now 51
ten times stronger than 7749
ten times sweeter than 81
ten times together with 47
ten times tougher than 128
ten times wealthier than 80
ten votes against two 49
ten words beginning with 80
ten words together with 88
ten yards between each 136
ten yards between them 199
than about fifteen per 77
than about himself and 43
than adult females and 132
than after surgery for 49
than align himself with 67
than allying himself with 67
than ample grounds for 122
than ample material for 97
than ample support for 55
than amuse herself with 63
than amuse himself with 135
than anything america had 48
