tabu holds also for 173
tack shall give way 44
tack shall keep out 979
tact which made her 40
tact which made him 341
tact which made his 59
tail curling over his 61
tail curls over its 48
tail dangling from his 101
tail lashing back and 115
tail moved back and 73
tail moves back and 59
tail rather more than 109
tail right side out 180
tail shall have her 61
tail shall have this 44
tail spread open fan 41
tail spread over his 45
tail spread wide and 46
tail swaying back and 43
tail swept back and 88
tail thrown over his 69
tail under hers and 43
tail wagging back and 131
tail wagging like mad 51
tail waved back and 84
tail where there was 58
tail would come off 50
tail would come out 47
tail would have had 76
take about five and 72
take about four and 117
take about half that 63
take about three and 405
take action along with 54
take action during this 50
take action here and 50
take action into its 40
take action once they 46
take action only for 53
take action only with 86
take action other than 174
take action upon all 77
take action upon any 116
take action upon his 114
take action upon them 558
take action upon this 179
take action when and 98
take action when his 66
take action when one 152
take action when she 166
take action when they 1743
take action when things 73
take action when this 50
take action when you 317
take after take and 146
take after your dad 179
take after your old 59
take again into our 95
take again upon his 83
take alarm when they 65
take ample time for 207
take anything along with 47
take anything away and 41
take anything away that 53
take anything away with 589
take anything back with 72
take anything else and 42
take anything else but 66
take anything else for 107
take anything else off 154
take anything else out 152
take anything else that 204
take anything else with 109
take anything else you 97
take anything from any 422
take anything from her 973
take anything from him 2008
take anything from his 895
take anything from its 63
take anything from one 642
take anything from our 102
take anything from six 182
take anything from ten 92
take anything from that 338
take anything from them 2084
take anything from this 338
take anything from two 278
take anything from you 4640
take anything home with 95
take anything into his 79
take anything into its 67
take anything less than 739
take anything like all 43
take anything like our 97
take anything like that 726
take anything like this 99
take anything more than 1241
take anything other than 433
take aught from thee 95
take aught from them 60
take based upon this 50
take blood from any 54
take blood from her 74
take blood from him 97
take blood from his 77
take blood from them 82
take blood from you 68
take bonds from them 138
take books home and 151
take books home for 109
take books home with 144
take books only for 73
take breaks when they 100
take breaks when you 142
take calls from all 40
take calls from his 80
take calls when you 53
take candy from them 46
take cases like this 49
take cedar wood and 65
take class time for 100
take coals into his 43
take color from each 48
take color from his 74
take cover when they 118
