tabu search and genetic 240
tack about and support 66
tact which had enabled 60
tail could not execute 42
tail erect and quivering 47
tail short and pointed 117
tail short and rounded 298
tail wagging with delight 40
tail which was somehow 51
take about one hundred 692
take about one quarter 45
take about one thousand 80
take about six hundred 56
take about six minutes 226
take about six seconds 50
take about ten minutes 5162
take about ten seconds 250
take about ten thousand 143
take about two decades 46
take about two hundred 532
take about two minutes 1428
take about two seconds 827
take about two thousand 196
take action and achieve 75
take action and attempt 93
take action and control 53
take action and destroy 48
take action and develop 59
take action and improve 66
take action and prevent 60
take action and produce 67
take action and protect 74
take action and provide 97
take action and resolve 41
take action and respond 45
take action for damages 89
take action for herself 51
take action for himself 47
take action for justice 50
take action that affects 134
take action that results 65
take action that threatens 158
take action with respect 2593
take after both parents 46
take after his parents 111
take anything and everything 400
take anything but pleasure 108
take anything for granted 30059
take anything for herself 50
take anything for himself 289
take anything off anybody 163
take anything that belonged 213
take anything that happens 84
take anything that offered 137
take apart and analyze 112
take apart and examine 120
take apart and rebuild 91
take books for granted 95
take breathing for granted 485
take broad and liberal 45
take broad and logical 91
take change for granted 214
take color for granted 73
take drugs and alcohol 237
take either for granted 146
take facts and figures 83
take fewer and shorter 59
take fewer math courses 113
take grace for granted 89
take growth for granted 50
take hares and rabbits 108
take hence that traitor 60
take issue with aspects 171
take issue with certain 361
take issue with critics 58
take issue with current 57
take issue with everything 107
take issue with several 185
take issue with skinner 41
take japan for granted 50
take jesus and crucify 41
take learning for granted 48
take light for granted 297
take lives and destroy 49
take lives for nominal 47
take local and regional 44
take longer and involve 323
take longer and require 1000
take longer than average 293
take longer than desired 106
take longer than fifteen 165
take longer than planned 1243
take longer than several 54
take longer than smaller 44
take maybe ten minutes 47
take money for granted 225
take money for himself 43
take months and involve 42
take months and perhaps 92
take music for granted 47
take names and numbers 48
take nearly one hundred 75
take nearly ten minutes 42
take nearly two decades 87
take nearly two hundred 84
take notes and because 114
take notes and collect 44
take notes and compare 69
take notes and discuss 65
take notes and observe 62
take notes and outline 55
take notes and prepare 210
take notes and provide 60
take order for chimney 49
take order for granted 66
take others for granted 621
take pains and pleasure 56
take pains and trouble 53
take paper and pencils 49
take paper for granted 90
take pause and reflect 44
take people for granted 1071
take people off welfare 119
take picks and shovels 103
take place and although 56
take place and because 296
take place and certain 88
take place and control 49
take place and destroy 45
take place and develop 169
take place and everything 148
take place and exactly 45
take place and finally 110
take place and include 47
take place and increase 103
take place and involve 53
take place and perhaps 124
take place and persist 47
take place and present 42
take place and prevail 87
take place and prevent 71
take place and proceed 135
take place and produce 356
