tail sank sharp quills 89
take away basic rights 43
take away every chance 42
take away every excuse 154
take away every motive 128
take away every shadow 44
take away every thought 45
take away human rights 48
take away jesus christ 51
take baby steps toward 140
take bold steps toward 106
take deep breaths before 161
take deep breaths through 249
take deep breaths without 55
take down every detail 48
take early steps toward 48
take even longer before 133
take five months before 41
take four clock cycles 46
take four months before 48
take four steps before 43
take four steps toward 117
take four steps without 44
take from others without 102
take full power before 60
take giant steps toward 135
take high moral ground 114
take into gross income 46
take jobs after school 40
take just about anyone 70
take many clock cycles 47
take many forms beyond 76
take many hours before 139
take many months before 869
take many pages merely 44
take many steps before 72
take many steps toward 56
take many steps without 47
take many trials before 45
take many weeks before 213
take more steps toward 96
take much extra effort 70
take much longer before 317
take much longer periods 63
take nothing which belongs 50
take only about twenty 237
take other drugs without 201
take other steps toward 73
take other wives beside 128
take over empty houses 40
take over every aspect 193
take over guard duties 189
take over human bodies 88
take over large blocks 51
take over large chunks 44
take over large tracts 100
take over local school 140
take over power itself 46
take over power through 65
take over power without 94
take over water supply 87
take part shall uphold 97
take post again behind 49
take post below barren 160
take some action before 357
take some action toward 286
take some action without 49
take some basic policy 111
take some brief notice 188
take some civil notice 54
take some dried tongues 245
take some extra effort 269
take some hours before 72
take some large stones 52
take some model already 43
take some months before 270
take some small amount 67
take some small credit 55
take some small measure 100
take some small solace 51
take some steps before 47
take some steps toward 1197
take some strong french 68
take some strong measure 48
take some sugar island 91
take some weeks before 163
take such action appears 417
take such action before 91
take such action except 76
take such action should 49
take such action through 82
take such action unless 143
take such action without 709
take such exact notice 41
take such order herein 50
take such order therein 349
take such risks without 84
take such steps before 40
take such steps toward 83
take such steps without 136
take their basic training 48
take their cases before 179
take their civic duties 44
take their daily stroll 122
take their dirty clothes 62
take their drink orders 365
take their evening repast 43
take their evening stroll 368
take their firms public 105
take their first actual 40
take their first advice 47
take their first degree 101
take their first flight 380
take their first lesson 162
take their first origin 96
take their first serious 40
take their first wobbly 44
take their grating course 52
take their hands gently 101
take their learning heavily 49
take their lives without 93
take their lunch orders 48
take their money abroad 70
take their money without 249
take their morning coffee 91
take their morning repast 124
take their morning stroll 290
take their place amidst 40
take their place amongst 1577
take their place around 349
take their place before 359
take their place behind 799
take their place beside 3626
take their place except 62
take their place inside 163
take their place should 43
take their place without 453
take their right places 106
take their right standing 70
take their route through 123
take their shape through 47
take their share before 40
take their share without 65
take their stand around 55
take their stand before 182
take their stand behind 168
take their stand beside 260
take their stand boldly 41
take their stand firmly 262
take their stand openly 65
take their trials before 92
take their turns without 42
take their usual course 381
take their usual places 129
take their walks abroad 290
take their water supply 427
take their whole family 51
take their winding course 42
take these drugs without 88
take these steps before 86
take these steps toward 109
take these steps without 96
take third place behind 66
take three months before 181
take three steps before 128
take three steps toward 231
take three steps without 175
take three turns around 43
take three weeks before 108
take very large values 89
take very small values 54
take were never sailed 45
take what comes without 124
take what shall befall 60
take what would follow 109
take your child shopping 66
take your child through 60
take your dirty clothes 61
take your drink orders 71
take your first chance 53
take your first lesson 198
take your given height 45
take your horse around 43
take your money unless 67
take your money without 219
take your morning coffee 67
take your morning shower 51
take your offer kindly 78
take your paper through 56
take your phone number 179
take your place amongst 169
take your place before 222
take your place behind 289
take your place beside 465
take your place without 61
take your pulse before 132
take your soaring flight 42
take your stand before 67
take your stand behind 71
take your stand beside 103
take your stand firmly 75
take your strong chords 98
take your walks abroad 148
take your whole family 159
take your wives before 275
taking away civil places 54
taking baby steps toward 319
taking bold steps toward 47
taking deep breaths before 93
taking deep breaths through 119
taking down every detail 52
taking even fruit juices 46
taking food after midday 55
taking giant steps toward 105
taking great pride therein 149
taking high moral ground 40
taking over every aspect 73
taking over guard duties 49
taking over large tracts 59
taking rate which mexico 65
taking slow steps toward 49
taking some action toward 56
taking some steps toward 213
taking such action should 54
taking such action without 93
taking such drugs should 60
taking their daily stroll 41
taking their evening stroll 431
taking their first course 525
taking their first degree 172
taking their first feeble 44
taking their first flight 124
taking their first lesson 147
taking their fixed points 138
taking their goods without 48
taking their money without 129
taking their morning coffee 237
taking their morning repast 198
taking their morning stroll 167
taking their place amongst 85
taking their place behind 159
taking their place beside 422
taking their route through 62
taking their ships without 87
taking their strong places 45
taking their usual course 85
taking their usual places 74
taking their usual stroll 46
taking their walks abroad 185
taking their water supply 41
taking these drugs should 441
taking these steps toward 68
taking these steps without 42
taking third place behind 43
taking three steps toward 57
taking your first lesson 53
taking your pulse before 54
tale from which pieces 62
tale many times before 287
tale will refer mainly 64
talk many times before 167
talk more about choosing 44
talk more about family 106
talk more about feelings 85
talk more about issues 55
talk more about master 81
talk more about myself 92
talk more about sexual 111
talk much about feelings 84
talk much about myself 166
talk only about myself 72
talk over every detail 60
talk show after another 101
talk show hosts around 44
talk there about myself 87
talk took place before 67
talk well about something 43
tall bony gaunt figure 66
tall iron gates through 47
tall palm trees swayed 50
tall pine trees around 86
tall pine trees behind 81
tall pine trees seemed 40
tall pine trees standing 68
tall ship gliding onward 45
tall tale after another 69
tall young woman standing 133
tank dive costs around 132
task into small pieces 95
task lies first before 48
task made easier through 41
task many times before 86
task pane close button 121
task will still remain 65
tbsp mild curry powder 146
teach some basic skills 54
teach some moral lesson 104
teach their first school 104
teach their royal pupils 153
teach these basic skills 85
