taco shells and other 104
tact beyond his years 155
tags around her neck 97
tags around his neck 361
tags yellow with salt 44
tail across his face 166
tail around her body 46
tail around her feet 50
tail around her neck 207
tail around his body 98
tail around his feet 76
tail around his neck 278
tail around its body 81
tail barred with dark 69
tail feathers and their 136
tail feathers are also 570
tail feathers are blue 85
tail feathers are dark 442
tail feathers are like 50
tail feathers are more 172
tail feathers are much 259
tail feathers are pale 129
tail feathers are pure 110
tail feathers are used 260
tail feathers are very 424
tail feathers had been 252
tail feathers that were 55
tail feathers with their 120
tail gunner had been 124
tail harder than ever 44
tail section had been 156
tail slapping and banging 50
tail spreads out like 140
tail sticking out from 687
tail streaming out like 43
tail strike both ways 99
tail switch and other 58
tail untied its knot 117
take actions and make 333
take actions that give 55
take actions that harm 144
take actions that have 737
take actions that help 340
take actions that hurt 63
take actions that make 277
take actions that move 57
take actions that seem 91
take actions that were 323
take actions that will 4702
take advice and make 52
take advice than give 63
take almost all their 71
take almost any bait 368
take almost any case 106
take almost any food 60
take almost any form 1245
take almost any kind 469
take almost any means 66
take almost any other 176
take almost any risk 591
take almost any sort 60
take almost any step 47
take almost any type 150
take almost any work 49
take almost six years 45
take almost ten years 143
take almost two days 85
take almost two more 43
take almost two years 867
take another and less 85
take another and more 929
take another and very 79
take another big bite 69
take another big step 295
take another bus back 52
take another bus from 44
take another cue from 41
take another day like 68
take another dip into 64
take another few days 160
take another few years 211
take another hit like 44
take another leaf from 63
take another leap into 43
take another long breath 41
take another long drag 48
take another long look 230
take another long ride 45
take another long step 132
take another long trip 43
take another long walk 94
take another man from 55
take another man into 59
take another one from 105
take another one like 48
take another sip from 214
take another six years 256
take another ten days 144
take another ten years 954
take another two days 216
take another two years 1114
take another way home 131
take anyone you want 46
take around one hour 43
take around two years 84
take awhile for your 89
take before and during 286
take before any such 208
take before she went 81
take before they come 54
take before they have 125
take before they were 303
take before you call 44
take before you feel 89
take before you felt 73
take before you have 92
take before you know 47
take before you leave 82
take before you make 58
take before you reach 45
take before you take 157
take before you were 81
take before you will 43
take better aim next 46
take better and more 492
take bolder and more 65
take butter and eggs 59
take canada and nova 122
take charge and call 42
take charge and care 538
take charge and find 55
take charge and give 257
take charge and have 182
take charge and help 239
take charge and keep 277
take charge and look 58
take charge and make 2288
take charge and move 429
take charge and plan 41
take charge and push 44
take charge and rule 48
take charge and save 80
take charge and show 95
take charge and stop 53
take charge and take 233
take charge and tell 199
take charge and turn 71
take charge and when 72
take charge and work 146
take charge not only 505
take christ for their 219
take christ for your 548
take clearer and more 73
take coffee with cream 55
take credit for bringing 343
take credit for coming 103
take credit for ending 87
take credit for even 46
take credit for full 67
take credit for giving 108
take credit for good 765
take credit for having 2428
take credit for ideas 107
take credit for leading 40
take credit for making 805
take credit for many 209
take credit for more 329
take credit for most 241
take credit for much 469
take credit for nothing 186
take credit for only 167
take credit for other 288
take credit for saving 318
take credit for some 503
take credit for such 539
take credit for their 5485
take credit for these 970
take credit for those 248
take credit for what 4249
take credit for work 871
take credit for your 2049
take credit not only 41
take cuttings and root 42
take dalton and hold 42
take deeper and more 178
take double that time 110
take effect and also 889
take effect and come 806
take effect and have 480
take effect and there 49
take effect and when 57
take effect and will 54
take effect each time 71
take effect for five 65
take effect for many 74
take effect for more 124
take effect for only 45
take effect for some 166
take effect for such 228
take effect for those 58
take effect for three 117
take effect had been 41
take effect has been 53
take effect not less 76
take effect not only 142
take effect one month 419
take effect ten days 357
take effect they must 44
take effect this date 43
take effect too late 92
take effect two years 1537
take effect was nothing 46
take effort and time 119
take energy and time 112
take enough air into 66
take fiction for fact 94
take firmer and more 42
take flight and find 41
take flight and leave 196
take flight and move 42
take flight and seek 85
take flight and soar 230
take flight with half 43
take flight with their 179
take fluids and food 122
take fright and bolt 236
take fright and break 133
take fright and dash 47
take fright and flee 181
take fright and leave 243
take fright and make 60
take fright and think 44
take fright and throw 63
take fright and turn 129
take further and more 102
take greater and more 183
take ground for your 101
take ground that must 140
take hardly any food 107
take hardly any part 54
take hardly any time 171
take higher and more 70
take horses and ride 98
take inches off your 94
take itself off from 72
take larger and more 231
take lemons and make 124
take little things from 45
take master and miss 44
take measure and make 65
take myself and keep 46
take myself off from 45
take myself off home 109
take myself off your 63
take nature and truth 259
take nature for their 91
take needle and thread 101
take neither one side 57
take ninety per cent 159
take notice and call 55
take notice and come 51
take notice and give 101
take notice and learn 133
take notice and make 282
take notice and take 186
take notice and tell 54
