taken abstractedly from its 81
taken considerable care with 41
taken considerable time and 502
taken considerable time for 197
taken considerably less than 41
taken considerably more than 121
takes considerable care and 43
takes considerable time and 3466
takes considerable time but 57
takes considerable time for 1303
takes considerable work and 78
takes considerably less than 90
takes considerably more than 245
tarry countenances into all 48
telling interviewers what they 42
terms sufficiently clear and 118
tests consistently show that 110
thence successively into any 42
thence transplanted into that 44
thirty metropolitan areas with 58
though concentrated into one 63
though considerable areas are 51
though considerable time and 68
though considerable time had 48
though considerable time has 84
though considerable work has 59
though considerably less than 1433
though considerably more than 422
though consideration there was 75
though experimental data are 46
though participants were not 60
though philosophers will not 42
though quantitative data are 53
though subsequently there was 46
though substantially less than 121
times considerably less than 62
times sufficiently clear and 45
total agricultural land and 174
total agricultural land area 1087
total agricultural land has 52
total agricultural land use 57
total agricultural land was 155
total appropriations from all 81
total appropriations made for 41
total communication cost for 64
total communication time for 62
total computational time for 66
total considerably less than 57
total considerably more than 179
total consideration paid and 51
total consideration paid for 386
total contributions from all 212
total disengagement from his 49
total expenditures during that 45
total expenditures from all 85
total expenditures made for 146
total expenditures used for 73
total expenditures went for 116
total expenditures were for 103
total expenditures were not 50
total expenditures will not 46
total experimental time was 71
total helplessness left him 65
total independence from all 101
total independence from any 127
total independence from each 51
total independence from his 43
total unemployment rate and 121
total unemployment rate for 134
total unemployment rate was 147
treating hydrochloric acid with 55
trees interspersed among them 80
trees interspersed here and 69
truly international peace and 106
truly revolutionary break with 46
trust beneficiaries were not 51
turning unexpectedly upon him 47
