tail carried aloft but 47
tail coverts black with 127
tail coverts which are 240
tail coverts white with 248
tail stopped wagging and 43
take account above all 44
take against light and 52
take aspirin every day 107
take between author and 51
take between child and 42
take between eight and 220
take between fifty and 74
take between mother and 71
take between seven and 383
take between thirty and 122
take careful notes and 320
take careful notes for 50
take certain action and 90
take certain action with 71
take certain forms and 48
take certain order with 240
take certain risks and 140
take certain risks for 48
take certain risks that 72
take certain risks with 80
take certain steps and 140
take certain steps for 153
take certain steps that 502
take certain steps with 86
take chances every day 60
take chances rather than 88
take closely after one 43
take comfort knowing that 396
take command under him 198
take compass bearings and 72
take control again and 60
take control rather than 122
take counsel about them 45
take counsel about this 58
take courage again and 84
take courses which are 325
take courses which they 47
take creative risks and 65
take decades rather than 169
take decided issue with 60
take decided steps for 47
take diverse forms and 131
take drastic action and 350
take drastic action for 107
take drastic action now 54
take drastic action that 40
take drastic action with 110
take drastic steps and 261
take drastic steps for 63
take drastic steps that 85
take endless hours for 62
take endless pains with 42
take especial pains and 45
take especial pains not 49
take especial pains with 128
take evasive action and 691
take evasive action but 58
take evasive action with 64
take everything apart and 121
take extreme risks for 42
take extreme views and 52
take federal money for 40
take foolish risks and 138
take foolish risks with 43
take immense pains with 55
take instant steps for 50
take insulin every day 239
take lecture notes and 70
take lessons every day 128
take lessons sided with 48
take meaningful action and 80
take measures which are 869
take measures which can 58
take measures which lead 41
take measures which may 197
take measures which they 162
take measures within its 167
take minutes rather than 105
take moments about any 215
take moments about this 46
take offense easily and 69
take official action and 66
take official action for 50
take official action with 42
take present order for 104
take priority action for 66
take private lands for 49
take prudent risks and 80
take regular breaks and 118
take remedial action and 276
take remedial action for 118
take remedial action with 76
take service under any 158
take service under her 51
take service under him 671
take service under his 278
take service under one 192
take service under that 64
take service under them 77
take service under this 45
take service under you 65
take several forms and 2153
take several forms but 309
take several forms that 249
take several forms with 40
take several hours and 1697
take several hours but 57
take several hours each 48
take several hours for 1191
take several hours off 118
take several hours per 51
take several hours with 52
take several months and 872
take several months but 68
take several months for 1889
take several months off 358
take several pages and 62
take several readings and 77
take several steps and 85
take several steps that 142
take several weeks and 1270
take several weeks but 66
take several weeks for 2141
take several weeks off 371
take several wives and 69
take shallow breaths and 92
take shelter beneath his 40
take shelter beneath its 64
take shelter under any 263
take shelter under her 451
take shelter under him 307
take shelter under his 869
take shelter under its 711
take shelter under one 231
take shelter under our 140
take shelter under that 417
take shelter under them 419
take shelter under this 704
take shelter where they 209
take shelter within its 291
take shorter steps and 55
take shorter steps than 67
take showers after gym 52
take showers every day 133
take showers rather than 98
take similar action and 162
take similar action but 41
take similar action for 101
take similar action with 245
take similar pains with 47
take similar risks with 60
take similar steps and 55
take similar steps for 79
take similar steps with 124
take slovakia under his 52
take smaller bites and 55
take smaller steps and 63
take smaller steps than 57
take stronger action than 133
take trouble about them 98
take unusual pains with 40
take visible shape and 196
take vitamin pills and 46
take wharton under his 47
taking ability rather than 145
taking aspirin every day 182
taking behavior rather than 110
taking between mother and 42
taking between thirty and 53
taking careful notes and 190
taking certain drugs and 79
taking certain drugs for 77
taking certain drugs that 129
taking certain steps that 50
taking compass bearings and 118
taking control rather than 53
taking courses which are 91
taking drastic steps and 51
taking especial pains with 67
taking evasive action and 125
taking illegal drugs and 67
taking lecture notes and 68
taking lessons every day 49
taking liberty where god 124
taking measures which are 125
taking measures which may 78
taking moments about and 79
taking moments about any 435
taking moments about each 106
