tag securely attached to 92
tax accounting treatment of 60
tax benefits accorded to 203
tax benefits afforded by 197
tax benefits afforded to 53
tax benefits attached to 49
tax benefits designed to 56
tax benefits directly to 46
tax benefits expected to 72
tax benefits extended to 76
tax benefits inherent in 259
tax benefits involved in 44
tax benefits obtained by 70
tax benefits provided by 517
tax benefits provided in 56
tax benefits provided to 223
tax benefits received by 617
tax benefits relative to 93
tax collecting agencies of 44
tax consulting services to 44
tax deduction pursuant to 65
tax deferral benefits of 186
tax deferral benefits to 66
tax exemption accorded to 238
tax exemption extended to 80
tax exemption provided by 269
tax exemption provided in 144
tax exemption provided to 123
tax exemption provision of 44
tax exemption pursuant to 302
tax immunity attaches to 58
tax increases designed to 250
tax increases included in 98
tax increases proposed by 195
tax increases required to 175
tax interest payments on 53
tax interest received by 46
tax liability amounted to 54
tax liability attached to 81
tax liability attaches to 125
tax liability computed at 54
tax liability computed on 232
tax liability deferred by 212
tax liability exceeded the 43
tax liability increased by 52
tax liability increases by 53
tax liability incurred as 101
tax liability incurred by 665
tax liability incurred in 135
tax liability incurred on 113
tax liability inherent in 74
tax liability involved in 64
tax liability pursuant to 347
tax liability relative to 82
tax liability reported on 356
tax payments amounted to 206
tax payments directly to 88
tax payments relative to 162
tax payments required by 47
tax payments required of 127
tax payments required to 253
tax personal property in 40
tax personal property of 102
tax policies designed to 892
tax policies intended to 93
tax problems incident to 62
tax problems inherent in 95
tax problems involved in 106
tax programs designed to 44
tax purposes amounted to 104
tax purposes includes the 179
tax purposes provided the 70
tax purposes pursuant to 328
tax purposes resulted in 60
tax receipts amounted to 342
tax receipts increased by 154
tax receipts relative to 76
tax receipts required to 56
tax reduction provided by 50
tax revenues amounted to 598
tax revenues compared to 76
tax revenues continue to 208
tax revenues declined by 115
tax revenues declined in 92
tax revenues directly to 56
tax revenues exceeded the 89
tax revenues foregone by 104
tax revenues increased by 676
tax revenues increased in 49
tax revenues produced by 247
tax revenues provided by 209
tax revenues received by 528
tax revenues received in 85
tax revenues relative to 494
tax revenues required to 322
tax revenues resulted in 96
tax revenues supplied the 67
tax shelters provided by 43
tax treatment accorded the 197
tax treatment accorded to 709
tax treatment afforded by 93
tax treatment afforded the 88
tax treatment afforded to 222
tax treatment compared to 70
tax treatment provided by 433
tax treatment provided in 84
tax treatment pursuant to 49
tax treatment received by 57
tax treatment relative to 81
team approach consisting of 255
team approach provides the 121
team composed entirely of 297
team consisting entirely of 78
team consists entirely of 47
team directly involved in 41
team normally consists of 185
team provides services to 42
team reported directly to 69
tear actually twinkled in 103
tear whatever ventures to 53
ten american divisions to 67
ten counties included in 50
ten essential elements of 112
ten graduate students in 110
ten horsemen mentioned by 51
ten minority languages of 84
ten parallel trenches to 144
ten patients admitted to 58
ten questions concerning the 76
ten questions designed to 93
ten specific examples of 48
ten students enrolled in 143
ten thousands flourish in 147
ten wealthiest families in 72
than absolute increases in 43
than absolute totality in 48
than abstract concepts of 60
than abstract concepts or 62
than abstract interest in 56
than abstract questions of 46
than academic interest as 245
than academic interest at 56
than academic interest if 63
than academic interest in 666
than academic interest is 77
than academic interest to 1322
than accident prepared to 141
than accurate accounts of 48
than actively attempting to 43
than actively involved in 73
than actually attempting to 61
than actually employed in 118
than actually observed in 57
than actually occurred in 272
than actually performing the 130
than actually required by 105
than actually required in 58
than actually required to 150
than adequate attention in 51
than adequate attention to 242
than adequate capacity to 56
than adequate coverage of 93
than adequate evidence of 158
than adequate evidence to 88
than adequate quantity of 48
than adequate reserves of 49
than adequate response to 128
than adequate standard of 67
than adequate supplies of 212
than adequate treatment of 60
than american children do 103
than american children in 113
than american children of 101
than american children on 83
than american children to 105
than american students do 108
than american students in 103
than american students on 65
than american students to 88
than attempting directly to 47
than benjamin franklin or 43
than casually involved in 68
than chemical analysis of 69
than children educated in 40
than children enrolled in 51
than clinical judgment in 44
than committing yourself to 86
than commonly abundant in 210
than commonly affected by 102
than commonly apparent in 54
than commonly diligent in 145
than commonly observed in 61
than commonly prevails in 44
than commonly supposed in 54
than complete abolition of 64
than complete cessation of 61
than complete coverage of 102
than complete rejection of 52
than concerning sensible or 40
than confront directly the 46
than connecting directly to 80
than conscious attempts to 55
than constant exposure to 66
than convincing evidence of 47
than critical analysis of 70
than delegate authority to 41
than delegating authority to 55
than detailed accounts of 99
than detailed analysis of 182
than directly addressing the 202
than directly attempting to 51
than directly challenge the 57
than directly challenging the 154
than directly confront the 94
than directly involved in 80
than directly reflecting the 40
than directly responding to 47
than distorting distance is 130
than domestic servants in 86
than doubtful authority of 40
than doubtful evidence of 102
than downward mobility in 60
than economic activity in 51
than economic analysis of 50
than economic purposes or 42
than elizabeth required the 89
than epicurean severity of 73
than essential elements of 61
than everyday problems or 243
than evidence describing the 129
than expected compared to 190
than expected increases in 206
than expected progress in 62
than expected recovery of 57
than expected reduction in 87
than expected relative to 248
than expected response to 54
than expenses incurred in 71
than external evidence to 44
than external situation in 104
than feminine delicacy of 100
than flattering portrait of 133
than formerly obtained in 40
than formerly occurred in 49
than fourteen passenger or 84
than friendly interest in 233
than futilely attempting to 42
than graduate students in 123
than hydrogen attached to 40
than immediate recourse to 60
than increased attention to 54
than indirect evidence of 58
than initially expected by 51
than initially proposed by 58
than interest payments on 135
than inventor whenever an 82
than isolated examples of 137
than literary interest in 45
than marginal increases in 78
than marginal interest in 57
than marginal interest to 105
than military authority in 40
than military solutions to 152
than negative evidence to 69
than normally employed in 41
than normally expected in 105
than normally observed in 216
than normally obtained in 41
than normally required by 73
than normally required in 71
than normally required to 91
than offsetting increases in 46
than offsetting reduction in 40
than ordinary activity in 56
than ordinary activity of 136
than ordinary affection to 55
than ordinary alacrity in 69
than ordinary attention at 48
than ordinary attention in 211
than ordinary attention is 122
than ordinary attention on 118
than ordinary attention to 1545
than ordinary capacity to 66
than ordinary citizens do 66
than ordinary citizens in 80
than ordinary citizens to 113
than ordinary curiosity of 131
than ordinary curiosity to 116
than ordinary evidence to 55
than ordinary exercise of 126
than ordinary exertions of 136
than ordinary expenses to 83
than ordinary exposure to 45
than ordinary extension of 175
than ordinary facility in 62
than ordinary facility of 84
than ordinary interest as 283
than ordinary interest at 92
than ordinary interest by 126
than ordinary interest in 4822
than ordinary interest is 321
than ordinary interest on 196
than ordinary interest or 40
than ordinary interest the 101
than ordinary interest to 1493
than ordinary laborious to 47
than ordinary liability to 44
than ordinary mischief in 118
than ordinary officious in 41
than ordinary patience to 143
than ordinary progress in 113
than ordinary prudence in 81
than ordinary prudence to 66
than ordinary quantity of 371
than ordinary struggle to 106
than ordinary tendency to 52
than otherwise possible in 47
than otherwise required by 115
than outright purchase of 95
than outright rejection of 198
than outright ugliness or 67
than passable imitation of 41
than paternal interest in 42
than paternal kindness of 41
than patients assigned to 100
than patients operated on 95
than payments pursuant to 72
than performing services as 53
than personal interest in 59
than personal interest or 41
than personal property of 52
than personal security to 48
