tan a verse which 82
tax a people under 531
tear a nation apart 56
tear a small piece 184
than a basic cause 148
than a basic change 187
than a basic holding 217
than a basic human 171
than a basic level 140
than a basic right 275
than a basic social 132
than a basis drawn 40
than a bawdy house 55
than a beaten track 140
than a beauty queen 66
than a beauty which 290
than a begging shift 59
than a belly laugh 142
than a bengal jungle 113
than a bengal tiger 93
than a bible study 47
than a binding force 57
than a binding legal 74
than a black child 309
than a black cloud 79
than a black crape 246
than a black dress 51
than a black horse 124
than a black shape 106
than a black sheep 73
than a black slave 86
than a black snail 99
than a black speck 159
than a black widow 46
than a black woman 437
than a blank check 120
than a blank piece 157
than a blank sheet 371
than a blank slate 295
than a blank space 234
than a blank stare 267
than a blind alley 174
than a blind force 67
than a blind groping 191
than a blind guess 320
than a blind horse 91
than a blind search 46
than a blind trust 51
than a block apart 122
than a block grant 42
than a blunt arrow 44
than a board meeting 53
than a board which 62
than a boozing clown 92
than a bowling alley 119
than a brain state 157
than a brain tumor 95
than a brass plate 101
than a breathing space 528
than a breathing spell 191
than a breathing woman 71
than a brick house 106
than a brief delay 80
than a brief essay 67
than a brief flash 98
than a brief hello 41
than a brief hiatus 47
than a brief listing 51
than a brief meeting 53
than a brief passing 47
than a brief pause 168
than a brief period 6851
than a brief season 108
than a brief smile 45
than a brief space 207
than a brief spell 93
than a brief stint 62
than a brief truce 80
than a brief visit 648
than a brief while 120
than a brisk pinch 81
than a brisk trade 46
than a brisk walking 107
than a broad ditch 51
than a broad green 44
than a broad laugh 110
than a broad river 65
than a broad social 69
than a broad stare 103
than a broad white 173
than a broom straw 40
than a brown paper 148
than a brown slime 49
than a brute force 313
than a budding woman 109
than a burial place 70
than a burning issue 43
than a burning thirst 44
than a cable modem 108
than a caged tiger 80
than a camel could 75
than a candy store 67
than a carving knife 45
than a cause which 99
than a chain store 58
than a chain which 89
than a change agent 58
than a change which 136
than a change within 50
than a check dated 43
than a check drawn 62
than a chess piece 72
than a chief clerk 101
than a child about 74
than a child after 57
than a child could 608
than a child feels 42
than a child growing 90
than a child knows 112
than a child might 84
than a child needs 117
than a child playing 115
than a child really 52
than a child reared 53
than a child sitting 54
than a child still 96
than a child thinks 83
than a child under 207
than a child which 52
than a child whose 680
than a child would 454
than a china orange 212
than a civil action 176
than a civil court 405
than a civil leader 58
than a civil power 46
than a civil right 194
than a civil ruler 61
than a claim about 273
than a claim based 102
than a claim under 93
than a claim which 57
than a class action 398
than a class basis 131
than a class party 107
than a class period 171
than a class which 72
than a cleaning woman 55
than a clearing house 330
than a clock cycle 57
than a clock period 53
than a clock which 46
than a close shave 41
than a close study 179
than a clothing store 67
than a cloud which 46
than a coach could 45
than a coast guard 57
than a color change 43
than a comic actor 65
than a comic opera 136
than a comic strip 269
than a comma after 90
than a comma alone 72
than a comma would 158
than a court action 86
than a court clerk 75
than a court could 128
than a court house 54
than a court might 69
than a court order 290
than a court which 67
than a court would 260
than a cover story 116
than a craft basis 313
than a craft could 44
than a crawl space 155
than a creed which 99
than a crime scene 78
than a crown piece 530
than a crude first 94
than a crude guess 64
than a crude index 43
than a cruel slave 88
than a cubic meter 206
than a cunning knave 42
than a curve which 54
than a cutting action 124
than a cutting loose 58
than a daily basis 403
than a daily paper 131
than a daisy chain 54
than a dance floor 40
than a dance house 44
than a dandy would 40
than a deadly weapon 52
than a dealer would 55
than a defeat would 46
than a dense black 41
than a depot stove 55
than a digging stick 191
than a dirty feather 73
than a dirty trick 46
than a doubt about 97
than a doubt where 52
than a dozen acres 194
than a dozen adult 146
than a dozen after 41
than a dozen arabs 40
than a dozen armed 470
than a dozen atoms 77
than a dozen balls 73
than a dozen bands 65
than a dozen banks 172
than a dozen basic 122
than a dozen bills 220
than a dozen birds 460
than a dozen black 610
than a dozen blows 49
than a dozen boats 238
than a dozen bombs 90
than a dozen books 7643
than a dozen boxes 94
than a dozen brand 48
than a dozen brief 61
than a dozen broad 40
than a dozen calls 386
than a dozen camps 47
than a dozen cards 76
than a dozen cases 1829
than a dozen cells 86
than a dozen civil 84
than a dozen close 119
than a dozen clubs 79
than a dozen coats 45
than a dozen could 280
than a dozen crops 45
than a dozen daily 416
than a dozen dates 104
than a dozen drugs 75
than a dozen empty 71
than a dozen enemy 267
than a dozen ethnic 161
than a dozen faces 57
than a dozen facts 74
than a dozen farms 58
than a dozen field 123
than a dozen files 48
than a dozen films 539
than a dozen fires 173
than a dozen firms 430
than a dozen first 287
than a dozen fishing 126
than a dozen flags 157
than a dozen flies 135
than a dozen flint 43
than a dozen folks 40
than a dozen forms 296
than a dozen forts 42
than a dozen fresh 55
than a dozen fully 54
than a dozen funds 53
than a dozen games 111
than a dozen genes 116
than a dozen girls 337
than a dozen greek 79
than a dozen hands 369
than a dozen healthy 66
than a dozen hearings 47
than a dozen holes 69
than a dozen homes 209
than a dozen horse 132
than a dozen hours 565
than a dozen house 47
than a dozen human 299
than a dozen hymns 46
than a dozen indian 240
than a dozen irish 46
than a dozen items 329
than a dozen joint 68
than a dozen kinds 528
than a dozen known 224
than a dozen labor 111
than a dozen laces 40
than a dozen lakes 237
than a dozen large 1210
than a dozen later 45
than a dozen latin 339
than a dozen legal 51
than a dozen lengths 50
than a dozen light 90
than a dozen lines 1316
than a dozen lives 500
than a dozen loads 59
than a dozen local 500
than a dozen major 5193
than a dozen males 42
than a dozen miles 4111
than a dozen mills 76
than a dozen mines 80
than a dozen minor 91
than a dozen monks 141
than a dozen motion 97
than a dozen moves 42
than a dozen movie 122
than a dozen named 70
than a dozen names 1083
than a dozen negro 262
than a dozen nests 98
than a dozen newly 51
than a dozen notes 185
than a dozen others 2224
than a dozen paces 1883
than a dozen pages 1514
than a dozen pairs 472
than a dozen parks 47
than a dozen parts 62
than a dozen people 7655
than a dozen phone 219
than a dozen plans 98
than a dozen plant 164
than a dozen plays 1216
than a dozen ports 99
than a dozen posts 51
than a dozen press 51
than a dozen races 72
than a dozen really 98
than a dozen rival 44
than a dozen roads 47
than a dozen rooms 367
than a dozen roses 91
than a dozen round 103
than a dozen rules 53
than a dozen sales 46
than a dozen sects 72
than a dozen senior 209
than a dozen sheep 139
than a dozen ships 621
than a dozen shops 258
than a dozen short 593
than a dozen shots 269
than a dozen shows 180
than a dozen since 60
than a dozen sites 366
than a dozen skins 40
than a dozen small 2374
than a dozen social 67
than a dozen sorts 55
than a dozen souls 91
than a dozen spots 199
than a dozen springs 45
than a dozen staff 172
than a dozen stars 223
than a dozen state 976
than a dozen steel 90
than a dozen steps 2219
than a dozen still 84
than a dozen stock 128
than a dozen stone 82
than a dozen stops 45
than a dozen strong 191
than a dozen suits 143
than a dozen takes 44
than a dozen tanks 102
than a dozen terms 57
than a dozen tests 183
than a dozen texts 149
than a dozen times 12407
than a dozen towns 439
than a dozen trace 54
than a dozen trade 92
than a dozen trees 168
than a dozen trials 85
than a dozen trips 351
than a dozen trout 59
than a dozen turns 103
than a dozen types 719
than a dozen under 55
than a dozen unions 107
than a dozen units 107
than a dozen urban 69
than a dozen users 44
than a dozen votes 609
than a dozen waiting 49
than a dozen water 130
than a dozen weeks 77
than a dozen wells 86
than a dozen which 177
than a dozen white 471
than a dozen whose 49
than a dozen wines 70
than a dozen within 43
than a dozen wives 79
than a dozen women 1394
than a dozen words 3372
than a dozen working 67
than a dozen works 1344
than a dozen world 119
than a dozen would 221
than a dozen yards 2477
than a dozen youths 41
than a draft horse 50
than a drawing board 55
than a dreary swamp 55
than a dreary waste 102
than a drill press 44
than a driving force 315
than a dusty track 59
than a failing grade 95
than a faint blush 232
than a faint groan 54
than a faint image 91
than a faint light 43
than a faint sense 41
than a faint smile 168
than a faint sound 47
than a faint trace 221
than a faint whiff 74
than a fairy story 188
than a falling stone 92
than a false alarm 449
than a false front 116
than a false knave 53
than a false print 61
than a false sense 228
than a false start 136
than a false vision 64
than a fancy dress 81
than a father could 102
than a father loves 58
than a father would 236
than a feeling about 41
than a feeling based 72
than a feeling which 142
than a fence about 92
than a fencing match 55
than a fever really 47
than a field guide 81
than a field mouse 268
than a field slave 40
than a field study 41
than a field which 53
than a fight about 50
than a final cause 72
than a final court 48
than a final resting 114
than a final stage 67
than a final state 153
than a first cause 228
than a first class 944
than a first draft 242
than a first essay 40
than a first grade 119
than a first meeting 86
than a first night 101
than a first order 247
than a first rough 60
than a first stage 191
than a first state 47
than a first visit 97
than a fishing smack 257
than a fixed asset 67
than a fixed habit 50
than a fixed level 108
than a fixed light 135
than a fixed limit 83
than a fixed order 52
than a fixed period 240
than a fixed place 56
than a fixed point 847
than a fixed price 502
than a fixed share 55
than a fixed social 67
than a fixed state 578
than a fixed value 661
than a flank guard 47
than a flash flood 54
than a flesh wound 1262
than a flowing river 58
than a flowing stream 95
than a fluid ounce 46
than a focal point 322
than a focus group 178
than a force which 175
than a forum where 71
than a fourth above 92
than a fourth grade 374
than a frame house 112
than a fresh piece 46
than a fresh proof 40
than a fresh start 190
than a fresh water 87
than a fully adult 104
than a fully grown 237
than a fully human 121
than a funny story 71
than a genial warmth 43
than a genre scene 45
than a ghost story 388
than a ghost within 77
than a given bound 266
than a given error 98
than a given level 453
than a given limit 326
than a given period 439
than a given point 228
than a given price 115
than a given score 116
than a given share 56
than a given sieve 81
than a given small 137
than a given speed 61
than a given state 91
than a given upper 59
than a given value 6702
than a glass ceiling 43
than a glass plate 61
than a globe valve 62
than a goose quill 715
than a gothic watch 76
than a grade level 76
than a grand total 107
than a grant basis 41
than a grass field 41
than a grass roots 49
than a grass widow 50
than a grave error 49
than a grave smile 115
than a green field 77
than a green light 267
than a green purse 82
than a green salad 61
than a green stain 57
than a gross abuse 57
than a gross basis 74
than a gross error 48
than a gross libel 44
than a group basis 302
than a group given 111
than a group leader 65
than a group level 124
than a group setting 145
than a group where 46
than a group which 430
than a group whose 212
than a group within 49
than a group working 47
than a growing child 40
than a growing sense 67
than a grown woman 507
than a gruff sound 129
than a gruff voice 53
than a guess about 158
than a guess based 204
than a guess which 47
than a guest house 79
than a guiding light 133
than a habit which 68
than a halting place 54
than a happy child 48
than a happy guess 59
than a happy hunting 99
than a hasty visit 41
than a healthy adult 150
than a healthy child 302
than a healthy human 41
than a healthy sense 72
than a healthy state 110
than a healthy woman 48
than a hearty laugh 173
than a herring could 44
than a hindu would 45
than a holding action 1213
than a honda civic 70
than a horse could 1169
than a horse track 50
than a horse trail 84
than a horse which 94
than a horse would 116
than a hotel clerk 44
than a hotel lobby 72
than a hotel suite 59
than a hotel where 73
than a house built 244
than a house could 59
than a house mouse 120
than a house organ 115
than a house where 133
than a house which 150
than a human action 47
than a human adult 93
than a human agent 68
than a human brain 492
than a human brute 77
than a human child 313
than a human could 492
than a human enemy 46
than a human error 47
than a human father 132
than a human judge 62
than a human mother 110
than a human pilot 129
than a human power 143
than a human right 256
than a human scalp 84
than a human shape 49
than a human skull 72
than a human sound 121
than a human story 121
than a human voice 1091
than a human woman 74
than a human would 208
than a hunch about 56
than a hungry tiger 43
than a hunting knife 85
than a hunting lodge 160
than a hunting party 70
than a joint stock 264
than a judge could 52
than a judge sitting 57
than a judge whose 41
than a judge would 166
than a junior clerk 67
than a kingdom which 110
than a knife blade 283
than a knife wound 57
than a label which 94
than a labor force 75
than a labor leader 179
than a landing place 62
than a landing strip 139
than a large apple 777
than a large array 55
than a large black 112
than a large block 215
than a large board 62
than a large brook 79
than a large cabin 51
than a large change 109
than a large child 51
than a large chunk 45
than a large class 202
than a large clearing 85
than a large clump 42
than a large creek 47
than a large crowd 74
than a large ditch 68
than a large drawing 50
than a large empty 54
than a large field 287
than a large fishing 182
than a large flock 70
than a large force 211
than a large glass 87
than a large goose 44
than a large grain 56
than a large grant 43
than a large group 2171
than a large horse 84
than a large hotel 86
than a large house 332
than a large knife 44
than a large mouse 57
than a large nation 53
than a large opening 47
than a large orange 207
than a large party 192
than a large piece 372
than a large plant 173
than a large quill 63
than a large river 89
than a large round 117
than a large scale 480
than a large share 130
than a large sheet 72
than a large shrub 128
than a large slice 124
than a large sloop 113
than a large space 68
than a large staff 54
than a large state 116
than a large stock 95
than a large stone 226
than a large store 122
than a large stream 89
than a large table 206
than a large tract 79
than a large truck 108
than a large urban 48
than a large value 81
than a large water 44
than a large white 127
than a later period 112
than a later phase 40
than a later stage 103
than a latin people 53
than a leader whose 46
than a league above 61
than a league apart 60
than a league broad 60
than a legal action 59
than a legal basis 175
than a legal brief 66
than a legal claim 98
than a legal issue 373
than a legal point 122
than a legal right 886
than a legal sense 296
than a legal title 63
than a lengthy period 42
than a lethal weapon 45
than a level plain 116
than a level playing 121
than a level which 50
than a light brown 157
than a light cloud 50
than a light color 64
than a light dusting 114
than a light green 84
than a light piece 89
than a light sandy 42
than a light shining 83
than a light snack 49
than a light straw 88
than a light touch 455
than a light which 52
than a light woman 47
than a limit value 93
than a linear array 86
than a linear chain 170
than a linear model 632
than a linear scale 310
than a linear search 339
than a linear story 40
than a linear trend 134
than a linen shirt 47
than a local action 40
than a local appeal 64
than a local basis 530
than a local board 83
than a local cause 91
than a local change 40
than a local court 95
than a local deity 45
than a local event 110
than a local force 53
than a local group 69
than a local issue 209
than a local labor 222
than a local leader 51
than a local lesion 62
than a local level 321
than a local paper 74
than a local point 144
than a local scale 999
than a local sense 58
than a local social 64
than a local store 43
than a local story 65
than a local study 50
than a local trade 221
than a local value 109
than a lodging house 93
than a logging trail 40
than a longer period 798
than a looking glass 48
than a loose group 53
than a loose league 45
than a loose piece 45
than a loose sense 54
than a loose woman 40
than a lover would 76
than a lower bound 418
than a lower class 273
than a lower court 62
than a lower grade 174
than a lower level 588
than a lower limit 254
than a lower order 93
than a lower power 40
than a lower price 392
than a lower score 115
than a lower stage 123
than a lower value 147
than a lucky guess 440
than a magic trick 55
than a major cause 169
than a major change 255
than a major event 55
than a major force 69
than a major issue 48
than a major league 129
than a major party 53
than a major shift 152
than a major social 55
than a manor house 115
than a match either 75
than a match stick 90
than a meeting house 45
than a meeting place 471
than a meeting point 97
than a melting point 94
than a merit basis 40
than a merry smile 85
than a metal plate 89
than a meter above 519
than a meter apart 165
than a meter below 270
than a meter stick 65
than a method based 163
than a method which 389
than a methyl group 377
than a micro level 51
than a minor cause 53
than a minor change 262
than a minor check 44
than a minor error 49
than a minor event 46
than a minor issue 75
than a minor league 85
than a minor local 62
than a minor party 66
than a minor piece 40
than a minor place 128
than a minor power 59
than a minor scale 49
than a minor share 232
