tab their entrees above 45
tar from tobacco smoke 50
tax base against which 100
tax base brought about 45
tax cuts enacted since 120
tax free capital gains 138
tax free exchange under 137
tax rate increase would 72
tax those samples would 42
tax upon capital gains 106
tax upon capital stock 122
tax upon foreign goods 49
tax upon freight taken 52
tax upon tobacco would 100
tax years beginning after 38915
team back together again 104
tear their fetters apart 70
tear their victims apart 53
teas from damaged black 40
ten best dressed women 71
ten days together while 63
ten days together writing 47
ten good persons could 87
ten good workmen would 62
ten just persons would 94
ten mile coastal strip 45
ten more minutes until 121
ten more minutes while 40
ten most admired women 185
ten most popular books 147
ten most popular films 96
ten most popular names 114
ten most popular shows 53
ten most rapidly growing 76
ten years brought about 48
ten years congress fixes 54
ten years elapsed after 116
ten years elapsed since 70
ten years exactly after 45
ten years following world 629
ten years preceding world 233
ten years spanish ships 42
than along general lines 102
than along national lines 74
than among married people 454
than among married women 665
than among settled people 51
than bank deposit rates 52
than birth control pills 257
than boys because girls 90
than buying bottled water 89
than cheap plastic discs 248
than clear windows where 89
than dost promise aught 566
than during colonial times 138
than during daytime hours 46
than even between women 45
than even disunion would 45
than even regular beauty 55
than even spanish envoy 45
than ever because people 41
than ever existed under 160
than ever twisted braid 62
than ever worried about 50
than face certain defeat 104
than five decades after 352
than five decades later 298
than five decades since 199
than five degrees above 227
than five degrees below 79
than five dollars shall 90
than five hundred acres 2971
than five hundred armed 261
than five hundred banks 56
than five hundred birds 61
than five hundred black 85
than five hundred boats 80
than five hundred books 396
than five hundred bucks 69
than five hundred carts 42
than five hundred cases 476
than five hundred cubic 247
than five hundred enemy 61
than five hundred farms 53
than five hundred fifty 101
than five hundred films 77
than five hundred firms 58
than five hundred girls 86
than five hundred grams 67
than five hundred grazing 57
than five hundred hands 60
than five hundred homes 61
than five hundred horse 477
than five hundred hours 308
than five hundred human 136
than five hundred indian 389
than five hundred items 136
than five hundred kinds 105
than five hundred large 151
than five hundred light 94
than five hundred lines 398
than five hundred lives 236
than five hundred local 178
than five hundred major 70
than five hundred marks 70
than five hundred miles 7523
than five hundred monks 123
than five hundred mutes 54
than five hundred names 199
than five hundred negro 49
than five hundred others 177
than five hundred paces 547
than five hundred pages 2218
than five hundred pairs 93
than five hundred parts 47
than five hundred people 5310
than five hundred pesos 1023
than five hundred plays 77
than five hundred rooms 426
than five hundred sheep 77
than five hundred ships 440
than five hundred shops 74
than five hundred short 98
than five hundred sites 45
than five hundred small 265
than five hundred souls 651
than five hundred steps 62
than five hundred strong 217
than five hundred tanks 55
than five hundred times 1162
than five hundred towns 102
than five hundred trees 82
than five hundred types 55
than five hundred units 80
than five hundred votes 404
than five hundred weeks 126
than five hundred wells 40
than five hundred white 111
than five hundred women 483
than five hundred words 1084
than five hundred works 263
than five hundred would 104
than five hundred writs 53
than five hundred yards 3725
than five members shall 214
than five millions voted 128
than five minimum wages 64
than five minutes about 82
than five minutes after 4620
than five minutes alone 147
than five minutes apart 312
than five minutes could 89
than five minutes either 40
than five minutes every 193
than five minutes later 7572
than five minutes longer 66
than five minutes looking 59
than five minutes since 384
than five minutes spent 54
than five minutes talking 59
than five minutes under 90
than five minutes until 143
than five minutes while 82
than five minutes would 162
than five musical notes 75
than five percent above 45
than five persons could 57
than five persons shall 74
than five printed pages 43
than five regular solid 47
than five seconds after 258
than five seconds later 184
than five several times 58
than five thousand acres 1063
than five thousand armed 53
than five thousand banks 138
than five thousand black 88
than five thousand books 191
than five thousand cases 266
than five thousand eight 171
than five thousand horse 109
than five thousand hours 123
than five thousand human 48
than five thousand hungry 63
than five thousand items 85
than five thousand lines 161
than five thousand lives 197
than five thousand local 56
than five thousand marks 71
than five thousand miles 2268
than five thousand monks 115
than five thousand names 96
than five thousand negro 85
than five thousand others 45
than five thousand pages 282
than five thousand people 4150
than five thousand pesos 1511
than five thousand seven 147
than five thousand sheep 116
than five thousand ships 111
than five thousand souls 449
than five thousand strong 239
than five thousand times 309
than five thousand trees 89
than five thousand turks 46
than five thousand units 61
than five thousand votes 355
than five thousand which 64
than five thousand white 106
than five thousand women 352
than five thousand words 545
than five thousand works 69
than five thousand would 100
than five thousand yards 130
than five together under 49
than four ancient halls 43
than four decades after 1714
than four decades later 3277
than four decades since 577
than four decades under 63
than four decades until 73
than four decades would 56
than four degrees above 119
than four degrees below 195
than four hundred acres 787
than four hundred armed 175
than four hundred black 82
than four hundred books 361
than four hundred cases 271
than four hundred changing 72
than four hundred could 68
than four hundred cubic 145
than four hundred farms 49
than four hundred fifty 398
than four hundred films 107
than four hundred firms 58
than four hundred girls 67
than four hundred goats 43
than four hundred grams 67
than four hundred homes 63
than four hundred horns 90
than four hundred horse 111
than four hundred hours 179
than four hundred human 41
than four hundred hymns 68
than four hundred indian 69
than four hundred items 133
than four hundred kinds 71
than four hundred large 127
than four hundred lines 363
than four hundred lives 253
than four hundred local 133
than four hundred marks 127
than four hundred miles 12735
than four hundred monks 56
than four hundred moors 89
than four hundred names 168
than four hundred others 123
than four hundred paces 216
than four hundred pages 1930
than four hundred pairs 49
than four hundred people 2545
than four hundred pesos 106
than four hundred plays 79
than four hundred rooms 48
than four hundred seamen 49
than four hundred ships 319
