taco seasoning mix and 145
tact enough for that 54
tact taught him that 50
tact warned him that 50
tail behind him and 127
tail fanned out and 66
tail feathers and long 45
tail feathers and then 49
tail feathers and two 54
tail feathers and wings 70
tail feathers are all 146
tail feathers are long 281
tail feathers are not 560
tail feathers are red 60
tail feathers long and 56
tail feathers that are 454
tail gunner who had 106
tail gunner who was 101
tail itself not being 44
tail lashed out and 52
tail pieces for new 56
tail should get one 40
tail should not wag 233
tail sticking out and 93
tail wagged and his 41
take abroad with him 135
take abroad with them 91
take actions now that 63
take actions that are 5893
take actions that bring 54
take actions that can 355
take actions that lead 191
take actions that may 499
take actions that put 58
take actions that run 54
take actions that they 361
take actions that you 103
take advice and act 83
take almost all day 44
take almost all his 107
take almost all our 46
take almost any fly 45
take almost any job 246
take almost any one 125
take almost that long 151
take another and then 66
take another bath and 73
take another cab and 40
take another day and 90
take another day for 209
take another day off 951
take another day with 50
take another for his 43
take another hit and 48
take another job and 184
take another job for 83
take another job that 245
take another job with 102
take another leaf out 65
take another long sip 58
take another man and 78
take another man for 69
take another man out 85
take another man with 119
take another one and 208
take another one for 75
take another one now 54
take another one out 144
take another one with 59
take another path and 131
take another sip and 137
take another two and 110
take another way and 86
take another way out 183
take another way with 41
take another with him 68
take another with you 47
take another year and 279
take another year for 283
take another year off 64
take anyone but her 54
take anyone who can 89
take anyone who did 43
take anyone who has 71
take anyone who was 181
take anyone with her 62
take anyone with him 219
take anyone with them 58
take anyone with you 295
take around with him 65
take around with them 72
take around with you 68
take atkins and two 157
take awhile for her 70
take awhile for him 127
take awhile for them 118
take awhile for you 150
take before one can 59
take before she was 73
take before they are 384
take before they can 249
take before they get 48
take before they got 41
take before you are 238
take before you can 1161
take before you get 236
take before you got 62
take before you see 87
take better aim with 63
take better men than 40
take bribes and you 120
take burden for his 65
take castor oil and 64
take chairs and sit 44
take chance for that 46
take charge and act 237
take charge and are 70
take charge and ask 53
take charge and bring 117
take charge and deal 78
take charge and for 49
take charge and get 983
take charge and lead 591
take charge and let 67
take charge and not 135
take charge and put 136
take charge and run 490
take charge and say 59
take charge and see 354
take charge and set 312
take charge and that 143
take charge and then 52
take charge and they 50
take charge and try 91
take charge and use 76
take charge and was 64
take charge and you 67
take charge for him 76
take charge now and 44
take christ and his 130
take christ for his 169
take christ for our 245
take christ with you 65
take clothes that are 90
take coffee and sit 51
take coffee with her 269
take coffee with him 1303
take coffee with his 135
take coffee with them 224
take coffee with you 87
take credit for all 1391
take credit for and 115
take credit for any 1513
take credit for being 1847
take credit for both 92
take credit for doing 259
take credit for god 47
take credit for her 1415
take credit for him 47
take credit for his 3620
take credit for how 58
take credit for its 854
take credit for new 71
take credit for not 155
take credit for one 544
take credit for our 748
take credit for tax 67
take credit for that 4625
take credit for them 2457
take credit for things 388
take credit for this 5192
take credit for two 138
take credit for was 55
take dinner with her 422
take dinner with him 2977
take dinner with his 123
take dinner with our 50
take dinner with them 654
take dinner with you 483
take effect and all 54
take effect and are 107
take effect and can 45
take effect and for 130
take effect and his 65
take effect and how 80
take effect and its 43
take effect and may 103
take effect and not 48
take effect and one 106
take effect and she 111
take effect and that 448
take effect and then 307
take effect and they 75
take effect and this 50
take effect and was 57
take effect and you 46
take effect does not 56
take effect for all 532
take effect for any 176
take effect for each 186
take effect for new 43
take effect for one 145
take effect for six 66
take effect for ten 53
take effect for that 55
take effect for two 206
take effect one year 4332
take effect that day 81
take effect this day 88
take effect this year 290
take effect with her 41
take eighty men and 48
take eleven men and 50
take english and math 53
take enough for two 106
take enough with you 231
take flight and are 89
take flight and fly 144
take flight and run 171
take flight and then 43
take flight but one 63
take flight with all 47
take flight with her 53
take flight with him 106
take flight with his 59
take friday off and 99
take fright and are 49
take fright and fly 218
take fright and run 1297
take hitler and his 109
take honest men and 49
take hughes with him 113
take hyssop and dip 282
take itself and its 102
take itself for its 46
take itself off and 40
take joseph and her 91
take joseph with him 60
take knives and cut 40
take little things for 40
take little with them 80
take lodgings for her 69
take lodgings for him 74
take lodgings for ten 45
take lodgings for you 90
take lodgings near him 57
take lodgings with him 91
take lodgings with them 58
take minnie with him 49
take monday off and 45
take moscow with its 119
take myself off and 276
take myself off for 135
take myself off now 100
take myself off with 60
take myself out and 44
take myself out for 107
take nature for his 68
take nature for our 202
take neither meat nor 74
take notice and act 304
take notice and are 105
take notice and ask 82
take notice and not 73
take notice and pay 85
take notice and say 77
take notice and see 76
take notice and then 52
take notice and they 61
take notice and try 51
take notice how far 203
take notice how god 107
take notice how his 90
take notice how ill 43
take notice how they 94
take notice how this 47
take notice how you 83
take notice nor let 46
take notice that all 717
take notice that any 235
take notice that for 61
take notice that god 154
take notice that his 225
take notice that its 54
take notice that not 161
take notice that one 194
take notice that our 315
take notice that she 516
take notice that that 40
take notice that they 1478
take notice that this 2553
take notice that two 46
take notice that you 970
take notice was that 40
take notice who are 126
take notice with his 47
take notice you are 42
take office and his 40
take office and that 132
take office and then 46
take office was that 54
take office with him 163
take office with them 67
take oliver and them 54
take orders and get 63
take orders and not 347
take orders and then 69
take orders and was 40
take orders are not 57
take orders but not 55
take orders for all 59
take orders for any 167
take orders for his 85
take orders for new 53
take orders for our 78
take orders for them 125
take photos and then 51
take photos that are 79
take physic and let 70
take plenty with you 67
take points off for 214
take poison and die 595
take poison and end 183
take poison and then 42
take refuge and put 71
take refuge near him 40
take refuge with all 99
take refuge with any 75
take refuge with god 1170
take refuge with her 1368
take refuge with him 2425
take refuge with his 4060
take refuge with one 310
take refuge with our 99
take refuge with that 56
take refuge with thee 951
take refuge with them 595
take refuge with this 126
take refuge with you 644
take revenge and then 41
take revenge and you 50
take revenge for all 455
take revenge for any 192
take revenge for being 94
take revenge for her 371
take revenge for him 107
take revenge for his 2464
take revenge for its 128
take revenge for our 356
take revenge for real 53
take revenge for that 151
take revenge for them 120
take revenge for this 961
take revenge for you 209
take revenge with his 51
take rights and not 40
take scotty and bring 137
take serious and far 41
take shapes that are 45
take shipping for new 101
take simple things for 49
take sittings for our 47
take slaves with them 107
take solemn oath that 145
take someone out for 70
take someone who can 87
take someone who does 49
take someone who had 140
take someone who has 353
take someone who was 189
take someone with her 125
take someone with him 371
take someone with them 138
take someone with you 3137
take something and not 43
take something and put 56
take something and then 155
take something and you 40
take something bad and 41
take something but not 43
take something for god 45
take something for her 100
take something for him 46
take something for his 270
take something for that 237
take something for this 68
take something off and 44
take something off his 67
take something old and 68
take something out and 190
take something out for 145
take something that can 69
take something that did 375
take something that does 680
take something that had 73
take something that has 231
take something that they 105
take something that was 1097
take something that you 251
take something with her 125
take something with him 307
take something with them 253
take something with you 510
take stands that are 136
take steamer for new 98
take sticks and beat 90
take sunday off and 41
take supper with her 603
take supper with him 1160
take supper with his 139
take supper with them 604
take supper with you 546
take thought and die 313
take thought for all 564
take thought for and 50
take thought for any 113
take thought for her 399
take thought for him 167
take thought for his 1311
take thought for its 250
take thought for one 138
take thought for our 584
take thought for that 172
take thought for thee 97
take thought for them 580
take thought for things 140
take thought for this 203
take thought for you 107
take thought how they 54
take timothy with him 99
take toward his own 45
take toward our own 80
take toward that end 119
take toward this end 68
take troops with him 52
take twelve men and 265
take twelve men with 52
take twenty men and 381
take twenty men out 53
take twenty men with 62
take unless you are 129
take values that are 521
take weapons with them 103
take weight off and 161
take weight off his 50
take william with him 51
taking abroad with him 47
taking actions that are 1472
taking actions that can 144
taking actions that lead 67
taking actions that may 568
taking actions that they 106
taking alfred with him 40
taking another day off 220
taking another for him 54
taking another hit off 46
taking another job and 42
taking another long sip 122
taking another man with 76
taking another sip and 112
taking another with him 42
taking anyone with him 60
taking anyone with you 62
taking ariadne with him 59
taking bribes and for 57
taking bribes and had 68
taking bribes and that 45
taking bribes and was 54
taking bribes for his 41
taking castor oil and 41
taking chance for his 55
taking charge and being 117
taking charge and doing 92
taking christ for our 74
taking clothes off and 63
taking coffee with her 49
taking coffee with him 67
taking coffee with his 53
taking coffee with them 48
taking credit for all 283
taking credit for and 44
taking credit for any 275
taking credit for being 131
taking credit for doing 78
taking credit for her 227
taking credit for his 1251
taking credit for its 151
taking credit for not 40
taking credit for one 164
taking credit for our 173
taking credit for that 182
taking credit for them 254
taking credit for things 172
taking credit for this 263
taking croesus with him 52
taking dinner with her 86
taking dinner with him 108
taking dinner with his 60
taking dinner with them 127
taking dorothy with her 48
taking effect and that 125
taking effect does not 99
taking english and math 92
taking flight with his 48
taking gunther with him 52
taking ishmael and his 62
taking itself and its 48
taking little with them 61
taking mowgli with them 90
taking nature for his 67
taking notice how apt 73
taking notice how one 650
taking notice that all 47
taking notice that her 65
taking notice that his 91
taking notice that men 97
taking notice that now 64
taking notice that one 324
taking notice that she 48
taking notice that they 101
taking notice that this 46
taking notice that you 56
taking office and was 190
taking office that his 55
taking office that they 58
taking office they had 44
taking office was that 95
taking office with him 40
taking orders and being 111
taking orders and doing 114
taking orders and going 41
taking orders and not 54
taking orders and was 45
taking orders are all 66
taking orders for his 88
taking orders for its 54
taking orders for new 95
taking orders for them 119
taking orders for this 54
taking orders that his 47
taking photos with his 40
taking places they are 83
taking pupils who had 54
taking refuge with god 162
taking refuge with her 382
taking refuge with him 162
taking refuge with his 413
taking refuge with one 91
taking refuge with them 194
taking refuge with you 109
taking revenge for all 103
taking revenge for any 44
taking revenge for being 44
taking revenge for her 124
taking revenge for him 42
taking revenge for his 364
taking revenge for its 61
taking revenge for that 111
taking revenge for them 72
taking revenge for this 238
taking skills are not 98
taking skills are weak 117
taking skills that are 114
taking slaves with him 52
taking slaves with them 40
taking someone out for 44
taking someone who has 43
taking someone with him 71
taking someone with you 120
taking something for his 40
taking something old and 43
taking something out and 67
taking something that did 299
taking something that does 923
taking something that had 146
taking something that has 188
