tabu search method for 177
tact which could not 52
tail black above and 59
tail grows longer and 66
tail queue below his 231
tail rather longer than 133
tail rather short and 99
tail rotor thrust can 71
take about seven and 42
take action about them 114
take action about this 70
take action every day 163
take action first and 193
take action rather than 658
take action right now 353
take action under any 66
take action under art 60
take action under its 156
take action under sec 73
take action under sub 270
take action under that 102
take action under this 827
take action until all 47
take action until they 196
take action until you 94
take action where they 66
take action which can 49
take action which had 53
take action which has 85
take action which may 251
take action which they 468
take action which was 191
take action within its 83
take action within one 105
take action within six 49
take action within that 50
take action within two 47
take after birds and 88
take after women and 78
take after world war 41
take alarm about our 55
take anything amiss that 125
take anything apart and 54
take anything rather than 113
take anything right now 67
take anything until they 42
take anything which did 47
take anything which does 56
take anything which they 79
take anything which was 86
take blood smears and 70
take blood tests and 86
take blood tests for 58
take brief notes and 64
take broad views and 91
take civil action for 58
take class every day 49
take court action for 42
take cover under his 55
take cover where they 86
take crown point and 92
take daily walks and 41
take daily walks with 197
take drugs every day 77
take drugs which may 70
take eight hours and 48
take eight hours for 50
take eight months and 46
take eight months for 69
take eight weeks for 40
take eight weeks off 89
take equal pains with 203
take equal place with 119
take evening walks with 43
take every action that 64
take every grist that 58
take every method for 78
take every morning and 44
take every penny off 77
take every penny you 99
take extra pains with 117
take farms under you 58
take fewer notes and 59
take fewer risks and 196
take fewer risks than 256
take fewer risks with 55
take field notes and 80
take field trips and 275
take field trips with 50
take fifty cents for 81
take final action and 45
take final action with 75
take first place and 253
take first place but 49
take first place for 158
take first place with 312
take first prize for 114
take first watch and 66
take flesh within her 60
take forms which are 522
take fresh water and 62
take harry under his 72
take horse balls and 77
take hours rather than 69
take human flesh and 79
take human shape and 95
take indian wives and 51
take issue either with 42
take joint action and 94
take joint action for 193
take joint action with 767
take joint steps with 51
take labor costs out 50
take lands under any 55
take large bites out 90
take large doses for 50
take large risks and 126
take large risks for 95
take large risks with 55
take legal action and 650
take legal action but 55
take legal action for 738
take legal action that 115
take legal action was 42
take legal action with 73
take legal steps for 177
take longer steps and 57
take longer steps than 82
take longer still for 43
take longer views than 51
take lower wages and 91
take lower wages for 99
take lower wages than 159
take major risks and 55
take money rather than 84
take money right out 133
take months rather than 228
take myriad forms and 45
take notes about any 58
take notes about each 105
take notes about his 59
take notes about how 123
take notes after each 49
take notes rather than 99
take notes until you 52
take notes which are 55
take notes while she 54
take notes while they 226
take notes while you 722
take order about them 62
take others about with 55
take pains about his 111
take pains about them 57
