tap underground water and 46
tax anticipation notes and 247
tax anticipation notes are 58
tax anticipation notes for 43
tax controversy growing out 52
tax jurisdiction rather than 99
team performance rather than 304
ten consecutive hours and 44
ten consecutive hours for 49
ten consecutive hours off 210
than affectionate wives and 283
than centrifugal pumps and 47
than competitive firms and 48
than competitive price and 50
than competitive price for 41
than consecutive facts for 67
than convenience goods and 53
than conventional crude oil 46
than conventional waxes and 78
than corporations which are 63
than corresponding rates for 136
than corresponding wells for 55
than differences within each 60
than differences within them 44
than experiences which are 50
than hostilities broke out 60
than indifferent about its 58
than individuals scoring low 50
than legislative halls and 123
than legislative posts that 41
than necessarily serve for 40
than occasionally rolling his 41
than participating banks using 67
than prescription drugs and 76
than professional pride and 40
than subsistence farming and 64
than subsistence wages and 60
than subsistence wages for 46
than synchronous speed and 66
than transmission belts for 64
that accentuated rather than 64
that accentuates rather than 61
that accompanied every meal 40
that accompanied every new 43
that accompanied world war 610
that accompanies every act 153
that accompanies every man 46
that accompanies every meal 44
that accompanies every new 53
that accompanies growth and 59
that accountants could not 57
that accountants would not 41
that accumulated earnings and 202
that accumulated facts lying 42
that accumulates costs for 61
that achievement could not 49
that achievement gains are 64
that achievement rather than 70
that achievement tests are 293
that achievement tests can 118
that achievement would not 58
that adjudicates fewer than 54
that adolescents could not 46
that adolescents today are 161
that adolescents would not 44
that advertisers could not 59
that advertisers would not 83
that advertisers would pay 65
that affirmative action and 1232
that affirmative action can 880
that affirmative action did 252
that affirmative action does 886
that affirmative action for 568
that affirmative action had 998
that affirmative action has 4417
that affirmative action may 714
that affirmative action was 3488
that afghanistan could not 307
that afghanistan would not 332
that agglutinate sheep red 89
that agriculture alone can 243
that agriculture alone was 425
that agriculture could not 1094
that agriculture might not 56
that agriculture would not 446
that alternative forms are 107
that alternative plans are 115
that alternative plans can 40
that alternative rather than 117
that alternative readings are 52
that alternative views are 302
that alternative which had 48
that alternative which has 143
that alternative which was 64
that alternative which you 50
that alternative would not 52
that androgynous people are 345
that anthropology could not 112
that anthropology would not 343
that applications which are 110
that applications would not 40
that appointment until his 97
that appointment would not 43
that apprehension first got 152
that apprehension would not 49
that appropriated funds are 294
that appropriated funds for 169
that appropriated money for 97
that appropriates funds for 82
that appropriates money for 55
that arbitrators could not 50
that aristocracy which had 152
that aristocracy which was 51
that aristotelian logic and 49
that aristotelian logic was 250
that arithmetical truths are 392
that arrangements could not 207
that arrangements exist for 231
that arrangements which are 58
that arrangements which had 41
that articulated basis was 61
that assimilation could not 77
that assimilation would lead 97
that assimilation would not 117
that astronomers could not 111
that astronomers would not 79
that atmospheric testing was 51
that authorization cards are 48
that automobiles could not 56
that battleships could not 51
that beneficence which had 59
that beneficence which has 213
that benevolence which has 97
that benevolence which was 61
that benevolence which you 100
that blessedness which they 308
that bureaucratic rules and 102
that businessmen could not 267
that businessmen would not 127
that calculative thinking may 165
that capitalists could not 207
that capitalists would not 224
that catastrophe could not 47
that catastrophe which had 54
that catastrophe which has 47
that catastrophe which was 54
that centralized power and 125
that centralized power was 125
that centrifugal force and 144
that centrifugal force can 137
that centrifugal force does 43
that centrifugal force has 57
that centrifugal force was 123
that centrifugal pumps are 70
that chamberlain could not 424
that chamberlain would not 444
that charlemagne could not 276
that chemotherapy alone can 41
that chimpanzees could not 70
that christendom could not 93
that christianity alone both 47
that christianity alone can 484
that christianity alone has 346
that christianity alone was 169
that christianity arose and 114
that christianity arose out 148
that christianity began with 330
that christianity calls for 114
that christianity could and 111
that christianity could bring 106
that christianity could not 3388
that christianity finds its 108
that christianity found its 263
that christianity holds out 226
that christianity makes its 144
that christianity makes men 298
that christianity might not 540
that christianity never had 59
that christianity never was 176
that christianity ought not 246
that christianity really does 90
that christianity shall not 238
that christianity still has 48
that christianity stood for 250
that christianity takes its 46
that christianity thinks this 56
that christianity which had 217
that christianity which has 486
that christianity which they 270
that christianity which was 308
that christianity would bring 116
that christianity would not 1194
that christopher could not 139
that christopher would not 203
that circumcision could not 151
that circumcision would not 45
that citizenship arise out 64
that citizenship could not 247
that citizenship shall not 41
that citizenship would not 75
that civilization began and 76
that civilization began with 162
that civilization could not 1057
that civilization might not 55
that civilization shall not 54
that civilization which can 43
that civilization which had 176
that civilization which has 226
that civilization which his 50
that civilization which they 172
that civilization which was 175
that civilization would not 377
that coincidence vexed him 53
that colonization could not 62
that colonization would not 178
that combinations which are 87
that comfortable feeling that 139
that comfortable place and 88
that commodities which are 86
that communities could not 102
that communities could use 44
that communities which are 368
that communities which had 231
that communities would not 87
that comparative costs are 112
that comparisons could not 112
that compensation costs are 40
that compensation could not 489
that compensation shall not 740
that compensation which they 53
that compensation which was 123
that compensation would not 468
that competitive bidding for 460
that competitive bidding has 51
that competitive bidding was 276
that competitive firms are 296
that competitive games are 131
that competitive pricing can 48
that competitors could not 317
that competitors could use 56
that competitors might not 55
that competitors might use 49
that competitors would not 186
that complacency which was 97
that complainant could not 160
that complements rather than 790
that complicated after all 48
that complicates rather than 70
that complication rates are 104
that comradeship which was 41
that conceivably could lead 189
that concentrate power and 124
that conciseness which was 110
that concordance rates are 41
that concordance rates for 371
that confederacy which had 93
that confederacy which now 60
that confederate money was 180
that confirmation could not 90
that confucianism could not 48
that congressional action was 650
that congressional hearings are 40
that congressional power was 138
that connecticut could not 143
that connecticut might not 96
that connecticut would not 80
that connotative meanings are 43
that consciences ought not 106
that conscription could not 106
that conscription would bring 64
that conscription would not 598
that consequence which they 102
that conservation could not 41
that conservation goals are 41
that consistency would not 43
that conspicuous merit was 111
that constantine could not 284
that constantine would not 103
that constituent which has 56
that constituted about one 41
