tablespoon salt freshly ground 160
techniques have evolved through 62
technology from silicon valley 66
technology from western europe 174
tendencies were carried further 42
terminated upon written notice 69
terrorists from acquiring nuclear 47
terrorists from acquiring weapons 118
therapeutic soft contact lenses 312
torchlight into faithful cities 89
traditional among certain groups 77
traditional birth control methods 171
traditional pest control methods 43
trafficked into western europe 87
transacted many affairs through 61
transferring data between memory 273
transferring their capital abroad 57
transferring their kinetic energy 44
transforms into kinetic energy 223
transitions from excited levels 67
transitions from excited states 283
transitions only between states 44
translated from foreign tongues 109
translated into chinese around 182
translated into chinese before 180
translated into correct english 279
translated into elegant english 48
translated into foreign policy 170
translated into foreign prints 50
translated into foreign tongues 381
translated into kinetic energy 57
translated into literal english 47
translated into national policy 224
translated into official policy 201
translated into present values 88
translated into readable english 128
translated into several modern 260
translated into several tongues 92
translated into spanish before 78
translated into western speech 48
translation into foreign tongues 52
transmitting radio signals toward 62
transmuted into creative energy 51
transmuted into precious stones 67
triumphant good receded behind 125
tyrannical hand clapped across 86
