ad is more likely to 94
am an idiot afraid of 65
am as much afraid of 203
am as much amused as 41
am as much averse to 51
am as much broken to 47
am as much pleased as 188
am as much struck as 89
am as well myself as 59
am as well pleased as 83
am as well pleased to 57
am as well without it 45
am at last doomed by 79
am at last forced to 107
am at least spared the 41
am at least unable to 51
am at once placed in 56
am in good standing in 81
am in health enough of 40
am in sole charge of 57
am in some degree the 55
am in what appears to 45
am no great friend of 62
am no great friend to 217
am no great shakes as 46
am no less anxious to 109
am no less averse to 42
am no less curious to 49
am no more afraid of 640
am no more afraid to 71
am no more anxious to 98
am no more guilty of 96
am no more likely to 244
am no ready master of 43
am of your opinion as 60
am on firm ground in 63
am on safe ground in 76
am so many ounces of 114
am so much afraid of 507
am so much amazed at 220
am so much better at 46
am so much better in 77
am so much engaged in 116
am so much fonder of 45
am so much master of 56
am so very anxious to 330
am so very pleased to 292
am so well versed in 110
am the best fellow in 45
am the best friend of 87
am the best friend the 71
am the best person to 262
am the best writer in 44
am the high priest of 70
am the last member of 49
am the last person he 112
am the last person in 1859
am the last person on 177
am the last person to 3587
am the less afraid of 67
am the less anxious to 49
am the less likely to 166
am the more anxious on 164
am the more anxious to 2127
am the more averse to 47
am the more earnest in 238
am the more earnest on 45
am the more earnest to 72
am the more intent on 81
am the more likely to 55
am the more minute in 71
am the more pleased at 111
am the more pleased to 202
am the more serious on 86
am the more struck by 57
am the more zealous in 187
am the most afraid of 114
am the most german of 46
am the most stupid of 50
am the most subtle of 45
am the most wicked of 46
am the only artist of 44
am the only doctor in 49
am the only female in 53
am the only friend he 75
am the only member of 1197
am the only person at 106
am the only person he 167
am the only person in 3495
am the only person of 260
am the only person on 459
am the only person to 785
am the only source of 53
am the only teacher in 40
am the only virgin in 58
am the same person as 940
am the same person at 49
am the same person in 43
am the same person to 176
am the sole master of 55
