am just wondering whether you 50
am made ashamed before all 52
am very closely joined and 335
am very thankful indeed that 42
am your faithful friend and 134
am your obliged friend and 57
am your sincere friend and 360
an ally against france and 48
an angel appeared before her 112
an angel appeared before him 124
an angel appeared before them 54
an anion exchange column and 81
an anion exchange column with 50
an arab pointed eagerly with 41
an arms control policy that 40
an arms control regime that 194
an army fatigue jacket and 55
an army medical school and 44
an audio recording device that 104
an avid science fiction fan 57
an even integer greater than 71
an even smaller chance that 146
an even smaller number are 222
an even smaller number had 67
an even smaller number than 71
an even smaller number that 92
an even smaller number who 117
an even stronger belief that 118
an even stronger demand for 82
an even stronger desire for 117
an even stronger effect than 118
an even stronger impact than 51
an even stronger motive for 189
an even stronger motive than 68
an ever expanding demand for 41
an ever expanding market for 93
an ever increasing degree with 41
an ever increasing demand for 1965
an ever increasing desire for 92
an ever increasing extent and 56
an ever increasing extent for 42
an ever increasing market for 102
an ever increasing number and 164
an ever increasing number are 54
an ever present reality for 40
an ever stronger demand for 46
an hour between dinner and 48
an hour between london and 44
an hour elapsed before any 79
an hour elapsed before his 54
an hour elapsed before she 131
an hour elapsed before they 254
an ideal culture medium for 574
an ideal current source and 139
an ideal current source with 88
an ideal manhood already sat 65
an ideal operating system for 53
an ideal storage medium for 50
an ideal subject matter for 54
an ideal voltage source and 223
an ideal voltage source has 45
an ideal voltage source that 43
an ideal voltage source with 113
an iron crowbar through one 83
an ongoing support system for 61
an open country before him 40
an open country without any 58
an open problem whether this 47
an open question whether all 620
an open question whether and 384
an open question whether any 1045
an open question whether both 55
an open question whether for 69
an open question whether god 79
an open question whether his 382
an open question whether its 140
an open question whether man 204
an open question whether new 42
an open question whether one 777
an open question whether our 376
an open question whether she 319
an open question whether that 452
an open question whether they 1958
an open question whether this 3920
an open question whether with 56
an open question whether you 96
an open society dotted with 62
an union between christ and 52
an union between england and 543
an union between france and 82
as acting against nature who 171
as adam clayton powell and 51
as among several states with 48
as baby boomers retire and 48
as bringing forward something that 67
as eric bentley points out 49
as faith remains entire and 42
as fine manners always are 62
as from foreign causes they 70
as gets grabbed through you 52
