acid core surrounded by a 271
acts more powerfully as a 113
acts most powerfully as a 44
along like undulations in a 42
also been approached by a 103
also been attributed to a 918
also been calculated as a 51
also been celebrated as a 48
also been classified as a 304
also been confronted by a 43
also been considered as a 1726
also been considered by a 89
also been considered in a 252
also been criticized as a 259
also been criticized by a 53
also been criticized on a 99
also been designated as a 269
also been determined as a 67
also been determined by a 131
also been determined by x 46
also been determined in a 132
also been determined to a 85
also been discovered as a 45
also been discovered at a 60
also been discovered in a 210
also been documented as a 166
also been documented in a 362
also been eliminated as a 48
also been emphasized as a 61
also been emphasized by a 52
also been emphasized in a 73
also been encouraged by a 113
also been fabricated on a 65
also been formulated as a 61
also been formulated in a 55
also been identified as a 4089
also been identified by a 72
also been identified in a 650
also been identified on a 59
also been implicated as a 2727
also been implicated in a 630
also been influenced by a 535
also been influenced to a 69
also been interested in a 99
also been introduced as a 321
also been introduced in a 140
also been introduced on a 49
also been introduced to a 134
also been manifested in a 45
also been paralleled by a 55
also been postulated as a 377
also been prescribed as a 42
also been recognized as a 1182
also been recognized by a 92
also been recognized in a 190
also been registered as a 58
also been reinforced by a 123
also been replicated in a 63
also been reproduced in a 56
also been stimulated by a 218
also been strengthened by a 84
also been successful as a 131
also been successful in a 133
also been suggestions of a 44
also been summarized in a 52
also been undermined by a 52
also been understood as a 169
also been understood in a 42
also been undertaken as a 46
also been undertaken by a 43
also been undertaken in a 55
also been undertaken on a 54
also best understood as a 81
also clear indications of a 41
also find application as a 54
also find application in a 47
also gave employment to a 51
also gave prominence to a 88
also give employment to a 71
also have originated as a 42
also have originated in a 65
also more serviceable as a 58
also more vulnerable to a 67
also much influenced by a 43
also much interested in a 99
also other indications of a 50
also some indications of a 141
also took cognizance of a 45
also used externally as a 121
also used frequently as a 148
also used internally as a 58
also very interested in a 73
also very successful as a 87
also well recognized as a 56
also will contribute to a 93
among their countrymen by a 40
among these professors of a 56
among those interested in a 119
areas were determined by a 40
areas were surrounded by a 51
