acid acts upon metals and 56
acid much more readily than 107
acting more like demons than 79
acting more like devils than 114
acts from free choice and 93
acts have been passed and 71
acts have been passed for 161
acts have been passed that 49
acts much more slowly and 91
acts much more slowly than 344
acts only from regard for 44
acts upon taking office was 45
acts very much better than 101
acts were also passed for 104
ages have left behind them 140
ages must have passed ere 57
ages must pass before they 65
ages were more likely than 67
ahead among many skiffs and 90
along even more slowly than 43
along just fine without any 46
along just fine without her 144
along just fine without him 305
along just fine without them 221
along just fine without you 344
along much more slowly than 91
along very well indeed with 132
along very well without any 595
along very well without god 92
along very well without her 296
along very well without him 873
along very well without his 191
along very well without its 89
along very well without one 135
along very well without that 43
along very well without them 1206
along very well without this 160
along very well without you 353
also been good enough for 52
also been rising faster than 44
also been used orally for 58
also been used widely for 103
also been very active and 74
also been very useful for 86
also bringing home something fit 202
also came from england and 46
also came from europe and 44
also came into common use 98
also come into common use 71
also feel more deeply and 74
also from some opinion that 43
also from south africa and 73
also from what causes and 41
also grew more slowly than 86
also grew much faster than 55
also grow more slowly than 60
also have been afraid that 78
also have been argued that 265
also have been before you 56
also have been better for 66
also have been better had 41
also have been better off 52
also have been blamed for 88
also have been chosen for 113
also have been coerced and 45
also have been created for 52
also have been created with 47
also have been filled with 110
also have been fitted with 54
also have been gifted with 47
also have been greater than 65
also have been higher than 64
also have been imbued with 49
also have been implying that 90
also have been larger than 44
also have been linked with 207
also have been needed for 65
also have been obvious that 209
also have been partly due 276
also have been pleased that 51
also have been pleased with 118
also have been raised with 66
also have been searching for 45
also have been solved using 69
also have been taught that 124
also have been tested and 44
also have been tested for 82
also have been thought that 228
also have been treated with 143
also have been useful for 209
also have been viewed with 55
also have been worked out 92
also have good reasons for 143
also have other reasons for 113
also have other rights that 108
also have some regard for 40
also have their reasons for 45
also keep their powder dry 44
also knew well enough that 234
also made life harder for 40
