ad did so by emphasizing 43
ad rem in the discussion 40
am apt to be impatient 66
am apt to be irritable 81
am doing in the classroom 49
am going on an expedition 51
am going on the assumption 115
am going on the continent 90
am going to be concerned 102
am going to be confirmed 68
am going to be crucified 115
am going to be different 108
am going to be exceedingly 59
am going to be extremely 80
am going to be nominated 139
am going to be perfectly 375
am going to be presented 65
am going to be president 407
am going to be satisfied 82
am going to be secretary 81
am going to be separated 74
am going to the himalayas 57
am going to the monastery 49
am going to the mountains 208
am going to the parliament 61
am going to the synagogue 51
am going up to jerusalem 49
am led to the conclusion 2024
am led to the conviction 112
am not in the possession 69
am not in the profession 46
am not in the slightest 980
am not of an impatient 45
am not of the idolaters 94
am not of the slightest 71
am not on the committee 52
am not to be affronted 85
am not to be compelled 58
am not to be concerned 63
am not to be condemned 126
am not to be consulted 78
am not to be convicted 58
am not to be dissuaded 52
am not to be disturbed 1711
am not to be humbugged 96
am not to be neglected 71
am not to be permitted 218
am not to be persuaded 343
am not to be questioned 53
am not to be satisfied 225
am not to be supported 55
am not to be surprised 81
am not to be suspected 75
am not to be terrified 87
am now at is certainly 44
am now in my seventieth 288
am now in the afternoon 47
am now in the enjoyment 60
am now in the nineteenth 67
am now in the possession 68
am now in the seventieth 122
am now on is completed 66
am one of an extensive 41
am one of the attorneys 145
am one of the committee 231
am one of the daughters 59
am one of the directors 378
am one of the eternally 78
am one of the examiners 90
am one of the exceptions 194
am one of the executors 86
am one of the followers 42
am one of the fortunate 462
am one of the governors 188
am one of the loneliest 42
am one of the multitude 50
am one of the oppressed 173
am one of the principal 683
am one of the subscribing 190
am one of the successes 41
am one of the survivors 133
am one of the witnesses 85
am one of thy foresters 50
am out of it altogether 40
am that it is approaching 77
am then to be liberated 53
am yet to be convinced 1007
am yet to be persuaded 56
an act as the principal 105
an act as the slaughter 70
an act as the toleration 108
an act by the defendant 192
an act by the plaintiff 55
an act in the interests 130
an act of an executive 150
an act of the australian 174
an act of the california 125
an act of the cleverest 41
an act of the cognitive 73
an act of the commission 166
