abated had 63 abroad and 55
absorb had 41 absorb and 51
absurd and 65 abused had 42
abused was 43 accept did 45
accept was 51 accept out 54
accept that 143 access box 458
access and 139 access for 62
access and 181 access are 48
access and 105 access and 40
access for 53 access and 127
access for 52 access and 58
access and 46 access and 57
access and 66 access all 352
access and 94 access any 108
access both 88 access each 139
access her 97 access him 103
access his 204 access hiv 182
access how 568 access its 234
access job 264 access new 226
access one 156 access our 113
access sex 110 access that 93
access them 421 access this 217
access who 43 access you 64
access than 242 access are 51
access can 106 access has 88
access may 139 access they 176
access was 159 access and 70
access and 51 across and 53
across and 239 across with 47
across and 65 across than 71
across that 55 across and 78
across and 41 across and 91
across and 52 across and 63
actions and 54 adjoin that 99
admire with 107 admire they 121
affect than 46 affect any 55
affirm they 86 afford why 49
afford way 56 afford for 43
afford that 46 afford that 96
afloat for 96 afraid death 66
afraid you 44 agency has 41
agency has 260 agents and 45
agreed for 63 almost him 41
almost his 85 almost how 92
almost this 49 always for 115
always aim 64 always and 83
always for 41 always you 68
amidst for 42 amongst are 95
amongst and 42 amount pay 118
amount and 110 amount for 43
amount any 119 amount can 90
amount they 42 amount and 53
amount that 107 amount can 41
amount can 53 amount they 55
amount can 42 amount each 67
amount for 83 amount has 152
amount may 73 amount has 65
amount may 213 amount may 48
amount and 65 amount that 312
amount has 138 amount has 44
amount with 96 amount and 77
amount that 61 amount for 57
amount that 41 amount for 40
amount that 42 amount that 248
amount they 54 amount for 90
amount may 40 amount that 103
amount and 52 amount all 228
amount any 120 amount both 126
amount each 853 amount her 187
amount him 181 amount his 441
amount how 451 amount its 436
amount one 183 amount our 246
amount sex 53 amount that 318
amount them 394 amount this 350
amount you 143 amount for 66
amount not 44 amount day 45
amount and 207 amount for 110
amount out 49 amount them 43
amount can 84 amount than 109
amount and 141 amount and 44
amount can 2289 amount each 50
amount had 130 amount has 797
amount may 427 amount one 55
amount she 41 amount they 524
amount was 336 amount you 58
amount can 86 amount has 50
amount has 50 amount was 43
amount has 279 amount one 41
amount that 88 amount can 78
amount that 49 amount and 83
amount that 100 amount that 56
amount out 110 amount than 42
amount may 69 amount and 45
amount that 47 amount can 75
amount has 49 amount they 68
amount and 272 amount can 78
amount may 528 amount has 55
amount are 55 amount may 132
amount that 226 amount you 43
amount each 125 amount and 51
amount this 216 amount pay 55
animal death 55 answer her 79
answer had 43 answer all 53
appeals than 41 appears each 191
appears for 94 appears why 100
applying and 49 applying and 234
arisen out 107 around and 68
around and 581 around are 59
around for 86 around had 85
around that 129 around was 86
around with 285 around than 69
arrive how 46 arrive are 724
arrive can 69 arrive may 110
arrive they 62 arrive are 50
arrive they 64 arrive are 66
arriving are 149 artery and 63
aspect can 59 aspect this 52
assets are 90 assist than 108
assume had 119 assume they 95
assume was 42 assume they 52
assume they 54 assuming for 51
asylum and 59 attack led 50
attack was 48 attend was 70
