am awfully pleased that you 64
am brought before you now 87
am preparing myself for that 44
am wondering whether they are 41
am wondering whether you are 133
am wondering whether you can 56
an abortion unless she and 145
an abscess formed and was 47
an absorbing passion for art 41
an absorbing passion with him 54
an account before god for 60
an account before you can 40
an account debtor may not 72
an account number for each 51
an account opened for him 61
an accused person and his 116
an accused person can not 658
an accused person did not 73
an accused person does not 240
an accused person has not 54
an accused person may not 162
an accused person was not 154
an accused person who can 44
an accused person who does 51
an accused person who had 175
an accused person who has 644
an accused person who was 152
an acidity greater than that 136
an actress famous for her 73
an admiral fighting for his 48
an adopted person and his 50
an adopted person who has 60
an adverse effect that was 61
an adverse reaction that has 42
an aesthetic object and not 48
an african origin for all 43
an african prince who had 55
an african prince who was 103
an agrarian reform law and 54
an agrarian reform law that 362
an agrarian reform law was 344
an airline ticket for her 46
an airline ticket that had 43
an alabama native who had 46
an alaskan cruise for two 104
an aleutian island and had 148
an amateur artist does not 49
an amateur artist who had 65
an amended return and pay 112
an amended return does not 100
an amended return for any 73
an amended return for that 275
an amorous nature does not 83
an ancient building has any 48
an ancient building that had 51
an ancient building that was 56
an ancient castle that had 59
an ancient church that had 80
an ancient critic hath set 51
an ancient custom that all 42
an ancient custom that had 51
an ancient custom that has 65
an ancient custom that was 57
an ancient disease that has 57
an ancient family that any 40
an ancient family that had 101
an ancient family who had 85
an ancient forest that has 56
an ancient knight who had 44
an ancient landau with one 41
an ancient writer who has 49
an anglican bishop who had 47
an anglican priest and his 48
an anglican priest who had 158
an anglican priest who has 63
an anglican priest who was 130
an antique statue that had 89
an apostle poured out and 53
an arizona desert one does 45
an armorial device was cut 45
an article already too long 62
an article caught his eye 52
an article charging him with 56
an article pointing out how 53
an article pointing out that 768
an assured income and not 48
an assured market for all 68
an assured market for her 52
an assured market for his 90
an assured market for its 180
an assured market for our 41
an assured market for them 46
an assured outlet for his 43
an assured outlet for its 66
an atavism deeper than fear 91
an audible signal that can 50
an average annual real gdp 68
an average family with two 54
an average figure and that 42
an average figure for all 146
