ace in the hole which 49
act as an early warning 2085
act as if other people 90
act as if their lives 157
act as if there could 153
act as if there really 106
act as in other cases 175
act as king over israel 63
act as so many units 81
act as the case might 41
act as the land where 49
act as the last straw 103
act as the leading force 47
act as the main agent 60
act as the main point 95
act as the single point 117
act as the sole agent 226
act as the sole judge 126
act as the third party 168
act as we have acted 88
act as we think right 108
act at an early stage 471
act at the gene level 146
act at the same level 147
act at the same place 68
act at the same point 1731
act at the same sites 119
act be so very odious 93
act by the other party 324
act if it only could 40
act in it next season 41
act in the dream might 54
act in the full light 113
act in the full sense 478
act in the great drama 3534
act in the great world 53
act in the high court 167
act in the line joining 241
act in the most exact 263
act in the other world 224
act in the same drama 65
act in the same field 99
act in the same light 118
act in the same place 53
act in the same plane 1546
act in the same sense 2818
act in the true sense 148
act in the ways which 131
act is an ongoing event 42
act is in many cases 206
act is in some sense 73
act is in these words 218
act is the only point 43
act is to take place 495
act of as much danger 91
act of at least equal 66
act of my life since 56
act of my life which 263
act of my life while 58
act of my play which 84
act of the bank grows 41
act of the free grace 69
act of the great drama 2215
act of the great world 51
act of the holy father 133
act of the holy ghost 730
act of the kind which 130
act of the last reign 57
act of the late reign 95
act of the lord jesus 212
act of the mind about 161
act of the mind alone 149
act of the mind arising 99
act of the mind judging 88
act of the mind which 1997
act of the mind whose 52
act of the most cruel 146
act of the most noble 44
act of the most odious 43
act of the next opera 56
act of the other party 1838
act of the past which 49
act of the play began 47
act of the play opens 89
act of the play shows 79
act of the play takes 135
act of the play where 52
act of the play which 126
act of the play would 42
act of the pope which 44
act of the ruling power 86
act of the same drama 160
act of the same opera 139
act of the same order 68
act of the same power 86
act of the same reign 101
act of the same state 43
act of the same title 52
act of the soul alone 105
act of the soul which 198
