abolish social 61 abortion crime 48
absence proof 43 absorbing given 47
absorbs given 61 account woman 70
account whole 56 acquire piece 44
acutely sense 60 adapted state 54
address meeting 102 address given 87
adjoining state 42 adjoining hotel 41
adjoining small 49 adjusting debit 157
admitting slave 82 admitting state 355
adopted child 48 adopted child 128
adopted whole 56 advance force 109
advance large 291 advance party 49
advance small 48 advance whole 44
advance large 60 adverse civil 66
adverse minor 380 adverse state 91
aerobics local 89 aesthetic given 64
aesthetic piece 71 against judge 222
against point 41 against woman 68
against freer 60 against party 76
against class 403 against crime 92
against group 307 against human 734
against major 88 against social 158
against whole 147 against crime 76
against human 92 against major 214
against social 62 alcohol major 48
alcohol major 145 alcohol lower 145
aliquot pound 58 alleged right 143
alleged child 53 alleged state 178
alleges final 64 altered change 105
although small 223 although sense 47
although sitting 42 although state 65
although small 88 although whole 287
although brick 63 although slave 178
although group 71 ambient scene 91
ambition might 54 amniotic cause 95
amniotic fetus 108 ancient place 60
ancient whole 828 animals group 56
animals given 100 animals steep 49
animals claim 43 annuity trust 205
answers group 56 answers large 46
anterior nerve 40 antigen cells 189
antigen cells 127 antigen solid 124
antigen cells 45 anxiety scale 44
apostle reason 40 apparel nearby 41
appeared white 42 appeared close 40
appeared serial 595 appeared short 50
appeared small 43 appeared paper 49
appeared woman 251 appeared reason 55
appeared sylph 48 appeared throne 41
applied spray 302 applied whole 117
armorial noble 137 arrival waves 74
arterial state 75 arterial cause 50
arterial plant 43 article paper 56
article study 99 article whole 216
article model 44 artisan whole 40
artists short 40 ascending still 42
assumed state 193 assumed state 89
assumed brief 62 assumed short 70
attempt fiasco 64 attempt waste 120
attract given 40 avarice guard 166
average given 44 average given 208
average basis 46 average group 45
average miner 41 average weaver 89
average block 79 average drive 40
average small 49 average horse 70
average given 114 average group 214
average horse 92 average house 582
average large 54 average movie 47
average negro 70 average piece 58
average pound 151 average prime 61
average share 214 average sheep 46
average slave 415 average small 52
average stock 115 average class 43
average group 398 average large 53
average scale 59 average horse 43
average train 176 average large 40
average field 130 average given 196
average group 137 average house 122
average large 252 average pound 93
average pulse 69 average share 73
average slave 262 average trait 64
average varying 79 average place 126
average region 109 average prose 56
