abbess in 52 abject to 50
ablest it 56 ablest be 209
abroad in 105 abroad be 178
absurd the 58 abused or 91
abuses to 113 abuses be 447
abuses to 173 accent be 53
accept be 55 accept as 42
access be 122 access to 49
across be 46 across the 45
across to 187 across do 44
actions the 129 actions the 40
actions be 49 actions the 64
actions as 48 actions in 49
actions to 43 actions in 73
actions to 121 actions the 84
actions on 258 actions in 295
actions of 45 actions so 147
actions the 86 actions to 54
actions of 101 actions to 121
actions be 1408 actions be 55
actions to 145 actions to 190
actions be 212 actions or 135
actions in 47 actions in 45
actions to 117 actions to 55
actions to 58 active at 76
active be 40 active be 71
active at 68 active in 147
active at 183 active in 926
active on 113 actual be 93
actual be 47 actual be 53
actual on 49 actual the 52
actual the 98 actual be 58
actual be 54 actual the 57
actual at 241 actual is 41
actual the 59 actual be 58
actual is 54 actual of 44
actual the 43 actual as 84
actual is 49 actual the 71
actual be 58 actual the 40
actual be 164 actual be 44
actual in 43 actual in 56
actual be 237 acuity be 40
admire the 97 admire do 139
admits to 71 admits he 51
adults or 180 advice to 41
advice to 80 advice the 49
advice of 190 advice no 53
advice be 138 advice be 52
advise or 63 advise is 139
affair be 55 affair be 230
affair to 47 affair in 40
affect we 41 affect be 56
affect in 164 affirm the 64
afford to 71 afford the 59
afloat the 54 afraid of 73
afraid to 131 agency of 41
agency the 69 agency in 48
agency in 42 agency be 119
agency up 107 agency to 50
agenda of 76 agenda be 44
agents be 293 agents to 99
agents in 98 agreed of 53
agrees of 43 agrees of 140
alarms the 58 alkali the 282
alkali be 117 allies to 46
allies up 45 allies of 59
allowing to 43 allowing to 179
allowing to 43 allowing to 98
allowing to 126 allows to 108
allows to 124 allows to 130
allows to 131 alloys be 165
almost if 43 almost be 1439
almost go 43 almost so 61
almost on 43 almost to 60
almost to 113 almost be 264
almost in 61 almost of 46
almost do 158 almost in 50
almost he 53 almost the 65
almost an 44 almost of 168
almost the 88 almost it 310
almost the 116 almost to 308
almost it 66 almost the 149
