abiding change wrought on them 49
about amity between the two 45
about anything happening to her 40
about anything happening to him 49
about anything happening to you 46
about anything related to sex 138
about eight degrees on each 89
about eight hundred in all 168
about eight hundred of his 126
about eight hundred of them 1091
about eight hundred or one 140
about eight hundred to one 147
about eight minutes in this 55
about eight minutes to get 69
about eight minutes we saw 48
about eight percent of all 283
about eight percent of its 155
about eight thousand in all 55
about eight thousand of his 73
about eight thousand of them 220
about eight thousand to ten 133
about either himself or his 116
about equal amounts of both 144
about equal amounts of each 199
about equal amounts of rna 47
about equal between the two 178
about equal numbers in all 48
about equal numbers in each 112
about equal numbers of both 277
about equal numbers of each 556
about equal numbers of men 745
about every article of her 232
about every country on earth 50
about every subject on earth 105
about fifty dollars in his 54
about fifty minutes to get 44
about fifty percent of all 250
about fifty percent of his 219
about fifty percent of its 156
about fifty percent of our 96
about fifty percent of them 179
about fifty persons in all 132
about fifty thousand of them 424
about forty gallons of sap 107
about forty minutes by car 51
about forty minutes of this 59
about forty minutes to get 291
about forty percent of all 565
about forty percent of his 87
about forty percent of its 167
about forty percent of our 80
about forty percent of them 47
about forty persons in all 90
about forty persons of both 49
about forty ruffians at his 42
about forty shillings of our 50
about forty thousand of them 357
about getting liberty by being 47
about getting married at all 56
about human behavior in its 50
about human behavior in this 67
about human behavior is not 67
about human behavior is that 350
about human behavior is why 48
about human history is that 45
about human language is that 190
about human society is not 116
about latin america is that 186
about ridding himself of his 57
about seven editions of them 41
about seven hundred in all 481
about seven hundred of his 150
about seven hundred of them 894
about seven minutes to get 133
about seven percent of all 158
about seven percent of its 149
about seven thousand in all 86
about seven thousand of his 80
about seven thousand of them 209
about sixty percent of all 219
about sixty percent of his 50
about sixty percent of its 98
about sixty percent of our 66
about sixty percent of them 77
about sixty thousand of them 161
about thinking outside the box 113
about thirty buildings in all 54
about thirty degrees on each 111
about thirty minutes by car 96
about thirty minutes in all 41
about thirty minutes of this 178
about thirty minutes to get 567
about thirty minutes to one 87
about thirty percent of all 140
about thirty percent of his 65
about thirty percent of its 89
about thirty percent of our 66
about thirty persons in all 51
about thirty seconds of this 66
about thirty seconds to get 170
