abandons ordinary 119 abnormal provided 72
absences business 60 absolute business 50
absolute enjoined 113 abstract concrete 89
abstract physical 48 abstract specific 71
abstract essences 95 accepted religious 48
accepted describe 85 accepted colleges 165
accounting describe 163 accounts columbus 186
achieved thousands 48 acidifying ammonium 41
acquired numerous 44 acquired commerce 44
acquired practice 55 actively decisions 80
actively politics 47 activity critical 51
activity children 91 activity students 74
activity possible 40 activity complete 111
actually practice 113 actually property 79
actually distance 47 actually category 100
actually practice 103 actually happened 66
additions manitoba 47 adequate provided 61
adequate provided 43 adequate allotted 66
adequate provided 88 adherent burghers 54
adhesive medicine 63 adjusted response 54
adjutant alongside 64 admitted hospital 46
advanced practice 88 advanced conquest 266
advances possible 1924 advances portugal 80
advances developing 64 advances education 145
advances medicine 142 advances possible 101
affected carriers 95 affected yourself 74
agencies interest 47 agencies authority 50
agencies operation 69 agencies possible 69
agitated electric 41 agreeable abstruse 60
aircraft infected 98 alphabet numerals 78
ammonium ammonium 57 analysis possible 51
analysis possible 167 analysis confined 53
analysis cadavers 65 analysis estimate 59
analysis evaluate 92 analysis identify 150
analysis required 47 analysis consider 62
analysis identify 108 analysis possible 261
analysis consider 65 analysis possible 40
analysis identify 40 analysis presence 76
analysts discover 46 analysts identify 60
ancestor received 61 ancients sprinkle 40
annually aldermen 72 anywhere fourteen 49
anywhere fourteen 115 anywhere eighteen 77
anywhere fourteen 47 anywhere thousands 80
anywhere hundreds 61 anywhere eighteen 68
anywhere fourteen 63 anywhere infinity 57
apparent commonly 61 apparent consider 87
applause audience 144 applause audience 101
approach possible 164 approach identify 93
approach possible 700 approval authority 43
approval obtained 127 approval american 51
approval required 41 argument rejected 54
arteries numerous 50 ascorbic adrenals 62
assemble potential 63 assembly property 47
assembly possible 41 assembly november 56
assembly november 59 associate security 41
attempting conquest 45 attempts evaluate 47
attempts preserve 49 attempts quantify 41
attempts developing 56 attempts american 79
attempts europeans 70 attempts returned 42
attempts scholars 47 attempts abrogate 52
attempts actually 60 attempts alienate 105
attempts alleviate 478 attempts allocate 54
attempts approach 165 attempts assemble 73
attempts associate 321 attempts belittle 54
attempts challenge 143 attempts classify 1205
attempts colonize 644 attempts complete 489
attempts conclude 108 attempts condition 41
attempts conserve 71 attempts consider 296
attempts continue 653 attempts convince 264
attempts decipher 83 attempts delineate 72
attempts demolish 45 attempts describe 409
attempts diminish 109 attempts directly 48
attempts discover 2656 attempts disguise 97
attempts dislodge 517 attempts disperse 63
attempts displace 85 attempts disprove 47
attempts dissolve 71 attempts dissuade 239
attempts document 75 attempts dynamite 45
attempts encroach 47 attempts equalize 65
attempts estimate 711 attempts evacuate 77
attempts evaluate 413 attempts excavate 58
attempts exercise 50 attempts exorcise 51
attempts extinguish 136 attempts forecast 41
attempts frighten 87 attempts generate 401
attempts humanize 44 attempts identify 3109
attempts immunize 76 attempts indicate 42
attempts instruct 46 attempts interest 544
attempts legalize 42 attempts liberate 42
attempts localize 103 attempts maintain 1218
attempts maximize 52 attempts minimize 725
attempts mitigate 192 attempts mobilize 113
attempts moderate 119 attempts navigate 95
attempts negotiate 1148 attempts obstruct 90
attempts optimize 177 attempts organize 1639
attempts overcome 1882 attempts overthrow 783
attempts overturn 139 attempts persuade 2877
attempts postpone 56 attempts preserve 1317
attempts prohibit 217 attempts purchase 168
attempts quantify 260 attempts redefine 84
attempts register 61 attempts regulate 2169
attempts relocate 165 attempts resettle 55
attempts restrain 311 attempts restrict 1847
attempts retrieve 96 attempts sabotage 243
attempts separate 1778 attempts simplify 451
attempts simulate 167 attempts strengthen 585
attempts supplant 62 attempts suppress 2200
attempts surprise 130 attempts transfer 715
attempts transmit 149 attempts validate 173
attention analysis 67 attention abstract 73
attention activity 93 attention american 103
attention analysis 77 attention argument 88
attention audience 70 attention business 89
attention children 97 attention computer 77
attention concerns 63 attention concrete 145
attention conflict 221 attention contents 45
attention continuing 139 attention criminal 123
attention critical 204 attention cultural 67
attention direction 46 attention disturbing 83
attention divisions 45 attention divisive 44
attention domestic 145 attention dominant 84
attention dramatic 50 attention economic 370
attention emotional 67 attention enormous 47
attention essential 230 attention everyday 51
attention evidence 69 attention external 198
attention failures 47 attention immediate 347
attention inherent 72 attention intended 246
attention internal 253 attention linguistic 40
attention military 211 attention movement 85
attention narrator 43 attention negative 155
attention operation 44 attention ordinary 58
attention original 307 attention personal 116
attention physical 560 attention politics 58
attention positive 53 attention possible 108
attention potential 143 attention presence 47
attention problems 531 attention questions 82
attention realities 92 attention relevant 44
attention religious 76 attention situation 156
attention specific 234 attention struggle 95
attention supposed 40 attention systemic 49
attention underlying 650 attention authority 51
attention actually 87 attention essential 107
attention confined 201 attention directed 169
attention directed 494 attention directed 210
attention directed 72 attention abstract 47
attention directed 174 attention confined 69
attention directed 72 attention directed 267
attention directed 51 attitude physical 44
attorney contract 47 audience laughter 150
audience laughter 80 authentic validity 55
authority assembly 142 authority subjects 62
authority consider 49 authority consider 87
