act only 134 act know 320
add sure 41 age even 44
age feel 60 age have 233
age know 775 age need 118
age think 271 age want 144
ago care 41 ago even 60
ago know 261 ago think 491
ago want 50 aid know 44
aim able 88 air know 157
all ever 41 all have 1172
all here 81 all sure 108
all tell 107 all think 89
all care 147 all even 48
all feel 101 all find 63
all have 272 all know 2432
all like 672 all mind 88
all need 69 all think 744
all want 897 all wish 72
all only 56 all only 52
and care 105 and have 99
and know 57 and case 112
and zero 130 and been 40
and will 40 and ball 74
and made 55 and held 42
and free 157 and have 58
and only 48 and seen 139
and must 56 and will 57
and time 149 and sets 317
and such 61 and form 68
and have 729 and know 95
and need 66 and react 48
and vary 58 and only 660
and case 95 and term 49
and case 68 and case 428
and other 88 and width 53
and true 78 and zero 152
and hour 95 and book 98
and part 177 and side 82
and hand 60 and side 84
and line 53 and other 82
and other 129 and time 55
and three 181 and form 63
and have 336 and vary 44
and only 243 and turn 50
and case 163 and book 87
and part 259 and other 73
and have 212 and make 61
and case 109 and depth 45
and book 117 and part 181
and rule 72 and side 51
and have 109 and book 49
and part 233 and have 56
and case 43 and part 85
and have 49 and part 103
and have 48 and part 157
and ready 197 and these 90
and thine 324 and those 41
and wrong 98 and have 51
and will 88 and held 83
and paid 61 and very 74
and half 196 and just 208
and young 51 and your 55
and fine 136 and just 79
and mine 171 and more 50
and nothing 351 and some 90
and very 103 and well 297
and what 487 and from 51
and away 243 and from 10281
and less 146 and more 736
and only 41 and buying 50
and ever 558 and free 118
and making 73 and peace 57
and taking 95 and those 95
and ahead 66 and along 70
and away 947 and back 3567
and down 1463 and forth 56
and from 96 and home 2332
and into 566 and over 757
and soon 52 and there 665
and half 141 and fool 45
and lungs 70 and only 536
and sole 41 and angel 124
and heir 93 and only 408
and wife 468 and able 41
and monk 235 and into 110
and down 48 and here 76
and able 3863 and among 176
and angry 358 and asking 716
and bold 118 and born 43
and bringing 53 and busy 44
and buying 43 and clear 1125
and cold 60 and come 572
and coming 329 and crying 74
and dealing 52 and done 56
and eager 178 and even 5449
and fond 972 and fool 73
and free 987 and from 86
and giving 342 and glad 41
and good 384 and half 484
and hard 77 and having 167
and here 1655 and hiding 68
and hurt 173 and joking 200
and just 548 and keen 219
and leaving 287 and left 129
and less 727 and like 912
and living 85 and lost 47
and made 140 and making 855
and more 610 and moving 100
and much 3302 and only 2251
and over 612 and paid 60
and part 183 and paying 93
and poor 65 and reading 50
and ready 1206 and rich 328
and safe 72 and saying 2464
and seeing 60 and sick 115
and some 45 and such 527
and sure 39813 and taking 468
and tall 42 and their 109
and there 1293 and trying 1260
and urging 51 and used 689
and vain 104 and very 4210
and weary 69 and well 1498
and what 236 and wise 87
and wont 52 and worth 145
and wrong 165 and young 375
and your 1075 and able 1015
and asking 119 and back 97
and bringing 53 and busy 110
and clear 49 and come 560
and coming 65 and dealing 40
and even 51 and fain 89
and free 222 and full 46
and giving 155 and glad 325
and having 121 and here 230
and just 219 and laying 65
and left 128 and less 82
and like 102 and living 317
and making 230 and more 1114
and most 74 and moving 45
and much 291 and once 69
and only 765 and past 63
and paying 97 and reading 273
and ready 1135 and seeing 55
and sure 197 and taking 217
and their 68 and told 236
and trying 487 and upon 103
and very 492 and well 362
and what 85 and your 91
and also 58 and among 61
and even 45 and here 76
and there 152 and into 105
and glad 69 and when 61
and free 82 and like 56
and feet 60 and years 48
and years 174 and much 48
and very 148 and able 47
and body 92 and able 143
and busy 279 and cold 41
and fond 216 and good 151
and idle 172 and late 139
and lazy 279 and much 1832
and poor 297 and sick 45
and sure 89 and weary 110
and well 782 and young 338
and years 56 and great 124
and more 109 and young 41
and were 47 and knew 82
and rate 365 and side 125
and left 43 and side 87
and time 370 and time 467
and time 149 and side 69
and feet 95 and side 76
and time 113 and your 147
and skim 50 and know 77
and just 49 and many 54
and nothing 141 and very 173
and also 51 and back 207
and base 47 and bite 118
and blab 59 and blow 65
and break 365 and burn 245
and call 2849 and care 153732
and cast 45 and cease 186
and cheat 130 and chew 76
and cite 51 and clean 44
and come 1512 and cook 122
and dare 3224 and date 95
and deem 412 and deny 6601
and dine 41 and draw 180
and dread 145 and dream 291
and drop 58 and envy 1956
and even 58585 and ever 7968
and fail 345 and fall 287
and feed 57 and feel 67130
and fill 80 and find 11510
and fish 106 and fool 177
and form 78 and fuck 151
and gain 58 and give 10089
and grow 109 and half 647
and hate 973 and have 82125
and heed 103 and help 202
and here 336 and hide 344
and hire 75 and hold 2566
and hope 329 and hunt 77
and hurt 202 and join 133
and joke 50 and jump 96
and just 2812 and keep 1025
and kick 60 and kill 270
and kiss 93 and know 402219
and lack 118 and learn 289
and leave 664 and lend 84
and like 178616 and live 3006
and load 123 and lock 43
and look 3503 and lose 557
and love 3803 and make 3936
and meet 432 and mess 102
and mind 46555 and miss 1132
and move 1179 and much 10088
and name 83 and need 25976
and obey 86 and only 847
and open 262 and over 101
and part 201 and pass 189
and pick 157 and pity 162
and plan 7002 and play 1189
and plead 60 and pose 44
and pray 255 and pull 148
and push 199 and quit 65
and rate 149 and reach 102
and react 81 and rely 170
and rest 118 and ride 134
and rise 45 and risk 88
and rule 192 and rush 63
and seek 1008 and seem 3895
and sell 336 and send 190
and shed 48 and show 346
and shut 63 and sign 42
and slip 97 and speak 3922
and stay 271 and steal 174
and step 56 and stir 69
and stop 982 and suit 100
and swear 85 and swim 58
and take 5486 and talk 2800
and teach 141 and tell 1767
and tend 69 and thank 311
and think 341483 and throw 343
and tire 225 and treat 194
and turn 425 and urge 102
and very 546 and view 165
and vote 57 and wait 235
and wake 187 and walk 256
and want 299973 and wash 55
and weary 59 and weep 69
and well 553 and what 101
and when 41 and will 52
and wish 35603 and work 2658
and yearn 48 and call 73
and most 41 and best 267
and work 46 and like 44
and from 41 and here 44
and much 204 and over 52
and dine 93 and find 63
and have 91 and look 279
and take 53 and talk 54
and into 62 and into 315
and there 511 and what 62
and back 5803 and lies 53
and bears 133 and will 291
and name 150 and three 254
and york 182 and breath 59
and room 71 and case 46
and land 53 and length 121
and able 45 and aiming 60
and asking 101 and been 738
and buying 43 and coming 112
and done 276 and even 525
and ever 878 and fixing 50
and giving 94 and gone 87
and good 55 and half 42
and having 81 and heard 315
and here 50 and just 119
and know 45 and leaving 133
and like 93 and lost 42
and made 70 and making 49
and much 250 and nothing 49
