abandoning understand 54 ablative difference 399
abolition compulsory 132 absorbed embarkation 44
absorbed scientific 72 accepted friendship 70
accepted arbitrator 87 accepted chancellor 535
accepted lieutenant 186 accepted postmaster 64
accessed appropriate 67 accorded legitimate 45
accorded scientific 44 achieved composition 43
achieved appropriate 58 achieved appropriate 45
achieved principles 118 achieved appropriate 112
achieved appropriate 90 achieved experiment 46
achieved scientific 48 acquired experience 76
acquired experience 41 acquired distribute 74
acquired discipline 105 acquired scientific 40
activity parathyroid 83 activity individual 45
activity substantial 49 activity contribute 54
activity candidates 43 activity activities 433
activity appropriate 133 actually preparation 51
addicted dissipation 56 adequate objectives 40
adequate individual 50 adequate assessment 68
adequate information 53 adequate insurgents 56
adequate deficiency 62 adjusted difference 45
admission membership 68 admission educational 122
admission membership 59 admitted insinuation 45
admitted deficiency 56 advocacy immigrants 43
advocacy individual 71 advocate conscience 153
affected barometric 60 affected composition 94
affected employment 87 affected government 316
affected information 72 affected legislation 41
affected technology 842 affected atmosphere 41
affected government 79 affected disability 50
affected measurement 81 affected observation 249
affected impurities 87 affected individual 98
affected competition 61 affected similarity 64
affected information 60 affected legislation 59
affected subsequent 104 affected diminutive 63
affected enterprise 55 affinity hemoglobin 117
afforded briquettes 84 afforded speculation 56
afforded prosecution 65 agencies implementing 127
agencies government 270 aircraft maintained 56
alienate government 43 allocating fortuitous 50
allotted regularity 40 amounted comparison 48
analysis expectation 54 analysis inadequate 59
analysis understand 401 analysis remembered 68
analysis employment 86 analysis government 95
analysis individual 43 analysis investment 164
analysis psychology 157 analysis individual 88
analysis investment 40 analyzed principles 67
analyzed subsequent 94 answered principles 42
answered attachment 85 answered acclamation 42
answered difference 42 appetite continuity 44
approach understand 540 approach sentiments 83
approach traditional 292 approach importance 115
approach complexity 69 approach complexity 59
approach interaction 93 approach phenomenon 157
approach peripheral 55 approved neutrality 41
approved constituting 55 arrogate attributes 56
arrogating importance 54 articles immediately 57
articles exportation 86 articles aboriginal 65
artifice friendship 48 ascribed observation 47
ascribed observation 516 ascribed bookseller 84
ascribes government 44 asserted privileges 87
asserted conscience 92 asserted individual 41
assessed difference 49 assigned particular 128
assigned particular 224 assisted electrical 44
assisted university 53 attached particular 122
attacked government 85 attained popularity 47
attained popularity 43 attained prosperity 68
attained scientific 114 attempting conclusions 45
attempting individual 49 attempting importance 169
attempting likelihood 59 attempting reliability 45
attempting consummate 131 attempting particular 72
attempting information 54 attempting boundaries 90
attempting difference 51 attempting parameters 84
attempting particular 41 attempting boundaries 57
attempting boundaries 84 attempting efficiency 47
attempting information 61 attempting impressions 53
attempting complexity 50 attempting dislocation 46
attempting government 41 attempting obstruction 53
attempting impossible 120 attempting literature 54
attempting cooperation 55 attempting appropriate 93
attempting deficiency 106 attempting literature 40
attempting information 56 attempts monopolies 45
attempts conclusions 126 attempts individual 48
attempts efficiency 43 attempts importance 378
attempts individual 48 attempts reliability 119
attempts accordance 63 attempts transaction 169
attempts experience 44 attempts traditional 50
attempts appropriate 44 attempts boundaries 422
attempts difference 212 attempts parameters 159
attempts phenomenon 122 attempts principles 116
attempts cooperation 101 attempts limitations 52
attempts boundaries 156 attempts application 147
attempts boundaries 308 attempts principles 47
attempts procedures 91 attempts acceptance 62
attempts authorities 44 attempts government 188
attempts individual 133 attempts difference 103
attempts efficiency 72 attempts importance 67
attempts prevalence 45 attempts traditional 201
attempts explanation 83 attempts assistance 147
attempts cooperation 49 attempts information 267
attempts boundaries 108 attempts boundaries 105
attempts complexity 446 attempts consumption 47
attempts difference 56 attempts dislocation 169
attempts dissonance 130 attempts importance 118
attempts likelihood 160 attempts prevalence 58
attempts variability 43 attempts bureaucracy 68
attempts curriculum 142 attempts educational 139
attempts government 341 attempts traditional 42
attempts confidence 208 attempts individual 45
attempts deficiency 218 attempts shortcomings 56
attempts difficulty 114 attempts obstruction 48
attempts instigates 133 attempts advantages 140
attempts literature 141 attempts traditional 55
attempts traditional 94 attempts assistance 45
attempts cooperation 133 attempts recognition 46
attempts importance 108 attempts brightness 45
attempts deficiency 157 attempts government 97
attended journalism 65 attended juggernaut 66
attended publication 69 attention imagination 51
attention composition 88 attention understand 60
attention application 201 attention stimulation 141
attention preparation 57 attention absolutely 52
attention imperative 53 attention impressive 60
attention meticulous 51 attention remarkable 82
attention difference 52 attention governance 78
attention importance 58 attention individual 45
attention measurement 60 attention particular 40
attention reliability 61 attention instruction 49
attention similarity 69 attention investment 53
attention importance 63 attention imagination 77
attitude determined 70 audience gentleness 48
audience understand 65 authority institution 73
authority archimedes 80 authority distinctly 59
authority prescribed 84 authority information 45
authority resignation 84 authority government 67
authority obligations 56 authority corporation 63
authority government 65 authority attendance 381
authority parameters 42 authority individual 121
authority activities 270 authority journalist 52
authority government 52 authority suggestions 56
authority stimulation 163 authority harassment 65
authority corporation 451 authority information 119
authority application 52 authority application 54
authority activities 41 authority incapacity 50
authority attendance 51 authority observance 179
authority compromise 140 authorize government 68
authorize expectation 61 authorize information 349
authorizing information 155 avowedly government 92
awakened enterprise 69 awakened resistance 65
