abiding till god of his 207
abler heads than my own 402
abler pens than my own 138
about acts that he had 108
about among all the men 48
about among men as his 49
about among them as they 44
about among them in that 101
about among them to and 92
about arms and the man 56
about asking her if she 174
about asking them if they 45
about asking you if you 50
about care for the dying 72
about caring for the dying 246
about caring for the earth 58
about coming all the way 92
about coming out on top 45
about coming out to her 43
about coming out to his 64
about coming out to see 51
about coming with me and 62
about coping with the death 43
about dating for the long 95
about dealing with the new 40
about done for the day 81
about ending his or her 75
about even with the head 65
about even with the top 668
about fell out of her 40
about fell out of his 235
about five out of six 477
about five out of ten 106
about fixing them is this 65
about food and the way 61
about four out of ten 1480
about from area to area 71
about from bar to bar 99
about from bed to bed 247
about from box to box 103
about from car to car 44
about from day to day 1865
about from end to end 176
about from hut to hut 146
about from inn to inn 148
about from job to job 964
about from leaf to leaf 44
about from lip to lip 84
about from man to man 702
about from one of her 71
about from one of his 98
about from one to two 125
about from seat to seat 79
about from sun to sun 303
about from year to year 454
about giving way to his 66
about half his or her 52
about half that of air 185
about half that of all 98
about half that of any 41
about half that of earth 107
about half that of his 79
about half that of its 146
about half that of men 245
about half that of new 149
about half that of non 131
about half that of our 89
about half that of red 56
about half way in its 71
about half way on his 57
about half way on our 85
about half way to him 229
about half way to his 118
about half way to its 97
about half way to our 114
about half way to that 59
about half way up and 169
about half way up his 165
about half way up its 171
about half way up one 145
about half way up that 40
about half way up this 93
about half way up with 82
about half way we met 47
about having her in his 53
about having him in her 41
about having his or her 97
about having one of her 48
about having one of his 71
about having one of them 41
about having one or two 72
about having you to see 56
about held him by both 68
about hell than he did 53
about here that is not 50
about india and the east 74
about jump out of her 42
about just for the fun 44
about just how it was 42
about just one of them 213
