a bad adjustment of things 44
a bad conscience is not 103
a bad description of his 48
a bad experience at one 57
a bad experience in his 47
a bad experience in one 52
a bad experience or two 45
a bad government is one 196
a bad government no one 262
a bad investment if you 69
a bad prognostic of his 160
a bad prognostic of its 68
a bath thermometer is not 45
a being unprepared to die 58
a big difference as far 60
a big difference as you 63
a big difference at that 45
a big difference if one 47
a big difference if they 88
a big difference if you 507
a big difference in age 156
a big difference in all 65
a big difference in any 72
a big difference in being 105
a big difference in both 151
a big difference in her 462
a big difference in him 115
a big difference in his 659
a big difference in how 4494
a big difference in its 223
a big difference in one 234
a big difference in our 1081
a big difference in that 376
a big difference in this 429
a big difference in who 70
a big difference in you 55
a big difference is that 153
a big difference on how 93
a big difference to all 71
a big difference to both 52
a big difference to her 251
a big difference to him 196
a big difference to his 148
a big difference to how 470
a big difference to its 98
a big difference to one 137
a big difference to our 326
a big difference to them 243
a big difference to this 97
a big difference to you 322
a big investment in his 40
a big investment in this 91
a big percentage of all 42
a big percentage of his 49
a big percentage of its 73
a big percentage of our 110
a big percentage of them 122
a bit astonished to see 49
a bit bewildered by all 90
a bit bewildered by his 58
a bit bewildered by this 94
a bit cumbersome to use 114
a bit frightened by her 40
a bit frightened by his 73
a bit frightened by this 57
a bit frightened of her 216
a bit frightened of him 198
a bit frightened of them 55
a bit frightened of you 58
a bit interested in this 40
a bit overzealous in his 61
a bit particular on that 47
a bit ridiculous in his 45
a bit straighter in her 46
a bit straighter in his 87
a cap surmounted by two 85
a car registered in his 93
a day subsequent to its 89
a day subsequent to that 556
a deal acceptable to both 60
a dial calibrated to read 63
a dim imagination of his 42
a dim recognition of this 72
a due abhorrence of sin 50
a due application of its 54
a due application of our 79
a due application of them 44
a due appreciation of all 113
a due appreciation of her 73
a due appreciation of his 469
a due appreciation of its 322
a due appreciation of our 90
a due appreciation of that 105
a due appreciation of them 54
a due appreciation of this 236
a due circulation of air 97
a due disposition of his 44
a due examination of all 69
a due examination of its 50
a due observance of all 391
