about asking people whether they 43
about five miles across and 96
about five miles before they 43
about five miles farther east 46
about five months before his 200
about five months before she 47
about five months before they 59
about five times better than 150
about five times bigger than 149
about five times faster than 1602
about five times greater for 63
about five times greater than 4032
about five times heavier than 240
about five times higher for 80
about five times higher than 3120
about five times hotter than 63
about five times larger for 41
about five times larger than 2613
about five times slower than 128
about five weeks before his 115
about five weeks before they 41
about five yards behind him 68
about four hours before his 62
about four hours before they 45
about four hours earlier than 50
about four miles before they 67
about four miles farther east 77
about four months before being 40
about four months before her 55
about four months before his 283
about four months before she 72
about four months before they 80
about four months before this 46
about four months earlier than 72
about four months younger than 42
about four times before they 41
about four times better than 173
about four times bigger than 189
about four times faster than 1905
about four times greater for 107
about four times greater than 4222
about four times heavier than 114
about four times higher for 113
about four times higher than 3591
about four times larger for 63
about four times larger than 1532
about four times slower than 281
about four times thicker than 48
about four weeks before his 82
about four weeks before they 63
about four weeks earlier than 61
about half again larger than 42
about nine months before her 58
about nine months before his 158
about nine months before she 45
about nine months before they 45
about nine times better than 45
about nine times faster than 57
about nine times greater than 288
about nine times heavier than 50
about nine times higher than 378
about nine times larger than 127
about other ethnic groups and 73
about some silly matter that 59
about their basic values and 41
about their changing bodies and 114
about their civic rights and 43
about their civil rights and 68
about their daily chores and 101
about their daily chores with 59
about their daily duties and 61
about their exact nature and 40
about their extra claims that 159
about their human rights and 66
about their inner feelings and 51
about their learning styles and 45
about their legal rights and 860
about their legal status and 96
about their lives before and 77
about their lives before they 152
about their money without wit 41
about their smoking habits and 98
about their social standing and 64
about their social status and 206
about their viewing habits and 79
about these people except that 40
about three hours before and 51
about three hours before day 201
about three hours before her 60
about three hours before his 85
about three hours before our 49
about three hours before she 87
about three hours before they 142
about three hours before you 51
about three hours earlier than 93
about three miles across and 156
about three miles before they 48
about three miles beyond this 57
about three miles farther out 92
about three miles further east 45
