ad campaign to launch 43
am absorbed in myself 40
am absorbed in thought 45
am ambitious to become 54
am ambitious to excite 47
am assailed by doubts 88
am assailed the moment 67
am assisted by wicked 98
am attached to another 132
am attached to england 66
am attached to myself 42
am attempting to answer 172
am attempting to convey 302
am attempting to defend 46
am attempting to define 188
am attempting to depict 52
am attempting to expose 47
am attempting to follow 132
am attempting to locate 132
am attempting to measure 52
am attempting to obtain 48
am attempting to relate 68
am attempting to remove 62
am attempting to sketch 97
am attempting to stress 97
am belaboring the obvious 64
am betrothed to another 152
am commending the passion 73
am complete in christ 248
am completing the number 66
am composed of matter 89
am confined by duties 45
am conscious in myself 225
am conscious it little 54
am conscious of another 43
am conscious of desiring 46
am conscious of exerting 40
am conscious of existing 99
am conscious of memory 87
am conscious of myself 2448
am conscious of powers 48
am conscious of something 637
am conscious of various 78
am conscious to myself 1627
am contending is simply 64
am continuing to follow 41
am continuing to pursue 49
am correcting my proofs 77
am correcting the proofs 200
am critical of myself 245
am deprived of almost 61
am describing is common 64
am describing my sister 52
am describing the effect 43
am desirous he should 132
am desirous it should 164
am desirous of arranging 82
am desirous of availing 80
am desirous of avoiding 162
am desirous of becoming 231
am desirous of entering 167
am desirous of inviting 67
am desirous of locating 55
am desirous of offering 299
am desirous of pointing 75
am desirous of printing 66
am desirous of pursuing 54
am desirous of removing 97
am desirous of securing 118
am desirous of standing 45
am desirous of studying 62
am desirous to forget 41
am desirous to impart 44
am desirous to obtain 114
am desirous to render 81
am desirous to secure 41
am destined to become 317
am destined to endure 48
am destined to occupy 49
am destined to perish 170
am destined to remain 135
am destined to return 53
am destined to suffer 136
am detained in london 115
am directed to advise 67
am directed to assure 158
am directed to convey 288
am directed to desire 139
am directed to inform 5002
am directed to invite 329
am directed to remind 56
am directed to report 368
am directed to return 731
am directed to submit 155
am disclosing no secret 115
am discussing the matter 96
am discussing the nature 51
am disposed to accede 50
am disposed to accept 996
am disposed to accord 89
am disposed to acquit 73
am disposed to adhere 78
am disposed to admire 98
am disposed to advise 46
am disposed to answer 292
am disposed to assent 99
am disposed to assert 63
am disposed to assign 331
am disposed to assume 88
am disposed to attach 292
am disposed to become 83
am disposed to concur 464
am disposed to credit 396
am disposed to defend 58
am disposed to differ 95
am disposed to esteem 93
am disposed to expect 161
am disposed to extend 66
am disposed to follow 388
am disposed to forget 48
am disposed to hazard 66
am disposed to impute 107
am disposed to insert 40
am disposed to insist 42
am disposed to object 89
am disposed to pardon 67
am disposed to prefer 311
am disposed to reckon 112
am disposed to record 84
am disposed to regard 2754
am disposed to regret 85
am disposed to reject 129
am disposed to relate 96
am disposed to return 41
am disposed to shrink 45
