am afraid philosophy will 58
am almost distracted when 71
am almost frightened when 49
am almost inoculated into 46
am always astonished when 207
am always distressed when 66
am always frightened lest 42
am always frightened when 51
am always interested when 61
am greatly astonished when 161
am hardly exaggerating when 42
am something underrated here 127
an abject dependence upon 236
an abrupt standstill when 47
an abrupt termination just 40
an abrupt termination when 62
an abrupt turnaround from 51
an acidic adirondack lake 136
an active anticancer drug 66
an active commitment from 54
an active competition among 145
an active diplomatic role 283
an active educational role 72
an active government role 653
an active historical role 54
an active homosexual life 307
an active imagination will 55
an active management role 398
an active management tool 108
an active membership base 74
an active mercantile life 46
an active operational role 69
an active preparation from 45
an active productive life 49
an active promotional role 78
an active propaganda among 269
an active regulatory role 125
an active scientific life 51
an active solidarity among 56
an active subliminal self 67
an active supervision over 152
an active supportive role 100
an active therapeutic role 40
an active transitive verb 531
an actual annunciation from 46
an actual assignment from 46
an actual dependence upon 42
an actual experience from 113
an actual experiment made 105
an actual experiment were 44
an actual experiment will 104
an actual historical case 87
an actual historical fact 367
an actual historical past 95
an actual individual case 43
an actual occurrence during 44
an actual scientific fact 59
an actual scientific theory 48
an actual settlement made 52
an actual superiority over 85
an actual transcript from 62
an actual translation from 71
an agency disclosure form 75
an agency infinitely more 51
an agreed management plan 92
an agreed settlement were 59
an agreed settlement will 48
an alarming experience when 45
an alarming hemorrhage from 72
an allied conference held 151
an allied internment camp 67
an almost absolutely free 45
an almost accusatory tone 79
an almost annihilating blow 47
an almost apologetic look 84
an almost apologetic note 65
an almost apologetic tone 499
an almost autonomous life 58
an almost chemically pure 111
an almost cloistered life 58
an almost completely bald 75
an almost completely dark 127
an almost completely flat 200
an almost completely free 346
an almost completely male 74
an almost completely open 122
an almost completely self 429
an almost compulsive need 424
an almost compulsive urge 105
an almost continuous band 562
an almost continuous belt 1044
an almost continuous body 60
an almost continuous boom 47
an almost continuous city 52
an almost continuous fall 214
an almost continuous film 138
an almost continuous fire 519
an almost continuous flow 683
an almost continuous fringe 161
an almost continuous glow 58
an almost continuous high 66
an almost continuous land 162
an almost continuous line 5641
an almost continuous mass 252
an almost continuous rain 76
an almost continuous range 444
an almost continuous reef 103
an almost continuous rise 316
an almost continuous roar 260
an almost continuous sheath 61
an almost continuous string 308
an almost continuous wall 1086
an almost continuous zone 275
an almost embarrassing wealth 179
an almost equivalent rise 54
an almost exhaustive list 202
an almost exponential rate 958
an almost exponential rise 59
an almost extinguished fire 87
an almost extinguished love 62
an almost extinguished race 108
an almost fatalistic view 62
an almost frightened face 74
an almost frightened look 138
an almost geometrical ratio 42
an almost homogeneous mass 301
an almost horizontal angle 63
an almost horizontal axis 147
an almost horizontal line 612
an almost hysterical dread 40
an almost hysterical edge 46
an almost hysterical note 151
an almost hysterical tone 117
an almost hysterical urge 63
