ace will turn up 96
act adds nothing to 211
act also gave the 1737
act also made it 624
act also made the 164
act also sets up 60
act also upon the 435
act away from the 1336
act back into the 44
act back upon the 850
act bearing date the 60
act bearing upon the 107
act best upon the 141
act best when the 356
act best when we 121
act came back to 44
act came from the 604
act came when the 107
act come from the 148
act coming from the 123
act dating back to 98
act done during the 298
act done from the 62
act done must be 654
act done prior to 354
act done there is 44
act done upon the 149
act done will be 128
act ends when the 105
act even more as 50
act even upon the 191
act even when he 224
act even when it 382
act even when no 47
act even when the 1006
act even when we 263
act ever done by 158
act ever done in 122
act ever seen in 89
act faith upon the 240
act fits into the 71
act free from the 476
act from among the 153
act from duty in 75
act from duty is 307
act from lack of 55
act from left to 161
act from love of 419
act from love or 71
act from love to 159
act from more or 40
act from rome to 74
act from seeing it 69
act from time to 1648
act from want of 45
act from what he 103
act from what is 231
act from what it 44
act from what we 208
act gave birth to 247
act gave rise to 1376
act gets hold of 56
act give rise to 158
act giving birth to 55
act giving rise to 4928
act have been as 194
act have been in 65
act have been so 234
act have been the 162
act have made it 42
act having been in 110
act having been the 48
act having been to 84
act having lain as 139
act just like an 494
act just like he 90
act just like it 97
act just like my 220
act just like the 2682
act just like us 221
act just like we 112
act just prior to 48
act just what the 43
act laid down as 57
act laid down the 123
act laying down the 53
act lays down the 109
act like dogs in 93
act like glue to 88
act like more of 119
act like most of 159
act like none of 183
act like nothing is 546
act like part of 149
act like sand in 224
act like some of 425
act like sons of 53
act like such an 406
act like there is 453
act like those in 260
act like those of 648
act like what he 139
act like what we 117
act made during the 108
act made upon the 42
act more akin to 104
act more from the 348
act more like an 1531
act more like my 46
act more like the 2696
act more upon the 591
act much like an 448
act much like it 61
act much like the 2054
act much more as 231
act much more in 303
act much more on 149
act must also be 1364
act must have an 730
act must have the 314
act must meet the 40
act must only be 52
act must take the 125
act need only be 141
act nothing upon the 44
act once done is 163
act once more as 843
act once more in 342
act once more on 41
act only adds to 40
act only along the 208
act only during the 383
act only from my 88
act only from the 812
act only made the 112
act only once in 236
act only over the 120
act only upon the 3988
act only what is 244
act only when an 107
act only when he 834
act only when in 148
act only when it 1634
act only when the 3184
act only when we 462
act over time to 184
act play from the 174
