ac voltage is used 108
ad interim to fill 110
ad vantage of their 114
am abashed to think 50
am accused by jews 110
am accused of acting 44
am accused of having 1836
am accused of high 55
am accused of making 199
am accused of saying 79
am accused of taking 122
am accused of theft 43
am accused of trying 71
am accused of want 57
am advancing in life 72
am advancing in years 86
am advised by some 62
am advised by those 71
am advised to give 114
am advised to have 69
am advised to keep 60
am advised to make 102
am advised to ride 88
am advised to send 43
am advised to take 122
am advised to tell 44
am against as what 54
am against is their 66
am against my will 124
am against the bill 340
am against the fact 41
am against the other 44
am against the word 116
am alarmed at what 78
am alarmed at your 52
am alarmed by these 79
am alarmed by what 50
am alarmed to find 72
am alarmed to think 66
am alleged to have 869
am allowed the time 49
am allowed to call 169
am allowed to come 232
am allowed to copy 41
am allowed to draw 77
am allowed to feel 88
am allowed to give 472
am allowed to have 803
am allowed to help 69
am allowed to hold 97
am allowed to hope 51
am allowed to join 59
am allowed to keep 447
am allowed to kiss 44
am allowed to know 231
am allowed to leave 215
am allowed to live 375
am allowed to look 104
am allowed to love 70
am allowed to make 669
am allowed to meet 42
am allowed to move 84
am allowed to open 95
am allowed to pass 143
am allowed to pick 42
am allowed to play 168
am allowed to rest 41
am allowed to ride 108
am allowed to rise 47
am allowed to send 90
am allowed to show 52
am allowed to speak 462
am allowed to stay 330
am allowed to take 700
am allowed to talk 172
am allowed to teach 45
am allowed to tell 305
am allowed to think 219
am allowed to walk 285
am allowed to work 272
am annoyed at having 60
am annoyed at your 66
am annoyed to find 150
am annoyed to think 52
am answering at once 90
am arrived at last 331
am ashamed at having 138
am ashamed at what 96
am ashamed of even 56
am ashamed of ever 82
am ashamed of giving 69
am ashamed of having 1510
am ashamed of making 61
am ashamed of many 80
am ashamed of mine 152
am ashamed of nothing 307
am ashamed of saying 85
am ashamed of some 144
am ashamed of such 672
am ashamed of their 290
am ashamed of these 283
am ashamed of those 133
am ashamed of what 1299
am ashamed of your 420
am ashamed so idle 51
am ashamed to avow 144
am ashamed to call 854
am ashamed to come 344
am ashamed to even 141
am ashamed to face 164
am ashamed to feel 100
am ashamed to find 523
am ashamed to give 428
am ashamed to have 3914
am ashamed to keep 117
am ashamed to kill 93
