abetting action proposed in 53
abjure every practice or 176
ablest civil servants in 50
ablest naval officers of 48
aboard ships anchored in 44
abroad either directly or 84
abroad which resulted in 72
abroad while attempting to 48
abroad while continuing to 57
abroad works critical of 47
abroad would continue to 178
abroad would probably be 110
abrupt change occurred in 186
abrupt onset followed by 78
absent melting relations in 80
absent strong evidence to 185
absorb equal fractions of 119
absorb every particle of 116
absorb large increases in 93
absurd drama entitled the 70
absurd panic scandals as 64
abuses still continue in 57
abuses which abounded in 50
abuses which affected the 93
abuses which attended it 112
abuses which attended the 65
abuses which deformed the 87
abuses which followed the 67
abuses which occurred in 273
abuses which pervaded the 66
abuses which polluted the 57
abuses which provoked the 54
abuses which rendered the 50
abuses which resulted in 71
abuses which threatened the 45
abuses which threatened to 111
abuses while pretending to 169
accent which betrayed the 52
accept adult education as 61
accept anything contrary to 119
accept either positive or 49
accept fixed deposits of 68
accept large increases in 72
accept louis philippe as 45
accept lower salaries in 75
accept small increases in 44
accept social security as 82
accept teaching positions in 103
accept terms dictated by 134
access array elements in 46
access either directly or 207
access level required to 98
access point attached to 40
access point connects to 48
access point decrypts the 53
access point forwards the 60
access point receives the 44
access token contains the 103
access while preserving the 45
access while protecting the 111
access would otherwise be 240
access would probably be 92
accord equal attention to 43
accord equal treatment in 52
accord equal treatment to 1635
accord equal validity to 105
accord large supplies to 45
accrue either directly or 49
acidic cation exchanger in 50
across broad expanses of 261
across broad segments of 108
across class divisions in 42
across every category of 48
across every dimension of 83
across large expanses of 430
across large segments of 207
across mucus adherent to 96
across racial barriers in 41
across which diffusion is 117
across which thousands of 51
actions above referred to 85
actions aimed directly at 133
actions based entirely on 42
actions belong therefore to 79
actions could possibly be 84
actions could scarcely be 41
actions could therefore be 42
actions either directly or 83
actions filed pursuant to 44
actions often resulted in 65
actions quite contrary to 56
actions taken concerning the 59
actions taken contrary to 46
actions taken directly by 61
actions taken pursuant to 2025
actions taken relative to 62
actions truly laudable in 48
actions where judgment is 43
actions which affected the 117
actions which amounted to 84
actions which challenge the 59
actions which comprise the 144
actions which continue to 42
actions which diminish the 72
actions which directly or 64
actions which followed it 44
actions which followed the 94
actions which happened in 43
actions which included the 62
actions which indicate the 108
actions which involved the 79
actions which maintain the 89
actions which maximize the 65
actions which occurred in 205
actions which preceded it 51
actions which preceded the 104
actions which produced it 66
actions which produced the 88
actions which produces the 40
actions which promoted the 70
actions which regulate the 50
actions which resulted in 1719
actions which strengthen the 41
actions which threatened the 64
actions which threatened to 74
actions would continue to 230
actions would normally be 126
actions would otherwise be 98
actions would probably be 424
actions would therefore be 124
active after exposure to 128
active agent employed by 43
active agent involved in 62
active cases reported in 46
active force inherent in 57
active group compared to 80
active group consists of 45
active layer consisting of 46
active layer consists of 165
active layer thickness in 112
active layer thickness is 246
active layer thickness of 292
active layer thickness to 47
active learning approach is 59
active learning approach to 133
active legal practice in 51
active local treatment is 80
active party politics in 82
active phase consists of 65
active pills followed by 71
active plate boundary in 160
active power absorbed by 163
active power consists in 44
active power consumed by 61
active power supplied by 88
active power supplied to 111
active region composed of 88
active region consisting of 190
active region consists of 554
active sites involved in 162
active sites occupied by 97
active state promotion of 45
active stock exchanges in 116
active trade unionists in 136
actors under contract to 109
actors whose relations to 72
actors would continue to 104
actual blood pressure in 100
actual blood pressure is 80
actual cases reported in 50
actual change produced by 51
actual costs compared to 69
actual costs exceeded the 107
actual costs incurred as 196
actual costs incurred at 99
actual costs incurred by 1535
actual costs incurred in 1407
