ace up their sleeves 282
act as baby sitters 60
act as case manager 242
act as case studies 100
act as cell surface 163
act as chip breakers 159
act as data sources 161
act as fact finders 57
act as file servers 211
act as fire wardens 87
act as food storage 90
act as free persons 132
act as free radical 1081
act as from himself 151
act as full members 201
act as gate keepers 67
act as good parents 116
act as hard spheres 44
act as health officer 139
act as hearing officer 43
act as high admiral 55
act as high priests 138
act as hinges between 84
act as host country 91
act as leading counsel 101
act as link between 394
act as media between 80
act as much against 169
act as pace setters 52
act as peace mediator 51
act as pull factors 42
act as pure spirits 41
act as push factors 93
act as risk factors 592
act as sign stimuli 59
act as sole arbiter 171
act as sole trustee 286
act as stop signals 50
act as such according 163
act as such because 155
act as such guardian 244
act as such himself 95
act as such justice 121
act as such members 94
act as such officer 269
act as such towards 89
act as such trustee 793
act as their adviser 323
act as their balancing 48
act as their bankers 109
act as their brokers 55
act as their champion 220
act as their colonel 138
act as their counsel 366
act as their engineer 54
act as their friends 109
act as their general 306
act as their guardian 724
act as their manager 236
act as their masters 173
act as their mediator 110
act as their mentors 123
act as their official 392
act as their parents 319
act as their patrons 160
act as their priests 256
act as their primary 41
act as their private 41
act as their proxies 325
act as their servant 259
act as their sponsor 121
act as their support 139
act as their teachers 58
act as their trustee 139
act as third parties 346
act as ties between 113
act as tiny magnets 212
act as tiny mirrors 157
act as trial counsel 255
act as veto players 132
act as wind breakers 117
act as your adviser 42
act as your counsel 232
act as your guardian 444
act as your hostess 163
act as your partner 117
act as your primary 103
act as your servant 142
act as your sponsor 218
act as your support 48
act as your trustee 138
act as your witness 55
act at length brought 67
act at once according 123
act at once against 114
act at once because 113
act at such election 96
act at their pleasure 140
act by great britain 189
act by mere magical 47
act by those natural 57
act he must perform 94
act in areas fraught 105
act in five minutes 46
act in full concert 165
act in full freedom 116
act in full harmony 165
act in great affairs 118
act in great britain 520
act in high spheres 45
act in iraq because 52
act in many matters 81
act in more complex 121
act in more general 187
act in more socially 212
act in north america 172
act in open defiance 695
act in open violation 113
act in other matters 256
act in part because 108
act in self defense 412
act in some desired 92
act in some matters 54
act in some unknown 130
act in such concert 53
act in such language 44
act in such matters 2544
act in such perfect 47
act in their absence 389
act in their clients 178
act in their country 133
act in their defense 301
act in their efforts 94
act in their history 175
