ad or television commercial 226
am an assistant professor 276
am an excellent candidate 55
am an incurable alcoholic 59
am as perfectly convinced 47
am as thoroughly convinced 413
am no political economist 45
am of necessity compelled 108
am so extremely terrified 91
am so perfectly convinced 734
am so perfectly satisfied 153
am so thoroughly convinced 1234
am so thoroughly disgusted 94
am so thoroughly impressed 56
am so thoroughly persuaded 117
am so thoroughly satisfied 280
am the fortunate possessor 298
an ac generator connected 56
an ac voltmeter connected 56
an av sequential pacemaker 81
an if statement evaluates 63
an in principle unlimited 62
an ion cyclotron resonance 633
an ion selective electrode 1131
as an abdominal emergency 138
as an abdominal pregnancy 85
as an absorbingly interesting 43
as an absorption mechanism 50
as an accessory component 130
as an accessory digestive 59
as an accessory mechanism 69
as an accessory occupation 62
as an accessory olfactory 173
as an accessory pancreatic 62
as an accessory structure 72
as an activation procedure 80
as an adaptation mechanism 184
as an addictions counselor 161
as an addictive substance 313
as an additional absorption 43
as an additional accessory 98
as an additional adornment 74
as an additional advantage 700
as an additional advertising 46
as an additional allowance 202
as an additional amendment 86
as an additional assistant 174
as an additional assumption 262
as an additional assurance 292
as an additional attraction 1243
as an additional attribute 365
as an additional candidate 54
as an additional causative 47
as an additional character 158
as an additional classroom 54
as an additional cognitive 54
as an additional commodity 48
as an additional component 1532
as an additional concession 82
as an additional correction 97
as an additional decoration 97
as an additional defendant 1278
as an additional defensive 54
as an additional dependent 125
as an additional deterrent 1166
as an additional diagnostic 462
as an additional effective 43
as an additional empirical 41
as an additional endowment 91
as an additional evaluation 54
as an additional exogenous 93
as an additional expression 149
as an additional extenuating 67
as an additional functional 44
as an additional grievance 152
as an additional guarantee 1007
as an additional guideline 62
as an additional hindrance 40
as an additional humiliation 101
as an additional hypothesis 178
as an additional important 226
as an additional incentive 5092
as an additional increment 81
as an additional indication 866
as an additional indicator 885
as an additional influence 168
as an additional inspection 135
as an additional insurance 191
as an additional interface 49
as an additional knowledge 41
as an additional limitation 161
as an additional mechanism 848
as an additional motivation 185
as an additional motivator 77
as an additional necessary 61
as an additional objective 475
as an additional obligation 268
as an additional occupation 107
as an additional paragraph 182
as an additional parameter 2090
as an additional plaintiff 181
as an additional political 68
as an additional postulate 154
as an additional practical 40
as an additional precaution 4788
as an additional predictor 524
as an additional primitive 121
as an additional principle 171
as an additional procedure 335
as an additional production 99
as an additional protection 2615
as an additional reference 447
as an additional reservoir 124
as an additional resolution 81
as an additional restraint 107
as an additional sacrifice 70
as an additional safeguard 3673
as an additional secondary 77
as an additional secretary 187
as an additional selective 45
as an additional stabilizing 54
as an additional statement 60
as an additional stimulant 179
as an additional strengthening 40
as an additional structure 70
as an additional substance 87
as an additional substrate 124
as an additional suggestion 45
as an additional technique 278
as an additional telephone 65
as an additional temptation 83
as an additional testimony 259
as an additional transport 42
as an additional validation 128
as an adjective describes 44
as an adjective designating 43
as an admirable character 278
as an admirable expedient 123
as an admirable exposition 89
as an admirable expression 79
as an admirable statement 68
as an admissions committee 46
as an admissions counselor 238
as an admonition addressed 41
as an adsorption indicator 282
as an advantage possessed 81
as an advertising allowance 67
as an advertising assistant 101
as an advertising billboard 61
as an advertising executive 2365
as an advertising mechanism 49
as an advertising objective 64
as an advertising solicitor 527
as an advertising technique 125
as an affective component 77
as an afternoon newspaper 139
as an aggregate expression 40
as an aggregate indicator 78
as an aggregate population 43
as an aggregate production 85
as an agreement concluded 83
as an agreement expressly 49
as an algebraic expression 1135
as an algebraic structure 138
as an alienable commodity 261
as an alignment reference 170
as an allocation mechanism 354
as an allocation principle 78
as an allowable hypothesis 77
as an alternate candidate 101
as an alternate definition 106
as an alternate expression 94
as an alternate hypothesis 105
as an alternate indicator 49
as an alternate lifestyle 305
as an alternate mechanism 103
as an alternate procedure 216
as an alternate substrate 510
as an alternate technique 98
as an altogether desirable 43
as an altogether different 671
as an altogether secondary 52
as an ambiguous character 78
as an ambiguous expression 40
as an ambulance attendant 239
as an ambulance transport 61
as an ameliorating influence 147
as an amorphous collection 124
as an amorphous structure 66
as an amorphous substance 283
as an amplitude modulated 96
as an amplitude modulation 303
as an amplitude modulator 454
as an analogous reflection 61
as an anaphoric expression 50
as an anaphoric reference 43
as an ancestral character 64
as an ancillary component 68
as an ancillary diagnostic 67
as an ancillary occupation 54
as an ancillary procedure 142
as an ancillary technique 139
as an anesthetic technique 61
as an announced candidate 66
as an anonymous production 65
as an antisocial character 43
as an antiviral substance 46
as an apostolic community 58
as an apostolic foundation 45
as an apostolic missionary 202
as an apostolic ordinance 40
as an apostolic production 58
as an apostolic succession 45
as an apothecary compounding 47
as an apothecary naturally 42
as an apparition sinuously 43
as an appendage inorganic 49
as an appointed president 40
as an appraisal technique 109
as an arbitrary alteration 47
as an arbitrary assumption 176
as an arbitrary collection 191
as an arbitrary construct 121
as an arbitrary convention 192
as an arbitrary definition 174
as an arbitrary enactment 47
as an arbitrary expression 82
as an arbitrary hypothesis 58
as an arbitrary imposition 249
as an arbitrary infliction 42
as an arbitrary limitation 95
as an arbitrary oppressor 91
as an arbitrary parameter 231
as an arbitrary principle 41
as an arbitrary procedure 45
as an arbitrary reference 233
as an arbitrary signifier 42
as an arbitrary sovereign 196
as an arbitrary structure 43
as an architect specializing 42
as an arithmetic expression 455
as an arithmetic statement 97
as an artificial construct 927
as an artificial convention 55
as an artificial dichotomy 44
as an artificial imposition 130
as an artificial limitation 53
as an artificial mechanism 97
as an artificial political 99
as an artificial procedure 57
as an artificial production 141
as an artificial protection 43
as an artificial reservoir 84
as an artificial restraint 61
as an artificial satellite 448
as an artificial separation 78
as an artificial stimulant 92
as an artificial structure 207
as an artificial substrate 204
as an artificial sweetener 1230
as an artillery commander 305
as an artillery specialist 85
as an artillery subaltern 51
as an assertive statement 43
as an assiduous collector 50
as an assistant architect 130
as an assistant cameraman 653
as an assistant carpenter 44
as an assistant collector 221
as an assistant conductor 334
as an assistant counselor 161
as an assistant draftsman 52
as an assistant executive 168
as an assistant inspector 301
as an assistant missionary 509
as an assistant operations 120
as an assistant paymaster 65
as an assistant personnel 112
as an assistant political 63
as an assistant president 85
as an assistant principal 4116
as an assistant production 111
as an assistant professor 21601
as an assistant prosecuting 212
as an assistant registrar 235
as an assistant researcher 168
as an assistant secretary 7491
as an assistant solicitor 319
as an association executive 50
as an association organized 53
as an astonishing grievance 47
as an astonishing revelation 89
as an astronaut candidate 359
as an atonement sacrifice 89
as an attempted delegation 72
as an attempted refutation 63
as an attempted regulation 170
as an attempted resolution 66
as an attempted revolution 72
as an attribute associated 73
as an attribute possessed 74
as an augmented transition 73
as an australian aborigine 42
as an australian territory 45
as an authorized committee 55
as an authorized emergency 47
as an authorized exposition 45
as an authorized statement 54
as an automated procedure 46
as an automatic byproduct 122
as an automatic corollary 65
as an automatic discharge 43
as an automatic guarantee 110
as an automatic indication 60
as an automatic indicator 56
as an automatic mechanism 360
as an automatic procedure 108
as an automatic protection 45
as an automatic reflection 42
as an automatic regulator 535
as an automatic sprinkler 45
as an automatic telephone 92
as an available candidate 419
as an avoidance mechanism 263
as an avoidance technique 170
as an eccentric character 364
as an eccentric englishman 99
as an eccentric gentleman 46
as an eccentric heretical 48
as an eccentric professor 61
as an economics professor 366
as an economist specializing 51
as an ecosystem component 159
as an educative influence 410
as an effective absorption 45
as an effective adaptation 59
as an effective adsorbent 84
as an effective adversary 62
as an effective advertising 249
as an effective alternate 105
as an effective analgesic 375
as an effective anesthetic 124
as an effective antibiotic 148
as an effective antiviral 125
as an effective apparatus 46
as an effective barometer 54
as an effective behavioral 46
as an effective biological 130
as an effective breakwater 60
as an effective classroom 90
as an effective collection 41
as an effective combatant 64
as an effective commander 76
as an effective commercial 47
as an effective community 166
as an effective component 313
as an effective conclusion 99
as an effective container 41
as an effective controlling 62
as an effective corporate 69
as an effective counselor 89
as an effective defensive 127
as an effective deterrent 10203
as an effective diagnostic 174
as an effective electoral 83
as an effective emergency 42
as an effective evaluation 47
as an effective evangelist 93
as an effective executive 416
as an effective expression 142
as an effective foundation 85
as an effective framework 219
as an effective functional 44
as an effective guarantee 249
as an effective guarantor 93
as an effective guerrilla 118
as an effective guideline 44
as an effective herbicide 66
as an effective heuristic 131
as an effective hindrance 52
as an effective incentive 1049
as an effective indicator 273
as an effective industrial 59
as an effective influence 270
as an effective inhibitor 298
as an effective insulation 70
as an effective insulator 258
as an effective insurance 49
as an effective integrating 47
as an effective interface 119
as an effective knowledge 45
as an effective leadership 78
as an effective limitation 141
as an effective lubricant 274
as an effective machinery 92
as an effective managerial 71
as an effective mechanism 2452
as an effective medication 96
as an effective missionary 48
as an effective moderator 55
as an effective molecular 53
