abated a jot of 359
abetting a man to 50
aboard a bus in 264
aboard a bus or 114
aboard a bus to 210
aboard a few of 236
aboard a lot of 96
aboard a man of 215
aboard a pan am 736
aboard i had to 40
abroad a lot of 59
abroad a year or 185
abroad i had to 58
abrupt a way of 46
absent a day or 718
absent a lot of 62
absent a year at 113
absent a year or 204
absent i had to 103
absorb a bit of 301
absorb a few of 86
absorb a lot of 3752
absorb a set of 81
absurd a law as 40
absurd a one as 46
absurd a way of 60
accept a bag of 115
accept a ban on 382
accept a bed at 154
accept a bed in 284
accept a bet of 51
accept a bet on 141
accept a bid at 60
accept a bid of 85
accept a bid or 88
accept a bid to 72
accept a bit of 479
accept a box of 123
accept a cap on 136
accept a cup of 1256
accept a cut in 1534
accept a cut of 240
accept a deal in 52
accept a deal on 41
accept a fee as 106
accept a fee in 85
accept a fee of 230
accept a fee or 568
accept a fee to 53
accept a few of 357
accept a gap of 42
accept a god of 86
accept a jew as 221
accept a job as 3077
accept a job at 1023
accept a job he 58
accept a job if 543
accept a job in 1877
accept a job is 91
accept a job of 184
accept a job on 288
accept a job or 357
accept a job to 81
accept a law of 120
accept a lie as 83
accept a lot if 83
accept a lot of 1558
accept a man as 819
accept a man at 87
accept a man in 135
accept a man of 380
accept a man on 107
accept a man or 172
accept a mix of 115
accept a mug of 65
accept a new or 224
accept a plea in 52
accept a plea of 3130
accept a plea to 590
accept a pot of 44
accept a seat as 73
accept a seat at 260
accept a seat if 50
accept a seat in 3441
accept a seat on 1320
accept a set of 2395
accept a son of 47
accept a sum in 107
accept a sum of 1363
accept a tax on 194
accept a tip or 82
accept a war of 40
accept a way of 536
access a lot of 706
access a row in 137
access a row of 105
access a set of 1432
access i had to 747
accost a man in 87
accuse a man in 67
accuse a man of 2683
accuse a man on 69
accusing a man of 874
acquit a man of 164
across a bag of 108
across a bar at 48
across a bar in 68
across a bar of 420
across a bar or 83
across a bath of 116
across a bay in 74
across a bay of 240
across a bay on 54
across a bay or 524
across a bay to 189
across a beam of 322
across a beam or 138
across a bear in 64
across a bed in 328
across a bed of 3490
across a bed or 232
across a bit of 1884
across a bog to 41
across a box of 526
across a boy in 89
across a boy of 85
across a can of 66
across a cup of 101
across a cut in 65
across a day or 56
across a dip in 124
across a few at 58
across a few in 79
across a few of 758
across a gang of 372
across a gap at 68
across a gap by 58
across a gap in 1190
across a gap is 85
across a gap of 1690
across a gap or 94
across a gap to 258
across a head of 49
across a heap of 676
across a jar of 61
across a jet of 76
across a lad of 104
across a lan or 376
across a leaf of 98
across a leaf or 84
across a log in 69
across a log of 66
across a log or 79
across a log to 42
across a lot of 3197
across a man as 47
across a man by 72
across a man he 57
across a man in 404
across a man of 405
across a man on 126
across a man or 152
across a man so 173
across a map of 1070
across a map or 52
across a map to 130
across a mix of 154
across a mob of 63
across a net of 44
across a pad of 107
across a pan of 150
across a path in 129
across a path of 227
across a path or 137
across a path to 99
across a pit in 47
across a pit of 142
across a poem by 285
across a poem in 92
across a poem of 101
across a pot of 110
