ac signals are concerned 59
am accused and condemned 123
am against all accessions 40
am against any alteration 44
am against this surrender 43
am ashamed and disgusted 190
am ashamed and humiliated 120
am ashamed that englishmen 110
am assured that whatsoever 41
am beloved and respected 46
am blessed with wonderful 59
am borrowing this expression 53
am bruised and afflicted 74
am certain and confident 45
am certain that everybody 73
am certain that president 102
am certain that priceless 76
am certain that professor 51
am certain that somewhere 72
am certain was faithfully 50
am charged with diabolical 55
am charged with vacillating 42
am charmed and flattered 43
am content and satisfied 264
am content with democracy 85
am content with weaknesses 671
am deluged with reminders 84
am executing this affidavit 293
am flooded with happiness 58
am following one character 96
am foolish and forgetful 45
am grieved and surprised 72
am heartily and sincerely 58
am honored and delighted 135
am honored and flattered 62
am hopeful and confident 66
am nervous and irritable 42
am obliged and flattered 45
am obliged for permission 104
am offered this apartment 40
am puzzled and perplexed 176
am relaxed and confident 45
am shocked and disgusted 120
am shocked and horrified 89
am shocked and surprised 130
am thrilled and delighted 48
am touched with compassion 85
an abettor and supporter 88
an ability and character 42
an ability and eloquence 113
an ability and gallantry 47
an ability and integrity 42
an ability and knowledge 43
an ability and willingness 1886
an ability for leadership 63
an ability not possessed 70
an abortion being performed 63
an abortion not necessary 445
an abortion was attempted 42
an abortion was justified 44
an abortion was necessary 250
an abortion was performed 243
an abortion was protected 119
an abscess had developed 76
an abscess has developed 285
an abscess may sometimes 49
an absorbing and controlling 43
an absorbing and enjoyable 49
an absorbing and exclusive 60
an absorbing and fascinating 175
an absorbing and important 79
an absorbing and interesting 74
an absorbing and passionate 62
an absorbing and stimulating 54
an abusive and alcoholic 132
an abusive and controlling 45
an abusive and unskilful 44
an academy and theological 50
an academy for classical 66
an academy was organized 57
an accepting and encouraging 41
an account and appraisal 82
an account and criticism 399
an account and deposited 48
an account and discovery 107
an account and discussion 174
an account and evaluation 157
an account and injunction 73
an account and inventory 103
an account and redemption 51
an account and refutation 54
an account and statement 79
an account and underwent 78
an account for collection 135
an account for themselves 77
an account not identical 53
an account that compounds 50
an account that considers 45
an account that contained 44
an account that describes 135
an account that generates 40
an account that indicates 47
an account that justifies 63
an account that preserves 53
an account that satisfies 98
an account was furnished 46
an account was necessary 50
an account was presented 137
an account was published 887
an account was subjoined 142
an account with permission 48
an accused and effective 55
an accused has committed 104
an accused may introduce 224
an accused was acquitted 50
an accused was convicted 133
an accused who testifies 133
