abortion regulations despite the 73
absorbing appreciable amounts of 41
absorbing substantial amounts of 83
absorbs appreciable amounts of 102
absorbs substantial amounts of 58
absorbs tremendous amounts of 53
absorbs ultraviolet radiation at 42
absorbs ultraviolet radiation in 153
absorbs ultraviolet radiation of 51
abusive expressions towards my 74
abysmal difference between the 305
abysmal distinction between the 92
accepting employment outside the 47
accepts assistance subject to 60
accepts homosexual conduct as 185
accessing information related to 117
account imbalances between the 108
account immediately following the 91
account individual variation in 53
account interaction between the 55
account limitations imposed by 62
account originally appeared in 257
account particular features of 65
account receivable against the 109
accrued liabilities increase in 97
achieve acceptable results in 63
achieve breakthrough results in 48
achieve comparable degrees of 61
achieve comparable results by 72
achieve comparable results in 167
achieve comparable results to 69
achieve comparable success in 52
achieve consistent results in 69
achieve consistent success in 53
achieve continuity between the 55
achieve cooperation between the 163
achieve impressive results in 157
achieve integration between the 105
achieve objectives related to 90
achieve phenomenal success in 45
achieve remarkable results in 281
achieve remarkable success in 199
achieve substantial increase in 44
achieve substantial justice in 65
achieve substantial results in 169
achieve substantial success in 115
achieve successful careers in 44
achieve successful control of 40
achieve successful results in 167
achieve sufficient control to 46
achieve sufficient mastery of 59
achieve sufficient numbers of 50
achieve sufficient success to 60
achieve tremendous success in 52
achieve uniformity between the 78
achieving compatible measures in 49
achieving cooperation between the 74
achieving impressive results in 80
achieving integration between the 58
achieving particular success in 56
achieving remarkable results in 149
achieving remarkable success in 110
achieving successful results in 82
acquire associations peculiar to 46
acquire information because of 139
acquire information regarding the 364
acquire information related to 94
acquire substantial amounts of 318
acquire sufficient ability to 42
acquire sufficient amounts of 84
acquire sufficient capital to 268
acquire sufficient command of 75
acquire sufficient control of 60
acquire sufficient courage to 47
acquire sufficient fluency in 50
acquire sufficient mastery of 223
acquire sufficient numbers of 79
acquiring corporation assumes the 79
acquiring corporation obtains the 52
acquiring corporation subject to 44
acquiring information regarding the 179
acquiring information related to 46
acquiring substantial amounts of 68
acquiring sufficient capital to 75
adapted relatively quickly to 46
adapted remarkably quickly to 40
address immediately following the 212
address individual aspects of 40
address individual members of 41
address particular aspects of 594
address translation between the 44
adenine nucleotides between the 47
adjusting democratic control to 84
adjusting particular average on 123
adjusting successive systems of 128
admiral absolutely refused to 42
admitting statements related to 106
adopted aggressive measures to 41
adopted approaches similar to 52
adopted appropriate measures to 42
adopted immediately following the 85
adopted legislation requiring the 65
adopted legislation similar to 129
adopted procedures similar to 44
adopted regulations governing the 208
