ad campaign to introduce 40
am ambitious of signalizing 97
am ambitious of subscribing 62
am answered by gentlemen 73
am attached by principle 56
am attempting to ascertain 51
am attempting to construct 140
am attempting to determine 109
am attempting to distinguish 46
am attempting to elaborate 46
am attempting to elucidate 80
am attempting to emphasize 46
am attempting to establish 530
am attempting to explicate 45
am attempting to formulate 122
am attempting to highlight 65
am attempting to influence 46
am attempting to introduce 73
am attempting to summarize 47
am beholden to professor 95
am commencing an undertaking 133
am committing no sacrilege 43
am conscious in perception 71
am conscious of remembering 89
am darkened by temporary 84
am desirous of considering 81
am desirous of introducing 94
am desirous of translating 44
am desirous to establish 56
am devoured by mosquitoes 50
am directed by secretary 324
am disposed to acquiesce 163
am disposed to attribute 1094
am disposed to encourage 57
am disposed to entertain 192
am disposed to interpret 136
am disposed to pronounce 51
am disposed to recognize 76
am disposed to recommend 249
am earnestly to recommend 40
am employed to sculpture 85
am endeavoring to ascertain 71
am endeavoring to elucidate 53
am endeavoring to establish 241
am endeavoring to inculcate 72
am endeavoring to introduce 48
am endeavoring to prejudice 52
am entirely in agreement 1315
am entirely in sentiment 64
am entitled to prescribe 47
am entitled to pronounce 52
am expressing my gratitude 43
am expressing the sentiment 59
am expressing the unanimous 43
am fulfilling my obligation 42
am fulfilling the intentions 50
am grateful or ungrateful 95
am grateful to alejandro 42
am grateful to alexander 221
am grateful to alexandra 89
am grateful to audiences 272
am grateful to blackwell 160
am grateful to brigadier 144
am grateful to cambridge 254
am grateful to charlotte 121
am grateful to christina 128
am grateful to christine 750
am grateful to colleagues 1046
am grateful to commander 89
am grateful to constance 72
am grateful to countless 70
am grateful to dominique 122
am grateful to everybody 61
am grateful to francesca 43
am grateful to francoise 49
am grateful to frederick 197
am grateful to georgetown 40
am grateful to geraldine 45
am grateful to josephine 120
am grateful to librarians 99
am grateful to macmillan 57
am grateful to madeleine 86
am grateful to president 506
am grateful to princeton 210
am grateful to principal 104
am grateful to priscilla 59
am grateful to professor 45591
am grateful to reviewers 63
am grateful to stephanie 272
am hesitant to recommend 45
am inclined to acquiesce 106
am inclined to apprehend 58
am inclined to attribute 5047
am inclined to discredit 149
am inclined to disregard 82
am inclined to distinguish 135
am inclined to emphasize 171
am inclined to encourage 44
am inclined to entertain 179
am inclined to formulate 47
am inclined to interpret 1015
am inclined to overvalue 68
am inclined to pronounce 142
