ace three times following 93
act done under federal 136
act from below upwards 46
act from mixed motives 850
act from moral motives 67
act from party motives 51
act from right motives 132
act from which material 58
act from within outward 130
act like small magnets 112
act more moral between 97
act only after careful 115
act only after receiving 58
act only under certain 147
act only within certain 93
act taking place between 50
act took place between 55
act took place outside 45
act upon every occasion 234
act upon light grounds 98
add five cents freight 88
add more space between 181
add only small amounts 229
add some brief remarks 146
add some extra features 60
add some final remarks 59
add some final touches 97
add some short comment 59
add some sound effects 57
add some space between 140
add very small amounts 153
add your email address 87
age from about fifteen 95
age from about sixteen 54
age from about thirteen 42
age from lower cambrian 135
age from upper cambrian 52
age have borne witness 62
age have petting parties 43
age were either married 40
age were first studied 144
age were getting married 44
age were often coarser 111
age when first elected 106
age when first married 80
age when habit becomes 53
age when large numbers 57
age will easily believe 50
age will easily correct 46
ago none could believe 53
ago there still existed 51
ago when large numbers 40
aid from above according 64
aid from every quarter 241
aid from latin america 52
aid from others towards 74
aid from russia against 53
aid their fight against 54
aim will appear evident 129
air flow rates between 47
air from burning buildings 51
air from every quarter 53
air from passing between 72
air into close contact 108
air into small bubbles 76
air mail route between 263
air raid alarm sounded 560
air raid alert sounded 180
air raid siren sounded 591
air raid siren started 71
air raid warning service 117
air raid warning sounded 933
air raid warning systems 82
air their dirty laundry 876
air their fresh perfume 51
air when heated expands 53
air will enter between 41
air will often produce 48
air your dirty laundry 730
ale have never lowered 40
all acts which concern 44
all acts words importing 141
all ages above infancy 63
all ages after infancy 73
all ages after puberty 208
all ages mixed together 128
all ages taken together 207
all ages working together 56
all ages would applaud 94
all along close together 54
all along keeps himself 47
all along shown himself 73
all arab league members 186
all areas under control 45
all areas under federal 140
all areas where agrarian 56
all arms under general 46
all arts which address 81
all basing point systems 64
all been amply praised 167
all been badly damaged 52
all been bound together 60
all been close friends 113
all been drawn together 88
all been found capable 48
all been found helpful 79
all been found together 87
all been fully noticed 40
all been happy together 62
all been heaped together 46
all been hotly debated 42
all been looking forward 842
all been major factors 63
all been mixed together 156
all been playing together 40
all been shown capable 40
all been thrown together 205
all been working together 197
all been working towards 47
all beings which possess 150
all body cells contain 59
all bore flaming torches 54
all boys under sixteen 94
all boys under thirteen 56
all boys whose parents 65
all busy talking together 52
all came about because 1398
all came running towards 50
all came under intense 44
all case study research 86
all cash flows between 63
all cash flows occurring 75
all cell lines derived 42
all cell lines studied 66
all cell types contain 45
all cell types including 68
all cell types present 212
all cell types studied 160
all clap hands together 106
all come about because 592
all come right somehow 113
all data passing between 42
all early roman history 43
all even whole numbers 86
all evil which befalls 155
all eyes turning towards 44
all eyes under certain 40
all fair within certain 71
all fall within certain 56
all fears about providing 59
all fell apart because 53
all file names beginning 55
all find ample support 203
all find worthy missions 150
all fire alarm systems 42
all five board members 67
all five daily prayers 49
