able in several instances 66
able to abandon ourselves 49
able to abandon themselves 184
able to absolve themselves 108
able to account correctly 51
able to account reasonably 40
able to achieve additional 90
able to achieve agreement 269
able to achieve astonishing 55
able to achieve certainty 41
able to achieve coherence 63
able to achieve commercial 98
able to achieve compliance 62
able to achieve consensus 409
able to achieve desirable 59
able to achieve different 81
able to achieve dominance 145
able to achieve economies 849
able to achieve effective 368
able to achieve efficient 99
able to achieve excellent 286
able to achieve expression 53
able to achieve extremely 90
able to achieve functional 83
able to achieve happiness 204
able to achieve important 269
able to achieve industrial 67
able to achieve intensity 52
able to achieve knowledge 91
able to achieve leadership 85
able to achieve liberation 134
able to achieve outstanding 103
able to achieve perfection 367
able to achieve permanent 98
able to achieve political 1166
able to achieve practical 69
able to achieve precisely 42
able to achieve pregnancy 138
able to achieve previously 51
able to achieve production 79
able to achieve reasonable 226
able to achieve reasonably 78
able to achieve reductions 66
able to achieve relaxation 72
able to achieve resolution 55
able to achieve spiritual 75
able to achieve stability 244
able to achieve standards 56
able to achieve strategic 95
able to achieve successes 99
able to achieve sustained 465
able to achieve technical 41
able to achieve temporary 79
able to achieve themselves 62
able to achieve throughout 59
able to achieve unanimity 104
able to achieve universal 123
able to achieve victories 76
able to achieve virtually 108
able to achieve wholeness 85
able to achieve widespread 109
able to achieve wonderful 58
able to acquire additional 480
able to acquire companies 47
able to acquire exclusive 42
able to acquire expertise 42
able to acquire extensive 112
able to acquire important 85
able to acquire influence 84
able to acquire knowledge 1323
able to acquire necessary 72
able to acquire ownership 235
able to acquire permanent 56
able to acquire political 266
able to acquire possession 136
able to acquire practical 46
able to acquire resources 149
able to acquire technical 63
able to acquire territory 41
able to address audiences 60
able to address different 69
able to address important 101
able to address ourselves 141
able to address themselves 414
able to advance arguments 70
able to advance knowledge 83
able to advance plausible 61
able to advance themselves 407
able to advance unopposed 97
able to analyze carefully 45
able to analyze correctly 68
able to analyze different 54
able to analyze sentences 60
able to analyze situations 283
able to analyze themselves 40
able to approve themselves 46
able to attract additional 370
able to attract adherents 85
able to attract audiences 151
able to attract competent 140
able to attract consumers 65
able to attract customers 495
able to attract electrons 68
able to attract employees 85
able to attract excellent 74
able to attract followers 246
able to attract important 55
able to attract investors 366
able to attract outstanding 126
able to attract prominent 46
able to attract qualified 440
able to attract resources 146
able to attract widespread 96
able to balance conflicting 72
able to balance different 55
able to balance ourselves 46
able to balance themselves 142
able to believe sincerely 84
able to believe themselves 126
able to benefit themselves 142
able to capture additional 105
able to capture different 101
able to capture economies 115
able to capture electrons 78
able to capture important 206
able to capture jerusalem 73
able to capture political 178
able to channel resources 97
able to closely reproduce 40
able to closely supervise 53
able to collect additional 194
able to collect extensive 62
able to collect important 79
able to collect insurance 112
able to collect provisions 42
able to collect royalties 88
able to collect specimens 174
able to collect themselves 82
able to combine different 337
able to combine knowledge 129
able to combine motherhood 71
able to combine operations 42
able to combine political 200
able to combine practical 53
able to combine resources 76
able to combine technical 81
able to comfort ourselves 81
able to comfort themselves 294
able to command allegiance 64
able to command influence 59
able to command obedience 609
able to command ourselves 51
able to command publicity 45
able to command resources 253
able to command themselves 55
able to command universal 74
able to command unlimited 54
able to command widespread 70
able to commend themselves 97
able to comment favorably 43
able to comment meaningfully 56
able to compare conditions 109
able to compare different 1319
able to compare favorably 60
able to compare ourselves 85
able to compare responses 82
able to compare specimens 53
able to compare themselves 275
able to compete favorably 440
able to compete worldwide 111
able to comport themselves 53
able to compose sentences 139
able to compose themselves 159
able to concern ourselves 105
able to concern themselves 459
able to conduct campaigns 45
able to conduct effective 298
able to conduct extensive 203
able to conduct fieldwork 56
able to conduct intensive 52
able to conduct offensive 62
able to conduct operations 343
able to conduct ourselves 126
able to conduct political 106
able to conduct sustained 42
able to conduct themselves 751
able to confine ourselves 251
able to confine themselves 350
able to conform themselves 62
able to connect different 132
able to connect themselves 222
able to conquer jerusalem 65
able to conquer perfectly 77
able to console ourselves 174
able to console themselves 540
able to contain conflicts 45
able to contain ourselves 127
able to contain themselves 1130
able to content ourselves 111
able to content themselves 300
able to control aggression 47
able to control arbitrage 69
able to control conditions 146
able to control different 61
able to control excessive 54
able to control fertility 70
able to control important 131
able to control inventory 51
able to control movements 52
able to control operations 105
able to control ourselves 347
able to control parliament 184
able to control political 320
able to control population 438
able to control precisely 138
able to control processes 40
able to control production 387
able to control resources 145
able to control situations 119
able to control themselves 2128
able to control virtually 64
able to convert carbonate 42
able to convert cellulose 97
able to convert inorganic 183
able to convert knowledge 43
able to convert resources 44
able to convert themselves 137
able to correct themselves 196
able to counsel tolerance 44
able to deceive everybody 47
able to deceive ourselves 131
able to deceive themselves 347
able to declare dividends 263
able to declare ourselves 57
able to declare themselves 377
able to deflect criticism 164
able to degrade cellulose 231
able to deliver effective 255
able to deliver excellent 66
able to deliver important 44
able to deliver ourselves 68
able to deliver political 80
able to deliver possession 71
able to deliver themselves 254
able to deliver vaginally 288
able to deprive themselves 42
able to destroy ourselves 46
able to destroy themselves 49
