abated after use stopped 41
abbots rather than bishops 46
abhors greed and detests 49
ablest judge may mistake 66
abroad again with hostile 44
abroad rather than exporting 43
abroad rather than investing 63
abroad rather than produce 108
abroad under this program 61
abroad which are planned 97
abroad which ran counter 104
abrupt hills and valleys 58
abrupt onset and usually 51
abrupt rather than gradual 355
absent about ten minutes 205
absent father and husband 216
absent rather than present 357
absent trees that tremble 137
absent until they decided 78
absorb anything and everything 75
absorb light and convert 104
absorb light and prevent 68
absorb light and produce 49
absorb light and reflect 41
absorb odors and flavors 94
absorb rather than reflect 459
absorb shock and prevent 48
absorb sound and prevent 44
absorb water and increase 354
absorb water and mineral 550
absorb water and prevent 66
absorb water and solutes 265
absorb water with avidity 82
absurd ivory fan between 79
absurd names and phrases 156
absurd pride and caprice 45
absurd rumor had existed 43
absurd stake and highway 51
absurd taste for obscene 55
absurd words and phrases 45
abused drugs and alcohol 1236
abused power and illicit 47
abused while being removed 53
abuses drugs and alcohol 78
abuses which are alleged 47
abuses which had appeared 90
abuses which had brought 136
abuses which had excited 268
abuses which had existed 198
abuses which had gathered 46
abuses which had hitherto 364
abuses which had induced 45
abuses which had invaded 50
abuses which then existed 112
abuses women and slights 47
accent which was natural 95
accept anything and everything 687
accept anything for himself 97
accept anything that happens 72
accept blame for failure 146
accept defeat and abandon 40
accept defeat and failure 40
accept defeat and withdraw 46
accept defeat with dignity 101
accept goods for carriage 202
accept goods that conform 61
accept input and produce 77
accept input and provide 42
accept joint and several 108
accept lower real incomes 53
accept money for deposit 48
accept rather than question 187
access files and folders 746
access lists are applied 141
access method for dynamic 144
access method that permits 65
access point and network 48
access point can support 145
access roads and bridges 483
access roads and service 45
access roads and streets 121
access roads and utility 45
access times are measured 273
accruing rents and profits 94
accusing fingers are pointed 65
acidic rather than neutral 53
acorns which they gathered 48
acquit rather than convict 63
acreage under its control 41
across caste and regional 45
across caste and religion 55
across class and culture 100
across class and national 274
across class and regional 197
across doors and windows 82
across ethnic and language 49
across ethnic and national 302
across ethnic and regional 169
across firms and sectors 252
across georgia and alabama 151
across hills and ravines 91
across hills and valleys 1054
across idaho and montana 142
across idaho then montana 52
across local and national 542
across local and regional 139
across males and females 318
across nearly one hundred 64
across nearly two hundred 45
across nearly two thousand 165
across oceans and between 43
across oceans and borders 85
