act expressly prohibited by 199
act prohibiting importation of 167
act reasonably calculated to 113
add additional attributes to 78
add additional bookstores or 362
add additional complexity to 180
add additional components to 140
add additional information as 106
add additional information in 111
add additional information on 98
add additional information or 108
add additional information to 1102
add additional parameters to 61
add additional properties to 89
add additional statements to 49
add additional worksheets to 59
add copyright information to 53
add different quantities of 52
add identifying information to 54
add important information in 46
add important information on 68
add important information to 520
add necessary information to 70
add pertinent information to 47
add practical experience to 66
add recipient information to 239
age population registered to 117
age regression procedures in 58
age repeatedly admonished the 98
air conditioning components or 96
air conditioning compressor is 82
air contrasting viewpoints on 103
air navigation facilities as 122
air navigation facilities at 99
air navigation facilities by 124
air navigation facilities in 157
air navigation facilities or 492
air navigation facilities to 287
air navigation procedures of 115
air transport commissions on 61
air transport enterprise of 137
air transport enterprise to 75
air transport facilities in 81
air transport facilities or 98
air transport facilities to 120
all accidents regardless of 71
all additional information or 107
all admirably calculated to 44
all alexandria understood so 83
all americans interested in 223
all americans regardless of 1692
all americans subscribed to 42
all americans understand the 85
all antiquity accustomed to 47
all appearance unconscious of 96
all arbitrary assumptions of 60
all arbitrary assumptions or 115
all arguments calculated to 51
all artificial hindrances to 45
all attempted definitions of 55
all available approaches to 69
all available assistance in 47
all available assistance to 63
all available authorities on 40
all available destroyers to 41
all available facilities in 105
all available facilities of 42
all available facilities on 46
all available facilities to 89
all available indicators of 48
all available information as 1098
all available information at 494
all available information be 67
all available information by 90
all available information in 2082
all available information is 1641
all available information it 109
all available information of 260
all available information on 10755
all available information or 114
all available information so 187
all available information the 145
all available information to 3443
all available information up 98
all available literature in 69
all available literature on 653
all available precautions to 48
all available quantities of 73
all available references to 124
all available statistics of 43
all available statistics on 97
all available submarines to 46
all available techniques in 54
all available techniques of 173
all available techniques to 171
all available technology to 106
all believers regardless of 138
all biological activities of 45
all biologists interested in 44
all california landscapes is 44
all carefully calculated by 54
all carefully calculated to 296
all carefully considered by 50
all carefully considered in 127
all carefully controlled by 84
all carefully supervised by 49
all christians everywhere in 48
all christians everywhere to 81
all christians regardless of 209
all classical literature to 44
all classroom instruction is 66
all clinicians interested in 40
all collected information is 45
all commercial activities in 362
all commercial activities of 148
all commercial activities to 98
all commercial regulations of 42
all commercial regulations we 114
all commercial undertakings in 118
all communist activities in 107
all companies controlled by 73
all companies interested in 107
all companies regardless of 314
all companies registered in 254
all competent authorities as 149
all competent authorities in 89
all competent authorities on 48
all competent authorities to 117
all computers regardless of 42
all concerned understand the 137
all conditions applicable to 73
all conditions prescribed by 93
all conditions regardless of 62
all conditions stipulated in 74
all conflicting complaints at 66
all connected components in 47
all connected components of 187
all consumers regardless of 179
all contained conductors at 94
all contained references to 52
all contracts regardless of 70
all countries considered as 176
all countries considered in 64
all countries considered it 40
all countries contribute to 90
all countries contributing to 49
all countries controlled by 41
all countries designated by 66
all countries discovered by 113
all countries everywhere is 299
all countries experience the 40
all countries immediately to 60
all countries influenced by 42
all countries interested in 612
all countries regardless of 1259
all countries subscribed to 41
all customers interested in 110
all customers regardless of 333
all desirable properties of 64
all diagnostic categories of 75
all different approaches to 186
all different categories of 109
all different expressions of 542
all diplomats accredited to 51
all directions regardless of 225
all directions transverse to 104
all disquieting conjecture on 61
all dissolved substances in 53
all districts penetrated by 41
all districts regardless of 102
all documents accompanying the 47
all documents considered by 59
all documents identified in 92
all documents referenced in 103
all documents regardless of 56
all documents responsive to 60
all documents stipulated in 112
all economies regardless of 51
all educators interested in 79
all effective instruction in 54
all effective resistance to 112
all efficient allocations of 84
all electrons contribute to 44
all empirical approaches to 46
all empirical employment of 42
all empirical experience is 42
all employees classified as 96
all employees contribute to 78
all employees interested in 48
all employees regardless of 3413
all employees understand the 574
all employers regardless of 229
all endorsers subsequent to 43
all especially interested in 97
all exceedingly distressed at 65
all excellent conductors of 41
all exclusive privileges in 60
all exclusive privileges of 263
all executive agreements be 73
all executive agreements to 90
all executive authorities in 108
all executive authorities to 86
all executive committees of 47
all exhibited essentially the 58
all expressed confidence in 61
all extremely interested in 84
all faithfully reproduced in 104
all favorable references to 45
all frenchmen regardless of 50
all frequency components in 343
all frequency components of 810
all functional activities of 99
all functional components of 70
all functional properties of 46
all generally considered to 80
all generally recognized as 154
all genuinely interested in 77
all hazardous substances in 52
all historians interested in 69
all hospitals regardless of 68
all humankind regardless of 54
all identifying information is 245
all identifying information on 55
all illogical adaptations to 41
all immensely interested in 61
all important activities in 207
all important activities of 215
all important attributes of 215
all important categories of 143
all important characters of 40
all important collections of 51
all important committees of 50
all important components in 263
all important components of 2297
all important indications of 42
all important indicators of 467
all important industries in 87
all important influences in 110
all important influences on 417
all important information in 170
all important information is 266
all important information of 46
all important information on 137
all important information to 143
all important legislation in 48
all important legislation is 109
all important newspapers in 53
all important objectives in 40
all important objectives of 121
all important parameters in 160
all important parameters of 94
all important parameters to 42
all important predictors of 138
all important principles in 43
all important principles of 54
all important properties of 154
all important references to 58
all important statements of 102
all industrial activities in 176
all industrial activities of 53
