ad for camel cigarettes 62
am all right physically 47
am his enemy personally 53
am not easily astonished 83
am not easily dispirited 83
am not easily distracted 90
am not easily frightened 982
am not easily influenced 49
am not fully acquainted 310
am not fully conversant 86
am not given recognition 54
am not quite accustomed 40
am not quite determined 202
am not quite reconciled 129
am not quite unprepared 42
am not really frightened 121
am not really interested 2300
am not speaking ironically 192
am not speaking personally 82
am not under obligations 68
am not writing separately 350
am now fully determined 82
am now quite accustomed 136
am now quite reconciled 88
am too easily distracted 48
am too easily influenced 81
an act which apparently 108
an act which astonished 54
an act which completely 57
an act which designated 81
an act which determines 148
an act which discharged 41
an act which discharges 70
an act which eventually 133
an act which immediately 128
an act which indirectly 43
an act which inevitably 58
an act which interfered 54
an act which interferes 96
an act which introduced 83
an act which ordinarily 66
an act which originated 46
an act which originates 47
an act which proclaimed 53
an act which prohibited 371
an act which recognized 41
an act which recognizes 71
an act which represents 129
an act which symbolized 137
an act which symbolizes 118
an act which terminates 71
an act which transcends 101
an act which transforms 103
an act which ultimately 100
an act whose disclosure 43
an act would accomplish 176
an act would constitute 690
an act would inevitably 124
an age could personally 49
an age where electronic 45
an age where information 555
an age where parliaments 44
an age where scientific 55
an age where technology 236
an age where traditional 50
an age which appreciated 43
an age which attributed 42
an age which celebrated 41
an age which considered 105
an age which emphasized 40
an age which encouraged 48
an age which everywhere 81
an age which recognized 97
an age which recognizes 108
an age which rigorously 49
an age which understood 50
an age whose literature 47
an aim which transcends 72
an air corps lieutenant 66
an air force bombardier 263
an air force consultant 54
an air force contractor 123
an air force detachment 173
an air force helicopter 625
an air force information 49
an air force instructor 164
an air force laboratory 55
an air force lieutenant 1738
an air force publication 68
an air tending infinitely 124
an air where discontent 57
an air which manifested 42
an all night celebration 44
an all night restaurant 316
an all party conference 810
an all party government 76
an all souls fellowship 881
an arc which intersects 136
an area about equivalent 49
an area easily accessible 172
an area often considered 59
an area often overlooked 267
an area under cultivation 188
an area under observation 42
an area where activities 46
an area where competition 174
an area where compromise 58
an area where conscience 152
an area where continuous 45
an area where cooperation 131
an area where economists 64
an area where educational 53
an area where electrical 59
an area where elimination 40
an area where employment 163
an area where evaporation 64
an area where experience 127
an area where facilities 44
an area where foreigners 50
an area where government 868
an area where historical 56
an area where hurricanes 47
an area where indigenous 61
an area where individual 419
an area where information 482
an area where investment 86
an area where legislation 85
an area where management 154
