a backboard and hoop 104
a bacterium has been 262
a bacterium may have 56
a bacterium that will 82
a bagatelle not worth 45
a ballpoint pen from 874
a ballpoint pen into 153
a ballpoint pen over 43
a ballpoint pen when 42
a ballpoint pen will 46
a baltimore law firm 76
a bandstand had been 61
a barbarous age must 42
a barbarous age were 49
a barbarous age when 54
a barbarous and half 46
a barbarous and most 67
a barbarous and rude 105
a barbarous has over 309
a barbarous swing over 86
a barometer and other 41
a barometer for their 52
a barometer for what 183
a barometer for your 47
a barometer not only 67
a baronetcy had been 133
a barricade and their 41
a barricade had been 492
a barricade has been 47
a barricade with their 57
a barrister and also 42
a barrister and from 43
a barrister for some 53
a barrister for those 40
a barrister had been 114
a barrister has been 95
a barrister who knew 47
a barrister who went 66
a barrister who will 44
a bartender who knew 87
a basically new form 46
a basically new type 122
a bedridden old lady 110
a bellwether for other 109
a benchmark for good 94
a benchmark for making 111
a benchmark for many 178
a benchmark for more 133
a benchmark for most 89
a benchmark for much 87
a benchmark for other 833
a benchmark for risk 40
a benchmark for such 60
a benchmark for their 304
a benchmark for these 56
a benchmark for those 110
a benchmark for what 853
a benchmark for your 184
a benchmark has been 115
a benchmark not only 59
a benchmark that will 101
a beneficial and even 60
a beneficial one upon 45
a benighted old tory 53
a bewildering and ever 155
a bewildering and soul 104
a billboard for your 68
a billboard that reads 150
a billboard that said 222
a billboard that says 137
a biographer and such 182
a biographer can make 70
a biographer has been 87
a biographer has said 72
a biographer who knew 94
a biographer who will 129
a biological but also 187
a birthplace and have 89
a bishopric had been 252
a blackbird that flew 41
a blackbird was piping 50
a blackbird with none 49
a blackfoot was hurt 115
a blackmail and call 54
a blacksmith and also 76
a blacksmith and farm 43
a blacksmith and have 57
a blacksmith and made 65
a blacksmith and other 102
a blacksmith and some 96
a blacksmith being such 122
a blacksmith can make 48
a blacksmith for many 46
a blacksmith had been 53
a blacksmith has been 54
a blacksmith was sent 74
a blacksmith was shoeing 44
a blacksmith who also 49
a blacksmith who came 69
a blacksmith who died 67
a blacksmith who knew 41
