a and total phosphorus 112
a are fitting parameters 48
a bad blood transfusion 53
a bad class background 209
a bad first experience 96
a bad habit contracted 58
a bad latin translation 89
a bad learning experience 128
a bad moral atmosphere 48
a bad social conscience 138
a bad state financially 41
a bar chart comparison 51
a bar chart illustrating 85
a bar chart representing 143
a bar graph illustrating 171
a bar graph representing 292
a bar graph represents 65
a bar order constituting 68
a bar under compression 47
a beam under transverse 216
a beam whose transverse 292
a being could condescend 166
a being which immediately 48
a being which transcends 303
a being whose activities 43
a being whose attributes 927
a being whose experience 177
a being whose perfections 60
a bias taken beforehand 40
a bias which inevitably 41
a bid would constitute 82
a big black automobile 62
a big black motorcycle 52
a big black pocketbook 86
a big color photograph 128
a big fucking difference 58
a big house surrounded 221
a big husky irishwoman 92
a big league ballplayer 597
a big learning experience 194
a big moral difference 61
a big press conference 1446
a big price difference 104
a big state university 302
a big table surrounded 56
a big wedding celebration 162
a bit about individual 43
a bit about psychology 71
a bit about yourselves 44
a bob evans restaurant 63
a bob jones university 70
a box which represents 43
a boy could understand 131
a boy scout encampment 108
a boy selling newspapers 132
a boy whose grandfather 163
a boy whose imagination 42
a cab waiting downstairs 179
a car rather carelessly 126
a car waiting downstairs 169
a cut glass chandelier 103
a cut throat competition 88
a day after application 56
a day after partridges 48
a day after publication 95
a day amply sufficient 40
a day fixed beforehand 190
a day still celebrated 165
a day still remembered 52
a day would inevitably 90
a dead black background 140
a dead white background 52
a death under chloroform 49
a dec alpha workstation 93
a dew point hygrometer 247
a dim light illuminating 42
a dim light penetrated 80
a din which completely 40
a dna chain terminator 334
a dog could understand 57
a dog under chloroform 66
a dog would understand 90
a dry argon atmosphere 187
a dry bracing atmosphere 59
a dry goods department 135
a dry goods wholesaler 175
a dry inert atmosphere 146
a dry season alternates 105
a fan which circulates 45
a far easier explanation 51
a far easier proposition 125
a far finer instrument 89
a far longer experience 110
a far longer historical 46
a far lower department 44
a far lower percentage 780
a far lower prevalence 43
a far older institution 84
a far rarer occurrence 50
a far rarer phenomenon 72
a far reaching implication 51
a far reaching importance 62
a far reaching similarity 45
a far safer investment 120
a far sorer punishment 54
a far truer appreciation 81
a far truer philosophy 41
a far wider acceptance 112
a far wider application 1403
a far wider appreciation 51
a far wider circulation 464
a far wider connotation 150
a far wider difference 85
a far wider experience 243
a far wider historical 43
a far wider importance 64
a far wider phenomenon 90
a far wider popularity 122
a far wider publication 43
a far wider recognition 94
a far wider repertoire 49
a far wider vocabulary 42
a far worse description 48
a far worse experience 109
a far worse government 40
a far worse misfortune 43
a far worse punishment 242
a feat never duplicated 92
a feat quite impossible 124
a feat which astonished 68
a few acres cultivated 165
a few acres immediately 60
a few acres surrounded 44
a few added precautions 48
a few armed attendants 41
a few basal principles 44
a few basic activities 80
a few basic approaches 248
a few basic assumptions 1127
a few basic attributes 56
a few basic categories 732
a few basic characters 67
a few basic components 432
a few basic conclusions 168
a few basic constructs 72
a few basic conventions 52
a few basic convictions 53
a few basic definitions 710
a few basic expressions 55
a few basic facilities 90
a few basic foodstuffs 61
a few basic geometrical 44
a few basic guidelines 1960
a few basic historical 42
a few basic implements 40
a few basic indicators 68
a few basic industries 472
a few basic laboratory 89
a few basic mechanisms 175
a few basic objectives 80
a few basic parameters 409
a few basic postulates 186
a few basic precautions 326
a few basic principles 9033
a few basic procedures 270
a few basic properties 470
a few basic quantities 62
a few basic references 81
a few basic scientific 65
a few basic statements 129
a few basic statistics 195
a few basic strategies 289
a few basic structural 90
a few basic structures 245
a few basic substances 60
a few basic suggestions 295
a few basic techniques 1093
a few basic toiletries 46
a few black candidates 55
a few black geometrical 42
a few black newspapers 50
a few blank cartridges 112
a few blood corpuscles 731
a few bonds strengthened 47
a few brave volunteers 61
a few brick structures 94
a few brief annotations 109
a few brief appearances 238
a few brief biographies 48
a few brief conclusions 110
a few brief definitions 142
a few brief discussions 107
a few brief encounters 210
a few brief engagements 51
a few brief expressions 78
a few brief generations 139
a few brief guidelines 47
a few brief highlights 43
a few brief historical 142
a few brief impressions 43
a few brief indications 472
a few brief interludes 306
a few brief interviews 179
a few brief paragraphs 1597
a few brief references 1216
a few brief reflections 325
a few brief skirmishes 117
a few brief statements 1279
a few brief statistics 41
a few brief suggestions 577
a few brief utterances 63
a few broad assumptions 100
a few broad categories 1890
a few broad conclusions 273
a few broad guidelines 144
a few broad indications 58
a few broad principles 816
a few broad statements 167
a few broad suggestions 120
a few cases apparently 111
a few cases completely 79
a few cases haemorrhage 86
a few cases illustrating 150
a few cases impossible 60
a few cases individual 106
a few cases information 63
a few cases particular 43
a few cases references 45
a few cases relatively 42
a few cases representing 41
a few cases successful 45
a few cases sufficient 46
a few cents difference 198
a few chief executives 122
a few civil expressions 47
a few civil regulations 51
a few close confidants 85
a few close encounters 287
a few close supporters 75
a few closing paragraphs 211
a few closing reflections 112
a few comic characters 44
a few comic interludes 41
a few cooking implements 50
a few could understand 197
a few court ceremonies 58
a few crazy ideologists 41
a few cross references 77
a few crude implements 51
a few cubic kilometers 82
a few daily newspapers 161
a few dozen casualties 79
a few dozen categories 48
a few dozen characters 134
a few dozen determined 40
a few dozen generations 210
a few dozen guerrillas 44
a few dozen households 164
a few dozen individual 160
a few dozen kilometers 1497
a few dozen nanometers 43
a few dozen nucleotides 116
a few dozen processors 50
a few dozen scientists 100
a few dozen specialists 60
a few dozen spectators 77
a few dozen supporters 41
a few dozen university 56
a few dozen volunteers 106
a few dried vegetables 74
a few easily accessible 179
a few easily controlled 46
a few easily determined 52
a few easily identified 129
a few easily obtainable 90
a few easily recognized 178
a few easily remembered 156
a few easily understood 470
a few empty blusterers 79
a few empty cartridges 56
a few enemy stragglers 54
a few ethnic minorities 87
a few extra activities 49
a few extra attributes 57
a few extra cartridges 78
a few extra characters 190
a few extra cigarettes 50
a few extra components 146
a few extra delicacies 48
a few extra facilities 54
a few extra flourishes 295
a few extra keystrokes 77
a few extra nucleotides 49
a few extra paragraphs 68
a few extra parameters 74
a few extra percentage 148
a few extra precautions 358
a few extra privileges 131
a few extra properties 70
a few extra repetitions 56
a few extra revolutions 46
a few extra statements 47
a few facial expressions 124
a few facts illustrating 70
a few faint indications 153
a few false impressions 46
a few false principles 89
a few false quantities 60
a few farming implements 116
a few feeding guidelines 40
a few final corrections 55
a few final paragraphs 58
a few final reflections 125
a few final suggestions 150
a few firms controlled 56
a few first impressions 122
a few first principles 612
a few fishing implements 56
a few fixed categories 42
a few fixed expressions 161
a few fixed principles 127
a few flint implements 179
a few found employment 53
a few frame structures 54
a few fresh vegetables 472
a few grain boundaries 89
a few grand principles 53
a few greek characters 81
a few green vegetables 321
a few gross categories 54
a few group activities 44
a few guest appearances 287
a few guiding principles 1597
a few hardy evergreens 50
a few hardy vegetables 101
a few harsh expressions 48
a few hasty assumptions 42
a few hasty expressions 58
a few heated discussions 121
a few hours beforehand 667
a few hours completely 191
a few hours difference 96
a few hours disappeared 57
a few hours experience 51
a few hours frequently 43
a few hours immediately 224
a few hours instruction 92
a few hours intervened 80
a few hours observation 58
a few hours preparation 44
a few hours subscribed 42
a few hours subsequent 190
a few hours sufficient 53
a few hours terminated 127
a few human activities 57
a few human generations 296
a few human populations 54
a few human sacrifices 43
a few human volunteers 49
a few indian auxiliaries 60
a few input parameters 146
a few irish immigrants 55
a few irish politicians 40
a few joint committees 59
a few jovial raconteurs 40
a few large aggregates 63
a few large businesses 271
a few large categories 238
a few large collections 78
a few large components 66
a few large containers 54
a few large crocodiles 65
a few large department 143
a few large depositors 62
a few large developers 58
a few large facilities 120
a few large foundations 69
a few large government 145
a few large individual 108
a few large industries 509
a few large integrated 172
a few large investment 186
a few large landowners 1250
a few large monopolies 43
a few large newspapers 93
a few large plantations 385
a few large populations 48
a few large principles 77
a few large processors 64
a few large properties 114
a few large publishers 70
a few large purchasers 77
a few large reservoirs 100
a few large snowflakes 79
a few large structures 139
a few large undertakings 74
a few large vertically 122
a few large warehouses 58
a few later references 116
a few legal principles 84
a few light industries 394
a few light skirmishes 270
a few lines attributed 40
a few lines expressive 236
a few lines immediately 74
a few lines recommending 48
a few lines translated 98
a few local associations 116
a few local authorities 903
a few local businesses 160
a few local committees 70
a few local government 194
a few local industries 251
a few local landowners 46
a few local newspapers 175
a few local politicians 236
a few local populations 63
a few local references 59
a few local skirmishes 65
a few local specialties 105
a few local volunteers 48
a few loose cartridges 50
a few loose cigarettes 51
a few loose sovereigns 75
a few loyal supporters 308
a few lymph corpuscles 46
a few major activities 76
a few major advantages 44
a few major assumptions 44
a few major attractions 43
a few major categories 966
a few major characters 161
a few major components 196
a few major conclusions 96
a few major currencies 143
a few major historical 63
a few major industries 565
a few major initiatives 47
a few major innovations 73
a few major newspapers 192
a few major objectives 138
a few major periodicals 67
a few major principles 170
a few major publishers 59
a few major strategies 225
a few major structural 46
a few meager possessions 147
a few menial occupations 55
a few miles difference 50
a few miles immediately 57
a few minor activities 91
a few minor adaptations 220
a few minor advantages 108
a few minor adventures 74
a few minor agreements 53
a few minor alterations 3251
a few minor amendments 1529
a few minor annoyances 50
a few minor casualties 235
a few minor categories 126
a few minor ceremonies 59
a few minor characters 528
a few minor complaints 203
a few minor components 78
a few minor concessions 1198
a few minor corrections 1757
a few minor criticisms 203
a few minor departures 99
a few minor emendations 166
a few minor encounters 114
a few minor engagements 281
a few minor expeditions 44
a few minor government 77
a few minor grievances 42
a few minor historical 44
a few minor industries 239
a few minor infractions 104
a few minor innovations 80
a few minor irritations 69
a few minor lacerations 58
a few minor limitations 147
a few minor mechanical 69
a few minor personages 55
a few minor precautions 43
a few minor privileges 100
a few minor procedural 45
a few minor references 140
a few minor regulations 71
a few minor shortcomings 80
a few minor skirmishes 1090
a few minor structural 81
a few minor structures 42
a few minor suggestions 443
a few minor territorial 44
a few model parameters 201
a few months antecedent 40
a few months beforehand 569
a few months completely 219
a few months difference 100
a few months disappeared 44
a few months discovered 96
a few months employment 87
a few months experience 253
a few months immediately 195
a few months instruction 47
a few months intervened 153
a few months membership 47
a few months postpartum 125
a few months preparation 44
a few months recuperating 41
a few months retirement 42
a few months subsequent 700
a few months sufficient 66
a few months terminated 75
a few moral obligations 41
a few moral platitudes 53
a few moral principles 158
a few moral reflections 287
a few naval engagements 51
a few negro politicians 44
a few newly discovered 99
a few noble characters 60
a few noisy pretenders 86
a few older informants 53
a few older professors 44
a few opening paragraphs 173
a few order parameters 109
a few others apparently 62
a few others approached 68
a few others considered 59
a few others constitute 116
a few others determined 54
a few others eventually 48
a few others immediately 50
a few others interested 228
a few others maintained 90
a few others recognized 128
a few others representing 132
a few others understood 64
a few pages carelessly 45
a few parting injunctions 101
a few passing references 1381
a few passing reflections 99
a few people apparently 91
a few people approached 67
a few people complained 86
a few people considered 88
a few people controlled 67
a few people experience 287
a few people immediately 46
a few people interested 729
a few people recognized 228
a few people remembered 189
a few people understand 318
a few people understood 300
a few petty skirmishes 57
a few plain elementary 62
a few plain principles 364
a few plain statements 146
a few plain suggestions 64
a few press interviews 61
a few quick keystrokes 152
a few quick suggestions 40
a few quite elementary 58
a few quite exceptional 98
a few rapid discharges 41
a few rather elementary 55
a few rather exceptional 73
a few rather remarkable 52
a few rather specialized 134
a few rather superficial 59
a few really understand 50
a few roman trumpeters 48
a few rough guidelines 50
a few sayings attributed 40
a few scant references 86
a few score autographs 45
a few score generations 128
