act might cause physical 156
act right after breakfast 44
act under legal authority 112
act under state authority 68
act which could possibly 438
act which makes possible 119
act which might directly 389
act which might displease 41
act which might lawfully 71
act which might otherwise 167
act which would authorize 80
act which would disclose 80
act which would indicate 170
act which would normally 184
act which would otherwise 5824
act which would probably 188
act which would prohibit 274
add after first sentence 425
age below which children 681
age below which parental 75
age group which includes 105
age group would probably 80
age under social security 1142
age under which children 122
age which still believed 51
air force staff officers 92
air force units stationed 101
air force would probably 98
air power could dominate 94
air power would dominate 98
air since first extended 40
air space which prevents 47
air under light pressure 80
air water vapor pressure 125
air which might otherwise 227
air which seems essential 98
air which water contains 69
air which would otherwise 864
all about found desolate 87
all about george washington 71
all about power politics 80
all about queen elizabeth 45
all about raising children 45
all about solving problems 95
all acids yield hydrogen 42
all action taken pursuant 56
all adult males resident 46
all alive again directly 112
all angles lines converging 45
all basic nursing education 48
all basic nursing programs 63
all blood group antigens 44
all brave tried soldiers 45
all cases lands valuable 162
all cases under treatment 83
all cases where absolute 41
all cases where accuracy 150
all cases where adequate 58
all cases where chemical 48
all cases where children 228
all cases where complete 62
all cases where disputes 94
all cases where evidence 146
all cases where hydrogen 40
all cases where immediate 63
all cases where insanity 50
all cases where interest 133
all cases where judgment 194
all cases where justices 47
all cases where liability 48
all cases where licenses 61
all cases where multiple 49
all cases where officers 44
all cases where original 85
all cases where patients 108
all cases where payments 41
all cases where personal 231
all cases where physical 116
all cases where positive 97
all cases where possible 1233
all cases where problems 47
all cases where property 388
all cases where purchase 127
all cases where questions 103
all cases where required 42
all cases where security 58
all cases where services 57
all cases where specific 104
all cases where students 44
all cases where suspicion 63
all cases where symptoms 45
all cases where treatment 62
all cases where trustees 56
all cases which involved 191
all cases which resemble 284
all cases would probably 84
all change which involves 45
all civil cases consider 135
all civil suits concerning 51
all costs arising therefrom 280
all crime index offenses 50
all earthly feeling requires 74
all eighth grade students 123
all evening until midnight 43
all evils would disappear 84
all extra costs incurred 54
all faces gather paleness 90
all facts about problems 126
all field grade officers 147
all fifty state capitals 91
all files whose extension 116
all final goods produced 302
all first births occurred 45
all first grade children 261
all first grade students 52
all fixed asset accounts 101
all fixed asset additions 51
all fourth grade students 46
all gases under ordinary 56
all gases under standard 41
all girls under eighteen 44
all haste moved forwards 55
all housing units occupied 58
all human action involves 89
all human action whatever 124
all human hopes dissolve 44
all human social activity 144
all human social elevation 186
all human social relations 154
all hurry seems destined 81
all irish roman catholics 63
all kinds weaken external 79
all kinds which actually 59
all kinds which assailed 44
all kinds which followed 69
all kinds which resulted 46
all kinds would probably 80
all known facts concerning 139
all known human cultures 261
all known human languages 189
all known lodes situated 52
all known truths concerning 55
all labor costs incurred 41
all labor force entrants 87
all lands shall exercise 88
all legal costs incurred 187
all lines drawn parallel 114
all looking rather suburban 135
all lower blood pressure 140
all lower court decisions 144
all major indian languages 228
all major latin american 435
all major league baseball 724
all major league pitchers 119
all major social problems 636
all major stock exchanges 240
all major trading partners 184
all major world languages 53
all major world problems 47
all major world religions 1041
all males under eighteen 44
all manly pride forsaken 49
all minor civil divisions 127
all named after somebody 49
all newly mined domestic 92
all night digging trenches 45
all night fleet achilles 48
all night until daylight 119
all order would disappear 88
all others which achieves 49
all others which preceded 46
all others which requires 75
all others which resemble 44
all others whose business 42
all others whose interest 47
all others whose presence 43
all others whose services 42
all parts might challenge 100
all parts which preserve 276
all people hurry homeward 174
all people under eighteen 43
all prove false prophecy 46
all right about yourself 50
all right again directly 40
all right again tomorrow 46
all right letting yourself 60
all right thinking citizens 98
all right under ordinary 52
all right until somebody 43
all right until tomorrow 66
all right while pretending 47
all rules which directly 136
all rules which regulate 84
all senior civil servants 381
all senior naval officers 47
all shook hands solemnly 64
all sides yield examples 71
all smoke arising therefrom 200
all social action involves 130
all solid waste disposal 107
all solid waste materials 43
all state court decisions 124
all state debts incurred 52
all terms which describe 107
all times fully conscious 40
all times fully informed 176
all times fully prepared 115
all times rather disposed 53
all times since december 148
all times under complete 42
all times while conducting 43
all times while performing 66
all title which thereupon 64
all total solar eclipses 49
all under white auspices 51
all until quite recently 56
all water flows downward 44
all which comes directly 46
all which could possibly 58
all which could properly 46
all which daily improves 45
all which really embodies 70
all which would otherwise 102
all white flour products 502
all white house functions 60
all white house staffers 47
all within driving distance 122
all within hailing distance 94
all within speaking distance 53
all within walking distance 6389
all wives whose husbands 71
all women after delivery 55
all women seeking abortions 143
all women whose husbands 289
all words which describe 87
all words which occurred 52
all working class children 80
all working class families 76
all works which describe 177
and abate water pollution 64
and abating water pollution 68
and abiding human interest 50
and about black children 54
and about eight children 64
and about fifty children 113
and about fifty europeans 40
and about fifty families 91
and about fifty horsemen 78
and about fifty officers 88
and about fifty soldiers 193
and about fifty students 123
and about forty children 71
and about forty families 68
and about forty horsemen 70
and about forty officers 57
and about forty privates 213
and about forty soldiers 112
and about forty students 86
and about human relations 69
and about latin american 72
and about sixty children 63
and about sixty families 56
and about sixty privates 53
and about sixty soldiers 188
and about social problems 176
and about social relations 158
and about thirty articles 48
and about thirty canadians 74
and about thirty children 114
and about thirty churches 41
and about thirty families 115
and about thirty frigates 103
and about thirty noblemen 156
and about thirty officers 116
and about thirty privates 49
and about thirty regulars 66
and about thirty servants 56
and about thirty soldiers 175
and about thirty students 92
and about which curiosity 137
and about which decisions 80
and about which everyone 172
and about which goldsmith 87
and about which questions 214
and about which students 65
and about which therefore 159
and about whose probable 47
and about whose situation 83
and above party politics 408
and above plant canopies 309
and above sixty captured 44
and above social comforts 62
and above social security 332
and above working expenses 107
and abuse within families 75
and acted quite contrary 42
and acted quite otherwise 119
and action items assigned 55
and action plans designed 50
and action plans prepared 44
and action shall indicate 214
and action which involves 42
and action which resulted 56
and actor working wherever 286
and acute brain syndrome 165
and acute chest syndrome 296
and acute class struggle 111
and acute fetal distress 55
and acute gouty arthritis 565
and acute graft rejection 61
and acute housing shortage 54
and acute lobar pneumonia 96
and acute phase proteins 1478
and acute phase reactants 881
and acute phase response 273
and acute renal shutdown 45
and acute social distress 43
and acute social problems 134
and adams still continue 49
and added strong evidence 45
and added value services 73
and adopt every possible 86
and adult basic education 2173
and adult blood pressure 518
and adult human subjects 50
and after about eighteen 142
and after about fourteen 67
and after armed conflict 121
and after bidding farewell 249
and after bowel movement 44
and after brief surprise 77
and after burning fiercely 51
and after calling attention 146
and after close scrutiny 83
and after drawing attention 44
and after every exercise 148
and after every iteration 92
and after every movement 44
and after every operation 119
and after every possible 126
and after every practice 71
and after every sentence 96
and after every treatment 68
and after final judgment 232
and after fully discussing 48
and after fully explaining 51
and after laser treatment 220
and after light exposure 88
and after looking anxiously 42
and after looking earnestly 131
and after looking intently 68
and after major surgical 108
and after noise exposure 59
and after prime minister 86
and after queen elizabeth 84
and after reaching maturity 132
and after running parallel 70
and after sales services 281
and after seeking anxiously 68
and after shock treatment 54
and after sobbing piteously 42
and after social security 98
and after tumor resection 103
and after varying fortunes 121
and after water immersion 144
and after wedge resection 91
and after which security 46
and after which transfer 146
and after whose likeness 112
and again about midnight 50
and again after breakfast 63
and again after completing 88
and again after delivery 80
and again after exposure 50
and again after fourteen 45
and again after midnight 84
and again after treatment 339
and again after waterloo 100
and again bidding farewell 46
and again calling attention 40
and again calls attention 96
and again catch glimpses 68
and again china demanded 59
and again drawn attention 88
and again draws attention 69
and again found evidence 58
and again prime minister 74
and again quite recently 500
and again spoke earnestly 93
and again taken prisoner 111
and again under elizabeth 123
and again under pressure 190
and again until everyone 99
and again until suddenly 50
and agree right cordially 57
and alarm which followed 57
and alarm which pervaded 148
and alarm which preceded 103
and alien class elements 90
and alloy steel products 137
and alone could exercise 158
and alone makes possible 85
and alter table commands 166
and amass large fortunes 112
and amend basic statutes 59
and amino acids absorbed 67
and amino acids containing 77
and amino acids essential 85
and amino acids increased 44
and amino acids involved 54
and amino acids produced 133
and amino acids proteins 113
and amino acids required 105
and amity shall continue 226
and ample legal authority 44
and ample water supplies 247
and angels blowing trumpets 93
and angles change slightly 139
and ankle blood pressure 189
and ankle bones received 561
and anything seems possible 150
and anything which affected 40
and anything which disturbs 109
and anything which happened 78
and anything which increases 157
and anything which prevents 90
and anything which produces 40
and anything which promotes 42
and anything which threatened 48
and apathy about politics 116
and appear rather overcome 40
and apply basic concepts 291
and apply light pressure 1310
and apply local pressure 272
and apply newly acquired 61
and apply steady pressure 220
and apply strong pressure 112
and argon laser treatment 71
and argue about politics 330
and arguing about politics 372
and armed huron advanced 130
and armed power prepared 45
and asked about possible 56
and asked fewer questions 157
and asked prime minister 103
and asked probing questions 238
and asked quite casually 46
and asked quite seriously 55
and asked silly questions 116
and asked tough questions 72
and asked where everyone 66
and asset price deflation 44
and asset price inflation 177
and asset pricing relations 47
and avoid armed conflict 44
and avoid calling attention 84
and avoid dairy products 156
and avoid drawing attention 106
and avoid every possible 72
and avoid foods containing 74
and avoid getting entangled 84
and avoid getting involved 214
and avoid legal problems 79
and avoid looking directly 67
and avoid putting pressure 96
and avoid social contacts 112
and avoid social isolation 100
and avoid undue pressure 106
and awful change threatened 48
and baggy black trousers 143
and baggy brown trousers 46
and baggy white trousers 123
and baked goods containing 40
and baked goods entirely 45
and baked under pressure 43
and basal blood pressure 63
and basal ganglia circuits 74
and basal ganglia infarcts 51
and basal skull fracture 176
and basic adult education 156
and basic cable channels 68
and basic cable networks 52
and basic cooking utensils 43
and basic human equality 58
and basic human freedoms 101
and basic human problems 44
and basic human services 74
and basic metal industry 48
and basic metal products 273
and basic needs oriented 57
and basic needs provision 419
and basic search commands 44
and basic social problems 80
and basic social security 172
and basic social services 1946
and basic steel products 312
and basic urban services 308
and bearding every authority 149
and beards which required 49
and beasts whose progress 47
and beauty could properly 47
and beauty salon services 54
and beauty which consists 61
and beauty which pervades 72
and beauty which surround 123
and began barking furiously 180
and began cooking breakfast 45
and began digging furiously 152
and began digging trenches 100
and began drawing pictures 103
and began holding services 137
and began legal practice 84
and began looking anxiously 40
and began looking intently 60
and began praying silently 42
and began pumping furiously 45
and began putting pressure 166
and began raising families 120
and began running alongside 44
and began running straight 101
and began seizing american 70
and began selling directly 44
and began shaking violently 51
and began sobbing bitterly 52
and began speaking directly 42
and began speaking earnestly 63
and began talking earnestly 181
and began telling everyone 74
and began thinking seriously 77
and began throwing grenades 82
and began throwing handfuls 53
and began tossing grenades 43
and began tracing patterns 57
and began treating patients 72
and began walking alongside 189
and began walking backward 160
and began walking barefoot 45
and began walking directly 42
and began walking downhill 43
