abs tight and your 186
act after they have 277
act alike and think 85
act alone but must 53
act alone can call 95
act costs him cash 84
act could bear hard 48
act could not fail 154
act could not give 40
act could not have 2559
act could not help 84
act could not make 93
act could not pass 68
act could not take 134
act either for good 206
act every day upon 43
act first and only 51
act first and seek 168
act first and talk 125
act first and think 3263
act might bring down 136
act might not have 212
act nobly and seek 158
act older than their 186
act plays and full 83
act plays and three 119
act plays for young 61
act plays had been 165
act plays that have 134
act plays that were 307
act rather than from 221
act rather than just 412
act rather than react 1675
act rather than some 137
act rather than speak 123
act rather than talk 648
act rather than think 307
act rather than upon 143
act rather than wait 201
act rather than what 127
act rather than word 172
act saved his life 87
act shall not come 101
act shall not give 47
act shall not have 616
act shall not take 1329
act shall not void 201
act shows that there 53
act since that time 94
act since they were 111
act takes its rise 49
act under any other 534
act under any such 350
act under his hand 100
act under his will 45
act under one name 41
act under that name 102
act under this bill 222
act under this rule 259
act until they have 558
act until they were 358
act until too late 111
act until you have 287
act until you know 117
act until you think 63
act where and when 106
act where they have 114
act where they were 44
act where you have 129
act which can give 117
act which can have 160
act which can only 1087
act which had been 5926
act which had cost 116
act which had ever 113
act which had just 176
act which had made 234
act which had nothing 121
act which has been 8716
act which has come 107
act which has done 96
act which has ever 108
act which has just 163
act which has left 90
act which has made 164
act which has nothing 85
act which his duty 184
act which may bind 65
act which may give 117
act which may have 1366
act which may seem 44
act which may tend 1028
act which may well 179
act which not only 1132
act which our eyes 67
act which our lord 54
act which set forth 71
act which she knew 136
act which she there 76
act which that body 84
act which that other 80
act which they felt 81
act which they have 731
act which they knew 45
act which they know 58
act which they must 49
act which they think 142
act which they were 849
act which thou hast 82
act which was also 159
act which was done 762
act which was held 97
act which was made 281
act which was meant 62
act which was more 320
act which was most 69
act which was much 46
act which was once 41
act which was only 231
act which was part 132
act which was said 85
act which was seen 57
act which was soon 48
act which was there 115
act which was used 55
act which was very 74
act which was wrong 95
act which you call 53
act which you have 881
act which you know 49
act which you were 69
