about acquaintance rape and 57
about communication theory and 61
about considerably more than 122
about contemporary life and 268
about contemporary life that 107
about contraception once was 41
about heterosexual love and 58
about insufficient time for 50
about international peace and 632
about macroeconomic theory and 69
about relationships among them 66
about relationships more than 47
about relationships other than 45
about reproductive health and 317
about supernatural beings and 162
about supernatural beings who 45
about unconditional love and 444
above apprehensions from any 150
above experimental data and 132
above illustrations show how 66
above illustrations show that 312
above relationships hold for 48
above relationships show that 122
above requirements have not 153
above requirements were met 74
above requirements will not 56
action sufficiently free you 71
acute intelligence into her 121
added considerably more than 40
added hydrochloric acid and 89
added significance from its 42
added significance when one 1062
added significance when read 50
added significance when they 314
added significance when you 131
adult heterosexual love and 85
adult intelligence test that 46
after accomplished their long 59
after considerable care and 62
after considerable pain and 44
after considerable time and 632
after considerable time had 326
after considerable time has 526
after considerable time that 51
after considerable time was 50
after considerable trial and 373
after considerable urging and 45
after considerable work and 52
after considerable work had 92
after considerable work has 77
after considerable work with 62
after considerably more than 179
after contaminated food has 41
after incorporation into dna 136
after independence have not 60
after independence india was 40
after independence meant that 143
after independence more than 43
after independence there has 138
after independence there was 640
after independence were not 120
after independence when they 71
after introspection during all 50
after participants have had 78
after resuscitation from out 478
after successfully coping with 41
after successfully dealing with 67
again acknowledged what has 91
again considerably less than 62
again consolidated into one 68
again reciprocally free each 45
agree exceptionally well with 59
agree particularly well with 365
agree sufficiently well with 531
allow considerable room for 311
allow considerable time for 140
allow insufficient time for 234
amass considerable wealth and 82
amply demonstrated during his 49
amply demonstrated time and 52
angles considerably less than 85
anything particularly wrong with 507
anything specifically wrong with 141
appear considerably less than 50
appear contemptible when they 48
appear sufficiently clear and 67
appear sufficiently from that 64
arise incidentally from our 102
arise spontaneously from any 41
arise spontaneously from dead 68
arise spontaneously from non 153
arose spontaneously from his 56
arose spontaneously from non 127
aside considerable sums for 48
aside preconceived ideas and 115
asked participants what they 98
asked specifically what they 120
augur particularly well for 115
author incorporates into his 42
avoid contaminated food and 56
avoid contamination from one 42
awake coquettishly upon his 61
