ace fighter pilot in 87
act adopted under the 332
act against either the 161
act against threats to 131
act against which he 132
act against which it 83
act against which the 642
act between pairs of 143
act brought about by 560
act brought about the 418
act curtain rises on 105
act exactly after the 102
act imposed shall be 99
act largely under the 101
act locally within the 361
act modeled after the 106
act morally right or 266
act occurring after the 187
act occurring within the 72
act quickly after the 52
act quickly based on 47
act quickly while the 180
act remains within the 155
act several times in 207
act shortly after the 46
act stopped short of 43
act together after the 66
act together under the 804
act together until the 142
act together within the 176
act towards others as 868
act towards others in 354
act towards which it 41
act towards which the 289
act wherein alone it 57
add aesthetic appeal to 49
add aesthetic value to 50
add alcohol until the 44
add bromine water to 55
add certain items to 60
add certain kinds of 80
add certain types of 84
add certain words to 93
add chicken stock to 90
add details about the 552
add express words of 88
add fifteen drops of 65
add freight equal to 248
add gaussian noise to 52
add immense value to 79
add maximum value to 80
add program icons to 88
add remaining flour to 102
add several coats of 48
add several drops of 4703
add several hours to 122
add several items to 160
add several kinds of 118
add several lines of 78
add several lines to 46
add several miles to 42
add several months to 62
add several names to 85
add several others to 52
add several pages to 66
add several types of 106
add several weeks to 111
add sterile water to 148
add storage space to 45
add stronger bolts to 68
add tangible value to 53
add tenfold agony to 48
add vibrant color to 45
add weights until the 160
ads portray women as 44
ads usually appear in 46
ads usually focus on 40
age against which he 42
age against which the 57
age benefit shall be 160
age benefit under the 65
age benefit would be 82
age bracket would be 120
age brought about by 207
age brought about the 169
age chiefly known to 53
age classes based on 231
age classes could be 125
age classes within the 271
age classes would be 350
age cohorts within the 135
age effects could be 55
age effects found in 90
age effects would be 184
age groupings within the 122
age infants begin to 197
age married wives of 43
age matched group of 42
age pensions after the 44
age pensions based on 117
age pensions began in 45
age pensions began to 50
age pensions begin at 47
age pensions could be 452
age pensions might be 61
age pensions shall be 350
age pensions under the 570
age pensions would be 1252
age related change in 243
age shortly after the 68
age usually makes the 90
aging brought about by 44
aging process could be 370
aging process might be 181
aging process seems to 376
aging process tends to 151
