raillery has made too great 102
raincoat and went out into 104
rainfall was less than half 130
ransacking his mind for some 98
rapidity and make off into 42
rashness they have not only 174
rationale for what they were 88
ravished her from our eyes 53
readiness for diana and mary 66
readiness that made her work 72
realities being what they were 48
realities for what they were 41
realities our ideas can only 116
realities that have not been 45
reappoint him when his term 41
reassured her over and over 52
reassured him over and over 41
reassured that there was nothing 291
rebellion and were put down 51
rebellion and will not hold 250
rebellion had been put down 2533
rebellion has been put down 354
rebellion lay down its arms 90
rebellion that bears his name 44
rebellion they were not able 60
rebellion was only put down 51
rebellion was soon put down 420
recalled him from his post 115
recalled that during his stay 40
recalled that during his time 58
recalled that during his years 43
recalled that during his youth 72
recalled that during this time 72
recalled that more than half 48
recalled that more than once 121
recalled that there are four 65
recalled that there are many 84
recalled that there are other 43
recalled that there are some 46
recalled that there are three 127
recalled that there had been 1595
recalled that there has been 96
recalled that there was also 51
recalled that there was much 103
recalled that there was nothing 49
recalled that there was only 126
recalled that there was some 132
recalled that when she came 54
recalled that when she left 41
recalled that when she went 51
recalled that when they were 230
receipts for what they took 41
receipts that have not been 53
received all these things from 89
received all those who came 67
received all those who were 40
received and have read your 47
received and heard and seen 875
received and paid out during 124
received and those who have 40
received and what has been 74
received any other than those 67
received both bread and wine 52
received both good and evil 123
received but those who bore 44
received far less than their 119
received far more than their 107
received for more than three 44
received for their own sake 51
received for what they have 121
received had there not been 43
received her into his arms 90
received her into his home 66
received her when she came 85
received him into her arms 56
received him into her home 40
received him into his arms 204
received him into his army 70
received him into his home 89
received him there with great 56
received him there with such 73
received him well and gave 74
received him well and sent 44
received his word and were 41
received its name not from 51
received not less than half 102
received not less than three 88
received not more than three 88
received one from you well 40
received that peace had been 66
received that same day from 41
received that there had been 142
received that those who come 226
received that those who made 100
received that very day from 52
received that very day your 41
received them from any other 47
received them from his hand 44
received them well and gave 120
received them when they came 77
received them when they were 92
received this news with great 164
received this news with loud 66
received this news with some 48
received two days ago from 181
received two days ago your 124
received two years ago from 52
received was less than half 87
received with less and less 88
