ran over its vocabulary with 71
ran their own businesses and 65
ran their own candidates for 92
ran wild with revivalism and 40
ray data are consistent with 42
read from his manuscript and 40
read much and considered long 51
read nothing but newspapers and 146
read nothing but psychology and 49
read only with difficulty and 60
read taft and eisenhower and 50
read their own newspapers and 51
red tape and bureaucracy and 75
red tape and bureaucracy that 149
run their own businesses and 337
run their own businesses are 79
run their own businesses with 46
run their own candidates for 452
run their own government and 56
