raids were 130 raise from 40
raise your 43 ranges from 52
rapid upon 44 rated rank 61
rates were 49 rates were 51
rates loss 47 rates upon 76
rates were 92 rates have 40
rates were 67 rather ocean 85
rather rise 118 rather into 61
rather into 77 rather their 77
rather from 79 rather loss 359
rather into 70 rather upon 100
ratios gave 163 reaching upon 286
reaching form 46 reaching were 46
reader what 798 reader will 92
reader will 48 reader will 352
reader into 162 reader what 126
reader from 47 really over 54
really great 148 really land 46
really over 59 reaped from 45
reaped from 166 reaped from 45
reaped from 94 reaped from 74
reason into 74 reason made 272
reason such 55 reason from 136
reason over 67 reason will 100
reason from 86 reason from 72
reason upon 126 reason also 55
reason size 51 reason stir 54
reason acts 60 reason will 41
reason airs 97 reason from 53
reason what 42 reason well 71
reason good 54 refer only 215
refer from 126 refer made 122
refer laws 67 refer when 44
refer only 129 refer when 159
region into 46 region wealth 91
region wealth 45 region flux 43
region during 50 region from 99
region were 74 region from 56
region were 43 region land 46
reign years 101 reign years 47
reign years 45 reign viii 44
reign xiii 123 reign years 51
remit upon 60 remit part 41
repeat those 72 repeat over 131
repeat over 46 repeat over 66
repeat over 120 repeat over 102
repeat over 84 repeat once 42
repeat over 120 repeat when 42
repeat over 254 repeat over 71
repeat what 52 reply made 72
reply from 73 reply from 79
reply made 192 resin soil 48
rests into 61 ridge from 82
ridge from 47 rifle from 53
rifting from 57 right years 195
right into 130 right along 78
right over 300 right over 49
right over 186 right from 89
right what 205 right years 52
right upon 219 right lobe 71
right duct 305 right here 422
right when 119 right there 44
right upon 150 right upon 205
right over 42 right ideas 42
right such 50 right upon 178
right from 146 right from 251
right care 836 right over 165
right airs 46 right airs 48
right care 174 right over 1356
right over 173 right from 143
right done 89 right from 46
right from 48 right from 188
right there 99 right what 1312
right from 113 right into 255
right upon 338 right heard 165
right upon 44 right fast 105
right their 153 right from 130
right from 130 right from 448
right here 66 right from 158
right care 95 right from 126
right from 510 right from 48
right into 149 right into 125
right mail 47 right over 177
right over 107 right from 146
right into 294 right into 348
right away 53 right land 113
right acid 45 right ideas 45
right else 43 right ideas 48
right away 260 right their 44
right their 92 right upon 138
rigor fate 48 risen rome 44
risen their 219 risen these 105
risen during 46 risks making 40
risks over 45 risks from 64
rites were 113 rites were 175
rival those 44 river into 145
river down 82 river blow 41
rocks have 93 rocks date 44
rolls tape 54 roofs were 95
roofs were 128 roofs there 105
rooms from 49 roost thorn 197
roots from 41 roses cave 184
round upon 43 round like 40
round door 44 round from 45
round many 161 round face 45
round face 121 route from 54
ruins city 589 ruins town 40
ruins city 41 ruins city 67
ruled ages 61 rules form 100
rules were 57 rules laid 142
rules from 125 rules from 220
running tape 61 running beds 47
