raft safe landed in a 89
range from eighty to a 40
range from normal to a 85
range will result in a 383
ranging from eighty to a 47
ranging from ninety to a 42
ranging from twenty to a 88
rank taking notice of a 49
rare book section of a 95
rare book serves as a 51
rate their feelings on a 74
rate there should be a 63
rate will depend on a 70
rate will remain at a 50
rate will result in a 1088
ratio will result in a 308
rats were housed in a 124
rats were killed by a 102
rats were killed in a 41
rats were placed in a 903
rats were placed on a 410
rats were tested in a 194
rats were tested on a 80
reach their climax in a 185
reach their height in a 213
react more readily to a 41
reading there should be a 54
reading will result in a 129
rely more heavily on a 435
rely most heavily on a 57
rely very heavily on a 107
rest mass energy of a 314
rest till monday to a 42
rest took refuge in a 65
rest were engaged in a 55
rest were placed in a 64
rest will follow as a 501
rest will follow in a 48
rest will result in a 48
rest your elbows on a 86
ride into battle on a 76
ride into office on a 307
ride three horses at a 140
riding into battle on a 49
riding their horses at a 40
riots were caused by a 76
rise will result in a 158
rising into notice as a 90
risk their future on a 45
risk will result in a 231
road from london to a 90
road giving access to a 85
rock must behave as a 60
rode into battle on a 63
rode into london in a 72
rode into office on a 170
rode their horses at a 101
rode their horses to a 54
rods were placed in a 66
room also served as a 270
room also serves as a 226
room gave access to a 60
room there should be a 589
room will result in a 56
root file system of a 42
root file system on a 56
root will result in a 45
rose into notice as a 58
rosy lips parted in a 59
rule also serves as a 133
rule there should be a 196
rule were marked by a 321
rule will result in a 344
