rabbit and the guinea pig 657
rabble can be worse than 45
racism that is meted out 68
racket and my sword for 66
racket that he could not 46
radians out of phase with 546
radiant with the glory and 167
radiant with the light and 199
radiant with the light that 137
radiate and to which they 66
radioed that he could see 52
radius and the first row 45
radius and the lower end 77
raided was so amusing that 78
rained all the morning and 91
rained and he could not 50
rained and we could not 92
raised all the money and 70
raised all the money for 196
raised all the money that 105
raised all the money they 106
raised and in which they 76
raised and the right arm 41
raised for the ensuing year 192
raised for the first two 53
raised for the reason that 40
raised for the state and 42
raised her as though she 49
raised her up again and 46
raised him to power and 86
raised him to power was 46
raised off the floor and 213
raised that he could not 48
raised that the enemy was 71
raised them he cried out 110
raised them to heaven with 85
raised them to honor and 48
raised them to power and 70
raised was the claim that 43
raised with the notion that 512
raiser not to fence and 58
rambling way in which they 166
random way in which they 55
ransom that the happy pay 91
ransom that we could pay 49
rapids and the rocks with 47
rapped out an order and 58
rarely does it occur that 132
rarely has to grope for 60
rarely out of sight and 46
rarely out of touch with 54
rarely set in motion any 58
rationing was in force and 46
rations with the women and 40
rattle off the names and 146
ravine out of which they 79
reached for an apple and 82
reached for it again and 107
reached for my bible and 134
reached for my drink and 43
reached for my glass and 110
reached for my hands and 133
reached for my knife and 43
reached for my phone and 53
reached for my purse and 161
reached for the bible and 94
reached for the bible that 97
reached for the broom and 76
reached for the brush and 62
reached for the cards and 45
reached for the chain and 48
reached for the chair and 61
reached for the check and 150
reached for the child and 96
reached for the cigar box 57
reached for the clock and 51
reached for the diaper bag 57
reached for the dress and 46
reached for the empty gun 73
reached for the first one 59
reached for the flask and 92
reached for the glass and 423
reached for the glass she 58
reached for the glass that 61
reached for the glass with 92
reached for the glove box 64
reached for the knife and 233
reached for the knife that 127
reached for the latch and 170
reached for the leather bag 50
reached for the legal pad 44
reached for the lever that 195
reached for the light and 196
reached for the money and 107
reached for the mouse and 103
reached for the paper and 505
reached for the paper bag 115
reached for the paper cup 53
reached for the paper that 49
reached for the paper with 73
reached for the phone and 6873
reached for the phone but 313
reached for the phone she 49
reached for the phone that 312
reached for the phone then 50
reached for the phone with 265
reached for the photo and 61
reached for the plate and 75
reached for the poker and 138
reached for the pouch and 43
