ran across bare hills on 43
ran around three sides of 949
ran through their ranks as 41
rat dorsal root ganglia in 100
raw scores into units of 41
ray passes from water to 43
ray record only tells us 281
read myself over again in 60
read through from cover to 492
read through from start to 156
read through many pages of 60
read through such books as 63
read through three times in 51
real battle took place in 54
real changes take place in 41
real changes taking place in 128
real estate even though the 93
real estate firm owned by 47
real estate from which he 54
real estate from which the 93
real estate once owned by 40
real estate over which the 76
real estate sold under the 91
real estate upon trust to 91
real estate upon which he 89
real estate upon which is 240
real estate upon which it 210
real estate upon which the 713
real estate upon which to 74
real estate were given to 44
real estate worth twice the 48
real events taking place in 88
real favors from nation to 991
real ground upon which the 231
real misery very often is 42
real motive from which we 42
real source from which he 75
real source from which the 113
real strength upon which the 43
real versus ideal views of 44
red allies from staying at 61
red winter wheat grown in 159
rings around their necks to 104
row houses were built in 52
rug pulled from under it 41
run almost from anything to 79
run around three sides of 337
