raised arms fell upon his 55
raised from among their own 42
raised have been dealt with 58
raised here many years ago 40
raised over their heads and 87
raised their heads when they 63
raised their ugly heads and 84
raises your heart rate and 159
raises your heart rate for 44
random from among those who 226
rarely have been more than 72
rarely went from home that 64
rarely were there more than 149
reached deep down into his 61
reached forth unto those things 50
reached once more into his 53
reached only when mind and 59
reached only when these two 43
reached salt lake city and 94
reached salt lake city that 99
reached salt lake city with 56
reached their full size and 182
reached their full size they 45
reached their goal when they 48
reached there lord edam was 44
reaches deep down like them 79
reaction have been used for 45
reaction must have been one 65
reaction rate will vary with 44
reaction will slow down and 47
readers come away from this 52
readers have been asking for 73
readers have been told that 56
readers have done more than 60
readers must draw their own 115
readers must form their own 118
readers must have been long 150
readers must have felt that 225
readers must make their own 112
readers must make what they 53
readers will also find that 190
readers will also find this 45
readers will also note that 173
readers will come away with 246
readers will draw their own 108
readers will find more than 50
readers will find much that 166
readers will find their own 123
readers will find their way 41
readers will form their own 205
readers will have seen that 237
readers will have some idea 77
readers will have their own 277
readers will know what they 70
readers will know what you 70
readers will make their own 150
readers will take from this 53
readily fall into line with 81
readily have made their way 65
readily learn what ideas they 40
readily seen from what has 127
readily took fire when they 41
reality means nothing more than 57
reality must have been far 44
reality there were only two 145
reality there were very few 44
reality were nothing more than 83
reasoning must have been that 96
reasoning take away from them 63
reasoning will also show that 49
reasoning will hold good for 53
reasoning will hold good with 48
reasons must have been that 88
reasons there have been few 50
reasons were very good why 43
reasons will soon give out 158
rebels fell away from them 59
rebels were coming into his 80
rebels were making their way 43
recall ever having heard her 49
recall ever having heard him 49
recall ever having made them 47
recall ever having seen any 103
recall ever having seen her 214
recall ever having seen him 429
recall ever having seen his 58
recall ever having seen one 186
recall ever having seen that 110
recall ever having seen them 67
recall ever having seen this 128
recall ever having seen you 70
recall having been told that 97
recall having ever seen him 49
recall having seen more than 46
recall having seen only one 52
recall when there were but 45
recent years among those who 69
recent years been more and 61
recent years been more than 51
recent years been used for 45
recent years have also had 56
recent years have been both 42
recent years have been due 442
recent years have been far 203
recent years have been for 183
recent years have been low 118
recent years have been put 43
recent years have been set 68
recent years have been too 65
recent years have been using 46
recent years have been with 52
recent years have dealt with 264
recent years have gone far 45
recent years have held that 193
recent years have made this 129
recent years have meant that 309
recent years have more than 54
recent years have seen both 47
recent years have seen new 43
recent years have seen this 61
recent years much more has 56
recent years much work has 534
recent years some work has 59
recent years their work has 43
recent years there also has 69
recent years there have not 97
recent years there were few 76
recent years when there has 90
recent years will show that 109
recite what your lord has 105
reckon what your life was 60
record must have been set 43
record will also show that 135
redeem their race from this 68
reduce your heart rate and 45
refusing your most wise and 69
regions also have their own 83
regions have been used for 70
regions will have their own 44
regret having done what was 40
relays were laid along his 54
release your mind from all 55
relics must have been far 52
relied more upon their own 101
relied upon much more than 134
relied upon when there are 64
relied very much upon his 43
relief from their pain and 149
relies very much upon his 41
remain away from home and 53
remain away from home for 440
remain away from work for 150
remain calm when dealing with 61
remain have been more than 49
remain some time among them 73
remain there come what may 113
remain there even unto this 48
remain there three days and 72
remain upon their feet with 41
remain very much what they 282
remark made many years ago 75
remark made upon reading this 111
remedy much like unto this 43
remote days there were few 41
remove even these were they 54
remove from their seats his 88
remove from your mind all 64
remove from your mind any 181
remove their hats when they 138
remove their shoes when they 160
remove your name from our 98
remove your shoes when you 64
render life worth living for 41
repair their shoes when they 45
repent from their sins and 189
report also made clear that 154
report even when there are 108
report made some years ago 43
repose made their third and 82
reside during their stay with 45
resign from their jobs and 84
resins have been used for 480
resins have been used with 86
rested from their toil and 75
rested their case upon this 40
rested upon feel sore and 54
rested upon nothing more than 60
result from acting upon them 177
result from hard work and 143
result from having more than 46
result from nothing more than 580
result from taking away this 82
result must have been due 121
result must have been one 44
result must have been that 562
result there came into being 211
result there have been few 95
result there were very few 87
result will also hold for 73
result will look like this 200
resume their seats among them 86
retain some hold upon him 174
retain their early youth and 48
retain their good will and 68
retain their hold upon our 41
retain their side arms and 353
retire from their jobs and 75
retire from work when they 45
retire from your look and 44
retiring down lake erie with 54
return from their evil way 139
return from their work you 55
return have been more than 43
return home from work and 331
return home from work one 46
return once more from his 199
return only those rows that 107
return when these years are 63
review what went well and 49
review what went wrong and 41
reward will come from god 52
reward will come when you 45
riches have sold more men 336
riches must grow from day 54
rifles over their heads and 66
rights have been dealt with 87
rights have been sold for 57
rights over their land and 197
rights were done away with 46
rights were nothing more than 61
rights were worth more than 46
ringlets fell down upon her 90
ripped from their hinges and 47
risked losing their jobs and 53
rivers have been used for 134
rivers rend their rude and 111
rivers send their rude and 41
rivers take their rise and 67
rivers were also used for 42
rivers were free from ice 45
roared down snow hill and 151
roared over their heads and 45
robots have been used for 78
rolled back over onto his 65
rolled back upon their own 61
rolled over away from her 43
rolled over away from him 69
rolled over once more and 67
rolled their eyes when they 82
roused from their beds and 187
roused from their lair with 69
routed from their beds and 54
routes have been laid out 93
routes have been used for 89
rowers used their oars with 118
rubbed their eyes when they 124
rubber have been used for 57
rubber tube three feet long 47
rulers have great wealth and 67
rulers step over those who 315
rumors were flying thick and 115
rupees only four years ago 47
rushed forth anew from his 66
rushed from their seats and 60
rushed home from work and 53
rushes into your room with 41
