rabbits infected 48 rabbits injected 97
radiation detected 97 radiation absorbed 145
radical expected 44 railway operation 68
rapidly accuracy 94 rapidly precision 123
rapidly distress 102 rapidly category 85
rapidly industry 44 rapidly expected 623
rapidly foreseen 69 rapidly possible 85
rapidly possible 43 rapidly reported 75
reactions occurred 80 realized practice 93
realized daydreaming 41 realized deceived 60
realized mistaken 44 realized actually 445
realized destined 61 realized destroying 56
realized discussing 108 realized entirely 41
realized expected 128 realized helpless 57
realized involved 102 realized mistaken 45
realized performing 45 realized pregnant 52
realized probably 323 realized supposed 44
realized threatened 86 realized unlikely 88
realized witnessing 225 realized betrayed 105
realized deceived 124 reasoned wrongdoers 45
reasoned probably 41 rebuked severity 49
rebuked asperity 86 rebuked unbelief 221
receive kindness 102 receive services 411
receive interest 44 receive mountain 50
receive probably 87 receive governor 42
receiving illinois 49 receiving attention 40
receiving civility 94 receiving molasses 52
receiving services 109 recording licensed 200
records purposes 49 records complete 420
records complete 57 reduced disappear 103
reduced families 44 reflect hazarded 111
reflect probably 49 reforms complete 66
reforms practice 45 reforms achieved 106
reforms demanded 69 reforms effected 62
reforms initiated 154 reforms promised 168
reforms proposed 119 refused followed 59
regarding surprise 46 regards interest 51
regards friendly 40 regimes socratic 57
regular services 60 rehearse whatever 45
rejecting suggests 87 rejoice returned 51
rejoice recovering 43 related families 88
relates mutually 76 relation disposed 45
relation observed 53 relation observed 68
relieve families 52 religion religions 139
religion subjects 46 religion exercise 72
religion positive 46 religion sweetest 191
religion powerful 118 remains numerous 41
remains attacked 43 remains deprived 55
remarking business 48 reminding contract 47
remorse misdeeds 75 removal complete 52
removed replaced 47 removed inserted 223
repairs expenses 48 repairs effected 252
repeated military 90 replace military 67
replace accurate 175 replace adaptive 272
replace adequate 44 replace positive 359
replace realistic 326 replace specific 62
replace suitable 60 replacing accurate 87
replacing adaptive 122 replacing positive 160
replacing realistic 140 replied directed 44
replied discussing 44 replied entirely 64
replied harmless 66 replied ignorant 51
replied illinois 47 replied mistaken 43
replied prepared 241 replied probably 75
replied resolved 53 replied whenever 73
replies received 47 replies received 42
reports received 96 reports prepared 287
reports received 253 reports received 124
reports received 43 reports concerning 41
reports received 85 reprove audacious 65
request complied 119 request foreseen 112
request complied 148 request received 101
request acquaint 318 request authorize 214
request consider 359 request continue 330
request contrive 134 request instruct 218
request intimate 118 request transmit 338
request received 83 require subjects 85
requiring subjects 85 requiring subjects 101
research purposes 43 research included 146
research involved 145 research possible 168
research required 47 research suggests 47
research continue 43 research confined 72
research designed 114 research directed 126
research entirely 155 research extended 65
research forthcoming 53 research possible 45
research reported 82 research extended 41
research reported 67 research industry 42
research possible 111 research relevant 44
research designed 43 research directed 163
research inspired 49 research produced 146
research reported 460 research reviewed 266
research possible 55 research recently 65
reserve diverted 52 resolve problems 92
respect practice 308 respect patience 51
respect creatures 311 respect religions 43
respect kindness 66 respect grateful 69
respect supposed 80 respect accorded 56
respect accorded 44 respect children 44
respite services 49 restore heritage 79
results complete 106 results convincing 126
results accurate 55 results affected 102
results accurate 332 results convincing 198
results definite 48 results satisfying 95
results surprising 128 results achieved 138
results attained 44 results obtained 152
results treatment 70 results expected 78
results obtained 98 results accurate 48
results accurate 479 results relevant 74
results slightly 57 results achieved 1045
results attained 152 results expected 195
results obtained 888 results produced 53
results reported 64 results achieved 80
results obtained 234 results produced 103
results achieved 56 results obtained 167
results interest 44 resumed applause 41
retired replaced 111 retired helpless 86
returns received 72 reunite families 294
reuniting families 107 revealed proposed 135
revealed actually 80 revealed composed 71
revealed involved 44 revealed actually 46
revenue purposes 87 revenue expected 43
revival complete 42 revived original 101
revolting conscious 56 rewarding constant 55
rewarding services 133 rewards promised 122
rewards promised 49 richest physician 209
rivalry patience 70 romance verified 83
romance magazine 102 roundly followed 40
routine exercise 63 royalty thousands 55
ruffled unwonted 87 runners shackled 44
